 , C000, C005, C006, C008, C011, C014, C015, C016, C018, C019, C020, C022, C023, C025, C028, C030, C032, C033, C035, C037, C038, C040, C041, C043, C044, C045, C047, C049, C053, C055, C056, C057, C061, C062, C067, C069
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 55.27608, 0, 0, 0, 53.58719, 0, 0, 0, 0, 65.00897, 0, 0, 0, 128.737, 74.42804, 0, 0, 0, 0, 0, 28.0249, 0, 0, 0, 0, 0, 154.9052, 0, 80.99481, 0, 19.40363, 0, 0, 24.33533, 104.3805, 0
0.2, 52.86031, 0, 0, 0, 131.6443, 14.05356, 59.95056, 0, 0, 61.95508, 29.66321, 176.9003, 0, 123.4173, 71.21463, 0, 72.8429, 0, 22.51163, 1.525879e-05, 241.6632, 0, 0, -6.103516e-05, 0, 0, 148.5853, 0, 77.22675, 0, 18.51965, 0, 0, 144.9857, 99.59454, 0
0.3, 50.55011, 0, 61.93399, 75.10383, 126.1626, 13.46375, 57.25815, 0, 0, 59.04462, 28.38153, 169.0117, 144.4888, 118.3174, 68.13998, 0, 69.44631, 215.609, 21.5914, 1.525879e-05, 230.2172, 0, 0, 42.73914, 0, 0, 142.5233, 0, 472.4479, 0, 17.67596, 3.051758e-05, 0, 194.4404, 95.02802, 0
0.4, 48.34088, 0, 117.5549, 71.83522, 120.9091, 12.89868, 81.78616, 152.1818, 0, 160.8574, 27.15521, 161.4749, 219.3092, 113.4282, 126.3195, 0, 66.2081, 206.0524, 50.50412, 0, 288.6122, 0, 0, 78.50037, -7.629395e-06, 0, 136.7086, 0, 475.0137, 0, 16.87073, 96.04358, 0, 185.9146, 90.6709, 0
0.5, 46.2282, 2.909714, 112.5968, 68.70886, 115.8744, 12.35736, 173.795, 211.0931, 0, 153.3008, 95.21936, 154.2742, 295.8279, 108.741, 120.8657, 0, 63.1209, 196.9194, 81.99646, 0, 274.9424, 0, 0, 75.24188, 0, 0, 131.131, 0, 468.2277, 0, 90.42941, 130.7755, 0, 253.806, 86.51349, 0
0.6, 89.19492, 2.785995, 160.2878, 65.71857, 111.0493, 74.00244, 165.9898, 202.2201, 0, 177.5658, 91.10519, 161.4648, 282.7653, 104.2476, 115.6474, 0, 60.17764, 188.1911, 78.64462, 0, 261.9201, 0, 0, 190.3494, 0, 0, 245.541, 0, 446.4445, 0, 103.2871, 141.5899, 0, 242.6769, 82.54681, 0
0.7, 111.8978, 2.667542, 153.5274, 62.85842, 106.4252, 70.89668, 158.5352, 238.3291, 0, 259.7963, 174.0676, 154.2645, 270.2794, 99.9398, 133.0451, 38.29547, 105.0825, 179.8498, 112.0392, 0, 296.6624, -7.629395e-06, 0, 227.9453, 0, 0, 316.7906, 0, 526.9255, -3.814697e-06, 98.58182, 159.8296, 0, 357.35, 78.7619, 0
0.8, 107.0074, 103.2346, 147.052, 91.31331, 101.9936, 67.9213, 151.4153, 318.7948, 0, 309.4165, 194.8203, 147.3854, 258.345, 95.81004, 127.301, 36.70943, 100.1826, 171.8782, 127.1737, 0, 418.9468, -7.629395e-06, 0, 218.4838, 0, 7.629395e-06, 303.866, 0, 502.4117, 0, 94.09085, 294.3442, 0, 359.2424, 168.884, 0
0.9, 102.3308, 98.84549, 140.8499, 133.7039, 97.74652, 65.07077, 144.6151, 344.7151, 0, 339.0529, 186.4026, 211.8833, 360.1774, 91.85092, 121.8048, 73.72634, 95.51115, 164.2599, 121.9751, 0, 399.1039, -7.629395e-06, 0, 209.415, 0, 7.629395e-06, 291.4688, 0, 479.0382, 3.814697e-06, 89.8045, 282.1506, 0, 481.3982, 343.1722, 0
