 , C001, C002, C003, C004, C005, C009, C011, C012, C013, C014, C015, C018, C021, C022, C025, C028, C029, C030, C031, C032, C033, C034, C036, C037, C038, C041, C042, C043, C045, C047, C048, C049, C050, C051, C052, C053, C055, C056, C057, C058, C059, C060, C067, C071, C072, C074, C077, C078, C084, C085, C087, C088, C089, C090, C094, C102, C107, C129, C134, C136
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 115.1078, 0, 0, 0, 49.65277, 0, 0, 0, 0, 0, 130.9567, 13.68079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112.2103, 0, 122.2271, 107.011, 60.72629, 0, 12.77304, 155.8643, 0, 0, 0, 0, 0, 0, 49.03455, 0, 62.33325, 0, 17.22809, 0, 147.8335, 0, 0, 88.39124, 0, 0, 0, 0, 0, 92.43671, 34.17444, 32.03699, 0, 0, 183.9624, 65.06165, 42.45508, 0
0.2, 109.9033, 0, 0, 3.051758e-05, 47.40295, 0, 0, 0, 0, 6.103516e-05, 139.96, 62.56018, 0, 0, 0, 0, 0, 219.9032, -6.103516e-05, 0, -6.103516e-05, 25.09723, 106.9402, 78.55212, 167.1184, 101.8803, 58.03946, 0, 12.21255, 148.7649, -6.103516e-05, 0, 3.051758e-05, 0, 0, 0, 46.89899, 0, 111.5329, 0, 76.87592, -6.103516e-05, 140.4583, 160.2924, 69.17944, 84.53741, 38.20715, 0, -3.051758e-05, -3.051758e-05, 0, 87.92133, 32.53333, 74.22995, 0, 26.15076, 175.8977, 61.44971, 40.41284, 167.991
0.3, 171.7311, 7.629395e-06, 0, 25.09793, 45.25507, -7.629395e-06, 0, 0, 0, 6.103516e-05, 132.5908, 59.31128, 74.61578, 0, 0, 41.94781, -1.525879e-05, 465.5363, -6.103516e-05, 0, 0, 53.19577, 287.8503, 75.15161, 211.4666, 96.99556, 55.47147, 40.38165, 11.67664, 141.9887, -6.103516e-05, 0, 0, 0, 0, 0, 163.4733, 0, 106.243, 1.525879e-05, 73.54144, -6.103516e-05, 133.4511, 153.2816, 65.86682, 275.1465, 36.51691, 0, -6.103516e-05, 0, 3.051758e-05, 83.62646, 107.4429, 70.7079, 78.52805, 24.98755, 168.1865, 206.4257, 82.04724, 251.1954
0.4, 189.0276, 0, 32.2424, 85.65231, 103.1794, -7.629395e-06, 0, 0, 0, 6.103516e-05, 168.5704, 56.2312, 71.34113, 1.525879e-05, 0, 39.99329, -7.629395e-06, 698.1703, 81.07941, 0, 178.0682, 50.92395, 332.4351, 71.89832, 437.7156, 92.34503, 53.01709, 38.59802, 11.16425, 135.5212, 0, 0, 0, 0, 0, 3.051758e-05, 156.3536, 0, 101.2039, 51.89194, 225.2736, -6.103516e-05, 126.7935, 146.5775, 62.71277, 263.1503, 34.90143, 0, 63.20377, 0, 62.34058, 261.2419, 102.2833, 67.35295, 75.21977, 92.11475, 160.8134, 194.9658, 78.10059, 238.3882
0.5, 180.4808, 7.629395e-06, 30.7746, 81.73218, 98.50415, -7.629395e-06, 47.98544, 0, 0, 6.103516e-05, 188.5078, 53.31094, 68.21027, 1.525879e-05, 6.103516e-05, 38.12976, -7.629395e-06, 828.4755, 77.67084, 0, 169.6511, 48.74911, 316.8217, 68.78577, 554.4316, 87.91745, 50.67133, 68.29999, 10.67435, 174.8019, 0, 0, 3.051758e-05, 22.45975, 0, 3.051758e-05, 149.5441, -3.051758e-05, 96.40399, 93.54308, 343.667, 84.80359, 120.4679, 140.1665, 59.70978, 251.677, 58.54846, 6.103516e-05, 155.4491, 54.88626, 59.64212, 248.4806, 116.8853, 64.1572, 72.05089, 88.01733, 153.7634, 306.3332, 235.1565, 256.9277
0.6, 210.1921, 0, 29.37363, 98.7914, 94.04077, -7.629395e-06, 45.68689, 0, 0, 6.103516e-05, 220.3938, 139.2566, 110.8361, 1.525879e-05, 6.103516e-05, 36.35309, -7.629395e-06, 873.7424, 92.75665, 0, 161.6318, 46.66721, 388.7042, 65.80798, 584.6101, 133.7213, 190.6013, 65.28323, 41.54904, 237.7244, 68.49631, 0, 3.051758e-05, 21.53741, 0, 0, 143.0311, -3.051758e-05, 91.8316, 88.34399, 328.7606, 128.4308, 114.458, 222.9217, 56.85052, 240.704, 70.38068, 43.69849, 148.2728, 76.83762, 57.06049, 236.3427, 131.1934, 61.11307, 117.0368, 228.0385, 147.0226, 289.3268, 223.8452, 243.8283
0.7, 227.3708, 3.814697e-06, 28.03644, 94.2699, 89.77963, 0, 169.8744, 0, 0, 6.103516e-05, 208.7895, 139.4989, 105.9719, 13.6958, 0, 94.95068, 0, 836.0714, 164.664, -6.103516e-05, 153.9916, 44.67419, 379.3806, 240.8412, 733.4951, 127.3099, 182.1681, 62.39978, 39.7258, 226.8963, 93.25684, 0, 0, 69.13898, 0, 0, 136.8018, -3.051758e-05, 144.1407, 83.43388, 314.5009, 163.2512, 108.7479, 213.1717, 54.1283, 230.2095, 152.8829, 41.5177, 209.357, 99.77469, 94.36185, 260.326, 124.8932, 58.21337, 127.8111, 217.8949, 281.3298, 381.415, 282.1353, 266.5909
0.8, 282.4374, 0, 33.89746, 90.69568, 111.2566, 0, 161.7373, 0, 0, 6.103516e-05, 197.7963, 176.4576, 179.0193, 13.09273, 0, 90.52631, 162.076, 800.0246, 157.7416, 160.9009, 146.7126, 74.47031, 436.6046, 230.4149, 889.5864, 190.5437, 195.6056, 204.0629, 37.98254, 216.5614, 89.47849, 0, 0, 66.29967, 0, 1.525879e-05, 130.8438, -3.051758e-05, 211.5352, 331.2934, 311.896, 156.0342, 103.3227, 203.8481, 94.70056, 320.4949, 169.983, 89.53137, 199.692, 146.7184, 169.5301, 301.1179, 190.4044, 55.45127, 122.4266, 269.5721, 375.5583, 579.3436, 383.4723, 252.9988
0.9, 269.667, 0, 32.35432, 102.6706, 177.0449, 25.18085, 153.9899, 0, 0, 6.103516e-05, 187.3819, 220.7166, 171.1628, 99.79494, -6.103516e-05, 113.2789, 154.8669, 820.9625, 187.1146, 153.8214, 139.7776, 71.28992, 479.4081, 220.4401, 851.6792, 181.408, 186.9509, 195.0496, 36.31583, 258.3923, 85.85321, 0, 182.8937, 164.797, 0, 0, 125.1453, -3.051758e-05, 201.5023, 517.4869, 387.9687, 149.1364, 215.9436, 194.9323, 204.5546, 329.7206, 162.463, 85.06335, 334.244, 139.5364, 162.1919, 349.9965, 181.2607, 52.82022, 117.269, 376.5156, 359.0943, 631.1303, 365.0266, 518.9933
