 , C001, C002, C003, C005, C007, C008, C009, C010, C011, C013, C015, C017, C018, C019, C020, C021, C022, C024, C025, C026, C028, C029, C031, C033, C036, C039, C040, C041, C042, C044, C048, C050, C052, C054, C057, C058, C061, C065, C072, C073, C100, C102, C103, C123, C132, C133, C142
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 92.53207, 0, 217.5623, 18.45087, 95.9343, 0, 63.75671, 12.53925, 92.63449, 0, 54.32739, 360.3049, 0, 67.35565, 0, 0, 0, 0, 75.35966, 0, 183.4451, 57.52527, 0, 0, 120.1136, 11.75476, 0, 166.7712, 0, 0, 0, 0, 0, 0, 0, 132.2399, 106.3069, 0, 107.5125, 0, 0, 193.0831, 163.1273, 99.10083, 10.57336, 0, 0
0.2, 88.20776, 0, 208.1937, 135.0016, 319.7286, 0, 105.2004, 11.85248, 88.05185, 0, 51.94598, 618.6499, 0, 64.44373, -3.051758e-05, -7.629395e-06, -3.051758e-05, 173.028, 72.30123, 0, 174.7263, 55.13867, 0, 0, 211.1836, 97.06689, 0, 342.5046, 0, 0, 57.50281, 0, 0, 0, 9.536743e-07, 126.5575, 133.7078, 67.10364, 144.2991, 148.5466, 51.97467, 232.567, 204.9808, 105.4489, 120.8523, 65.93188, 0
0.3, 169.7037, -9.536743e-07, 292.9342, 129.2687, 316.816, 0, 99.80396, 11.20337, 83.69592, 206.3219, 49.66901, 609.0049, 0, 172.9308, -3.051758e-05, -7.629395e-06, -3.051758e-05, 242.1913, 69.36693, 0, 284.5726, 52.85107, 0, 25.4304, 220.7151, 93.10989, 0, 450.6091, 0, 0, 204.3889, -6.103516e-05, 0, 0, 0, 121.1194, 126.7664, 177.7742, 137.9761, 142.1112, 49.659, 385.2006, 364.2087, 161.1735, 114.5652, 62.74615, 119.6319
0.4, 161.7729, -9.536743e-07, 280.3201, 154.9186, 301.8019, 0, 167.7423, 22.26251, 79.55547, 196.3926, 117.7321, 744.478, 0, 226.5971, -3.051758e-05, 0, -6.103516e-05, 230.6328, 82.53581, 0, 502.5098, 184.6891, 0, 24.38422, 211.6896, 89.31418, -9.536743e-07, 640.3115, 0, 0, 196.0154, 149.5421, 0, 203.1085, 0, 115.9149, 262.8192, 332.4601, 369.4432, 135.9545, 165.7452, 437.798, 468.3113, 306.0283, 108.6052, 59.71429, 113.9691
0.5, 154.2127, -9.536743e-07, 268.249, 148.3398, 313.6768, 0, 159.1376, 21.04321, 75.61986, 237.0514, 112.5715, 869.8386, 0, 216.8008, -6.103516e-05, 0, 34.49948, 281.8671, 79.18615, 56.67047, 526.8518, 192.4517, 0, 23.38107, 203.0333, 196.6885, -9.536743e-07, 664.3691, 0, 0, 187.9849, 143.003, 0, 193.1575, 9.536743e-07, 110.9341, 249.175, 350.9271, 381.0665, 130.0645, 158.3605, 418.3542, 567.8976, 388.1881, 102.9553, 229.1379, 177.2393
0.6, 187.2418, -1.907349e-06, 256.6979, 171.8547, 327.4762, 0, 257.8005, 142.8082, 71.87893, 225.6431, 107.637, 854.126, 0, 207.4281, -6.103516e-05, 0, 148.0329, 477.9575, 99.73862, 54.36127, 634.4017, 366.3331, 0, 22.4192, 194.7308, 188.6703, -4.768372e-07, 826.4524, 0, 0, 272.6055, 136.7499, 0, 335.9416, 0, 106.1672, 236.2391, 335.8962, 454.0031, 124.4298, 151.3048, 528.157, 677.4635, 453.6874, 185.2916, 218.0662, 168.8497
0.7, 190.5459, -9.536743e-07, 335.0664, 268.3901, 439.735, 0, 491.3893, 134.9868, 68.32307, 234.3667, 121.0197, 979.1826, 0, 198.4605, -6.103516e-05, -3.814697e-06, 141.9084, 495.2285, 95.6908, 52.14615, 636.5092, 467.1896, 0, 21.49689, 186.7679, 216.1292, -4.768372e-07, 838.5566, 0, 0, 261.437, 192.5304, 1.525879e-05, 319.4828, 0, 101.6052, 223.9747, 459.8, 555.0736, 183.5555, 308.8123, 718.6565, 748.3613, 650.0859, 196.7083, 283.8481, 160.8573
0.8, 181.6411, -1.907349e-06, 479.6378, 256.9928, 481.0062, 0, 484.8439, 127.5938, 64.94312, 335.9535, 135.7726, 1024.558, 0, 189.8807, -4.577637e-05, -3.814697e-06, 136.0372, 564.2727, 91.80725, 50.0213, 606.257, 447.8062, 0, 20.61255, 179.1306, 207.3184, -4.768372e-07, 1023.761, 0, 0, 250.7262, 184.1116, 1.525879e-05, 303.8303, 0, 97.23926, 212.3471, 440.106, 705.9862, 293.1704, 295.0533, 754.2078, 796.7478, 659.4799, 186.4749, 270.1328, 153.2431
0.9, 173.1524, -1.907349e-06, 458.9839, 283.4084, 458.2111, 0, 486.0295, 146.7287, 61.73037, 367.0976, 129.8212, 1013.326, 0, 326.9153, -4.577637e-05, 0, 130.409, 537.3434, 88.08131, 47.98303, 651.6471, 429.2268, 0, 19.76457, 171.8057, 198.8669, 0, 977.5516, 0, 0, 240.4542, 258.1069, 1.525879e-05, 288.9446, 9.536743e-07, 93.06091, 229.3861, 421.2554, 761.1357, 280.4694, 333.3629, 720.7113, 760.639, 631.2634, 176.774, 368.981, 262.6978
1, 242.5729, -1.907349e-06, 439.2195, 271.3733, 436.4962, 0, 461.0974, 187.5399, 58.67656, 349.4308, 241.6207, 1016.817, 0, 312.7821, -4.577637e-05, 0, 125.0136, 511.6992, 84.50659, 46.02786, 706.4082, 515.3671, 0, 18.95147, 164.7802, 190.7599, -4.768372e-07, 990.8376, 0, 0, 230.6029, 246.8205, 3.051758e-05, 274.7883, 0, 89.0621, 217.4775, 403.2122, 886.4005, 268.3187, 394.0496, 850.1631, 726.1666, 738.3096, 167.5776, 351.1522, 250.263
1.1, 231.2368, -9.536743e-07, 497.5632, 294.9894, 415.8105, 0, 437.4443, 193.8899, 55.77383, 332.6142, 291.4226, 1050.621, 0, 299.2599, -4.577637e-05, 0, 119.8415, 487.2789, 81.07695, 44.15231, 672.834, 493.9847, 0, 18.17183, 158.042, 182.9833, 0, 946.1144, 0, 0, 221.1553, 236.0278, 3.051758e-05, 261.3255, 0, 85.23511, 206.1872, 385.9419, 869.3672, 256.6943, 376.4929, 812.4049, 693.2566, 725.1248, 158.8597, 385.5575, 296.6317
1.2, 220.4304, -9.536743e-07, 476.1375, 289.246, 411.2247, 0, 425.2418, 183.2709, 53.01469, 316.6069, 278.6484, 1001.053, 0, 286.3223, -4.577637e-05, 0, 114.8833, 464.0239, 77.7865, 42.35321, 640.8555, 473.4895, 0, 17.42426, 151.5793, 175.5238, -4.768372e-07, 1020.109, 0, 0, 212.0948, 225.707, 3.051758e-05, 248.5224, 0, 81.57257, 266.3264, 369.4113, 831.272, 245.5735, 359.7184, 776.3237, 821.6285, 744.6377, 199.1485, 436.2418, 282.5907
1.3, 230.5982, -1.907349e-06, 478.8683, 320.7586, 391.7366, 0, 403.428, 179.8322, 50.39205, 373.1611, 291.0182, 1227.12, 0, 273.944, -4.577637e-05, 3.814697e-06, 110.1303, 441.8788, 74.62959, 40.62744, 610.3969, 639.7396, 0, 16.70744, 145.3809, 186.792, -4.768372e-07, 974.0643, 0, 0, 203.4054, 215.8374, 1.525879e-05, 236.3465, 0, 78.06741, 320.0606, 353.5887, 900.2142, 234.9346, 391.351, 806.3641, 784.3921, 712.7776, 257.404, 415.1629, 405.7221
1.4, 232.0817, -1.907349e-06, 458.2475, 307.1374, 373.172, 0, 382.7332, 169.9831, 47.89915, 355.2025, 278.2617, 1208.39, 0, 496.3397, -4.577637e-05, 0, 105.5739, 420.7905, 71.60079, 38.97195, 667.8573, 642.8472, 0, 16.02013, 139.436, 203.9444, -4.768372e-07, 930.098, 0, 0, 195.072, 311.6573, 3.051758e-05, 224.7671, 0, 74.71286, 303.4447, 483.1337, 894.1598, 224.7565, 398.0968, 822.8755, 822.8505, 820.9359, 244.0131, 395.1025, 386.5174
1.5, 221.2358, -1.907349e-06, 581.8104, 294.0946, 355.4872, 0, 363.1, 160.6734, 45.52957, 338.1081, 309.0814, 1151.379, 0, 474.8819, -4.577637e-05, 0, 101.206, 400.7086, 68.69492, 37.38394, 636.1154, 616.1758, 0, 15.36107, 133.7342, 195.6304, -4.768372e-07, 1135.979, 0, 0, 245.8204, 298.0294, 3.051758e-05, 213.755, 4.768372e-07, 71.50247, 332.2262, 462.4402, 1011.424, 215.0194, 548.614, 786.3294, 785.5588, 785.8114, 231.3188, 409.4728, 507.4663
1.6, 267.9341, -1.907349e-06, 587.0828, 281.6057, 338.6404, 0, 344.4739, 163.8257, 43.27721, 321.8365, 295.5331, 1097.057, 0, 539.7278, -4.577637e-05, 0, 97.01886, 381.5852, 65.90699, 35.86063, 640.3447, 688.1761, 0, 14.72913, 128.2655, 205.9989, -9.536743e-07, 1084.705, 0, 0, 235.7493, 284.9973, 3.051758e-05, 420.8636, 4.768372e-07, 68.43002, 341.7372, 442.6331, 1053.587, 205.7041, 524.1707, 823.0479, 856.2243, 752.1897, 237.1119, 521.9979, 483.4455
1.7, 255.4126, -1.907349e-06, 592.2488, 281.5788, 322.5921, 0, 441.0261, 194.5941, 41.13628, 306.3479, 404.8453, 1206.618, 0, 516.3942, -4.577637e-05, 0, 93.00493, 363.3743, 63.2322, 34.39941, 620.1781, 701.3057, 0, 14.12319, 123.0205, 228.0458, -9.536743e-07, 1143.903, 0, 0, 226.0908, 272.5352, 3.051758e-05, 400.2441, 9.536743e-07, 65.48959, 323.9958, 423.6742, 1007.42, 196.7924, 500.8164, 833.6728, 916.325, 854.8363, 301.9592, 572.2161, 460.5617
1.8, 326.3339, -1.430511e-06, 647.5509, 309.6541, 307.3043, 0, 418.4026, 183.9365, 39.10126, 291.6048, 432.8149, 1149.69, 0, 494.0695, -4.577637e-05, 0, 89.15706, 346.0327, 60.66596, 32.99768, 755.708, 762.4315, 0, 13.54218, 117.99, 218.7493, -9.536743e-07, 1246.034, 0, 0, 229.4661, 260.618, 3.814697e-05, 380.6348, 9.536743e-07, 62.67552, 309.8558, 447.5191, 963.2751, 188.2668, 520.7365, 796.6471, 874.7969, 818.2614, 286.2503, 609.23, 438.7612
