 , C001, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C024, C025, C026, C027, C028, C029, C030, C031, C032, C034, C036, C037, C038, C039, C041, C045, C046, C048, C049, C053, C055, C057, C061, C064, C068, C072, C073, C074, C075, C079, C084, C085, C086, C087, C095, C105, C106, C107, C108, C114, C116, C122, C126, C140
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 55.38135, 23.33502, 0, 90.2193, 0, 89.33661, 0, 121.6752, 0, 0, 0, 0, 40.01721, 0, 0, 113.4941, 0, 0, 0, 132.4631, 91.59839, 80.8042, 80.55811, 0, 102.9767, 0, 99.23823, 0, 0, 208.9441, 107.8319, 99.39404, 0, 82.06543, 0, 0, 34.17894, 0, 119.0527, 85.05927, 143.5474, 0, 82.83606, 0, 129.8749, 177.503, 79.24268, 79.82886, 0, 51.15735, 0, 71.81995, 143.0028, 155.1594, 0, 0, 0, 96.67194, 0, 37.83887, 15.53601
0.2, 0, 0, 69.37708, 22.13953, 23.9639, 85.47827, 27.06915, 84.97781, 0, 116.5743, 0, 3.051758e-05, 0, 0, 130.9799, 38.77954, 0, 151.1288, 0, 0, 0, 239.3487, 85.68091, 205.96, 104.1755, 0, 98.03867, 0, 119.2915, 0, 0, 199.1118, 102.9257, 105.6592, 6.103516e-05, 77.01578, 0, 0, 102.3614, 0, 372.2275, 79.71414, 219.1709, 125.3903, 99.84741, 0, 123.6243, 169.3358, 229.5366, 105.7649, -3.051758e-05, 188.5928, 0, 68.62158, 282.0969, 212.4319, 0, 71.03223, 0, 92.40198, 0, 106.535, 281.0293
0.3, 0, 0, 127.8476, 21.00525, 25.12589, 80.98639, 51.38147, 80.83167, -1.525879e-05, 183.0454, 0, 3.051758e-05, -6.103516e-05, 0, 124.848, 121.54, 0, 143.9066, 0, 34.68823, 0, 230.3121, 80.14587, 197.0562, 183.0519, 0, 151.212, 0, 113.0681, 0, 0, 189.7423, 98.24272, 183.1912, 6.103516e-05, 162.0665, 0, 0, 96.87185, 0, 480.145, 74.7049, 354.3765, 119.4902, 95.56702, 0, 202.4188, 161.5443, 218.8521, 158.8961, -3.051758e-05, 284.4037, 0, 168.5377, 267.0775, 269.6934, 0, 67.32773, 0, 88.32068, 0, 99.83228, 269.2969
0.4, -6.103516e-05, 0, 122.3544, 35.01324, 63.76283, 114.3731, 49.08289, 236.7166, 9.800888, 291.1161, 0, 3.051758e-05, -6.103516e-05, 0, 119.003, 244.8904, 0, 323.5551, 0, 32.89355, 3.051758e-05, 259.5181, 74.96826, 440.167, 317.4608, 0, 143.961, 0, 203.4745, 0, 0, 227.1273, 227.4835, 256.5771, 164.9673, 152.0942, 0, 0, 91.67672, 0, 622.4844, 70.01047, 403.7627, 113.8676, 231.0216, 3.814697e-06, 192.677, 154.1114, 208.6649, 150.8206, -1.525879e-05, 272.5845, 0, 269.0084, 252.8577, 385.072, 0, 63.81644, 0, 121.3536, 0, 171.5833, 378.2729
0.5, -6.103516e-05, 122.4915, 166.0346, 61.21405, 60.68739, 108.3628, 70.53693, 225.1671, 156.8855, 339.2966, 0, 0, 188.7628, 0, 113.4318, 266.7209, 0, 374.0005, 0, 93.35846, 3.051758e-05, 247.4018, 154.0338, 438.8154, 334.213, 0, 207.9837, 0, 192.8592, 0, -1.525879e-05, 290.6525, 217.1333, 243.4127, 265.4818, 204.4298, 0, 0, 137.3214, 0, 768.6675, 65.61104, 385.4067, 108.5096, 298.731, 1.907349e-06, 504.0255, 147.0204, 368.5306, 194.575, 0, 335.7356, 0, 291.9482, 239.3951, 557.3926, 0, 60.48825, 0, 115.9935, 46.32001, 199.1319, 470.8082
0.6, -6.103516e-05, 117.0075, 158.9006, 108.6531, 57.76028, 134.7674, 67.38141, 321.3982, 214.3456, 435.2766, 0, 3.051758e-05, 178.3514, 0, 108.1213, 277.4997, 0, 514.7899, 0, 177.1876, 49.16525, 257.9929, 323.8304, 547.9402, 415.4617, 0, 198.0103, 0, 182.7977, 0, -1.525879e-05, 340.1201, 207.2541, 230.9237, 421.5242, 280.7369, 0, 0, 129.957, 0, 995.4692, 135.8033, 524.4286, 155.8134, 413.9205, 1.907349e-06, 590.135, 140.2557, 398.3013, 267.5161, 0, 367.1349, 0, 393.2667, 226.6492, 718.938, 0, 57.33368, 0, 315.8934, 162.6049, 251.2245, 451.1528
0.7, -6.103516e-05, 129.702, 186.5172, 161.5826, 54.97437, 225.8214, 64.36713, 456.7993, 202.3188, 517.8488, 0, 3.051758e-05, 353.5416, 0, 103.0594, 361.4363, 0, 535.9221, 0, 168.0201, 286.3245, 304.1388, 353.0366, 697.0906, 592.6011, 0, 188.5151, 0, 173.2611, 0, -1.525879e-05, 324.1151, 197.8244, 219.0754, 441.0879, 263.4626, 0, 0, 122.9875, 0, 1157.538, 127.2694, 603.024, 516.491, 484.3346, 3.814697e-06, 701.4259, 227.7565, 550.8717, 423.8506, -1.525879e-05, 530.2524, 0, 617.601, 214.5819, 814.084, 0, 54.3436, 0, 301.9407, 383.2451, 235.4184, 737.4283
0.8, -6.103516e-05, 123.8952, 253.0606, 153.3044, 52.3228, 213.9544, 83.98901, 434.5117, 271.1459, 573.1322, 0, 1.525879e-05, 369.8178, 0, 140.7845, 453.5223, 0, 510.3119, 0, 159.3269, 311.9094, 289.9391, 583.8712, 716.5537, 808.945, 0, 179.4753, 0, 164.222, 0, -1.525879e-05, 335.8081, 188.8237, 207.8351, 570.6456, 403.0197, 0, 0, 223.5809, 0, 1474.149, 119.2718, 575.6094, 582.6808, 595.6708, 3.814697e-06, 667.6678, 217.277, 525.2296, 655.1345, 71.9509, 508.2164, 0, 745.8856, 203.1571, 818.4707, 0, 51.50949, 0, 288.6043, 364.8504, 305.2969, 788.9248
