 , C001, C002, C003, C004, C005, C006, C008, C009, C010, C012, C013, C015, C016, C017, C020, C021, C024, C028, C032, C034, C036, C037, C038, C039, C043, C045, C046, C047, C050, C052, C053, C055, C061, C063, C064, C065, C070, C071, C076, C078, C087, C089, C097, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 386.9207, 0, 0, 0, 0, 0, 22.18596, 0, 4.833374, 0, 8.871338, 0, 0, 0, 256.393, 0, 39.74207, 0, 0, 272.7843, 148.5635, 0, 65.72903, 0, 35.8728, 72.12396, 231.3713, 0, 0, 0, 38.26068, 151.5153, 0, 49.92993, 0, 181.2603, 0, 187.824, 0, 0, 0, 0, 0, 0
0.2, 369.8245, 0, 113.4335, 0, 0, 0, 21.18195, 11.31168, 132.6942, 7.629395e-06, 8.491943, 0, 132.6844, 0, 244.9227, 0, 37.95374, 83.86459, 0, 261.3976, 254.6726, 0, 94.61807, -1.525879e-05, 88.74756, 68.75092, 503.9819, 0, 19.62433, 0, 195.2725, 144.6952, 0, 80.34241, -6.103516e-05, 550.9641, -3.051758e-05, 191.2687, 0.0001220703, 0, 53.26978, -3.051758e-05, 0, 147.6718
0.3, 395.475, 0, 193.1876, 47.1452, 0, 0, 20.22339, 10.77468, 263.1578, 7.629395e-06, 58.46497, 0, 126.1421, 0, 330.1841, 0, 149.8477, 80.43222, 0, 250.4862, 324.5489, 0, 90.53085, 79.707, 138.1531, 65.53564, 746.3052, 29.39948, 18.6803, 0, 254.8333, 138.182, 1.525879e-05, 95.7301, 0, 526.73, 0, 183.2549, 0.0001220703, 0, 50.73615, -3.051758e-05, 0, 141.3357
0.4, 378.0007, 0, 254.7137, 197.938, 0, 0, 39.76234, 10.26317, 249.9503, 7.629395e-06, 55.9635, 0, 266.1492, -3.051758e-05, 315.4126, 26.99698, 143.1049, 77.14032, 0, 240.0303, 310.8951, 0, 86.62018, 75.44992, 132.2766, 62.47064, 973.0544, 28.16846, 25.47064, 0, 288.946, 131.962, 1.525879e-05, 94.69373, 0, 503.5618, -3.051758e-05, 175.5769, 50.86487, 0, 96.3924, -6.103516e-05, 3.051758e-05, 135.2715
0.5, 361.2985, 0, 353.5259, 188.3862, -1.525879e-05, 0, 37.96295, 142.0473, 237.4055, 1.525879e-05, 117.1836, 220.2158, 664.6012, 0, 301.3018, 25.75852, 261.6548, 104.6464, 0, 230.0109, 297.8159, 0, 82.87842, 71.42024, 286.0337, 59.54907, 1066.652, 53.21332, 165.5951, 240.9567, 277.2275, 126.022, 1.525879e-05, 267.1343, 0, 675.8997, -3.051758e-05, 168.2206, 69.56995, 96.17834, 91.80774, -3.051758e-05, 3.051758e-05, 307.0131
0.6, 497.1367, 0, 338.3107, 179.2953, 0, -3.051758e-05, 36.24496, 320.6372, 513.7467, 1.525879e-05, 290.2021, 210.3177, 730.1212, 0, 368.7632, 170.1871, 326.3572, 132.8169, 0, 220.4097, 285.2867, 0, 79.29828, 67.60577, 305.2756, 56.7641, 1111.829, 50.98517, 188.5531, 230.7118, 265.9842, 120.3494, 0, 255.3019, 0, 839.5068, -3.051758e-05, 489.9781, 66.23499, 91.95441, 210.4757, -3.051758e-05, 175.8312, 444.7019
0.7, 534.0458, 0, 323.7501, 170.6431, 0, -3.051758e-05, 34.60474, 305.4155, 495.5497, 1.525879e-05, 360.6036, 200.8645, 694.1207, 170.9074, 352.2658, 204.957, 357.3975, 189.0542, 0, 268.3828, 437.4633, 0, 268.9695, 63.99503, 322.2765, 54.10938, 1140.081, 96.12811, 262.4918, 220.9024, 255.1968, 182.2991, 1.525879e-05, 530.6611, 0, 1012.437, -3.051758e-05, 630.49, 116.996, 139.855, 431.2335, -3.051758e-05, 217.6489, 532.1182
0.8, 557.5811, 0, 489.2377, 162.4084, 0, -3.051758e-05, 33.03873, 290.9165, 571.5543, 63.20565, 438.3821, 414.8634, 724.6826, 163.0104, 336.5064, 195.5548, 341.3154, 181.3167, 0, 337.5151, 535.6021, 0, 396.6034, 60.57712, 496.2986, 51.5788, 1338.278, 92.10309, 323.754, 211.5101, 421.5734, 298.2559, 0, 646.0926, 0, 1087.074, -3.051758e-05, 661.9685, 111.3877, 229.7366, 410.723, -3.051758e-05, 208.5959, 509.2869
0.9, 564.9143, 0, 563.214, 196.092, 0, -3.051758e-05, 75.53812, 277.1058, 624.1016, 160.6691, 514.8754, 412.3837, 994.0356, 294.5402, 321.452, 212.3494, 325.957, 331.9429, 0, 375.1486, 566.022, 0, 425.5791, 57.34175, 603.4309, 49.16656, 1345.743, 111.0513, 308.1802, 202.5172, 583.8031, 284.8305, 0, 676.8394, 35.9212, 1164.135, -3.051758e-05, 773.1818, 150.2689, 347.2704, 391.188, -3.051758e-05, 199.9195, 487.4352
1, 550.7799, 0, 612.201, 325.5377, 0, -3.051758e-05, 72.11971, 263.9507, 642.6384, 372.273, 570.6202, 652.8464, 1068.69, 340.2217, 307.0711, 202.6081, 311.2896, 318.3573, 0, 433.3693, 673.9731, 0, 407.1953, 54.27919, 577.7643, 46.86719, 1289.872, 106.4014, 293.3555, 193.9066, 794.3419, 272.0095, 144.3842, 664.6872, 256.5754, 1357.06, -3.051758e-05, 753.3716, 143.0656, 416.0797, 372.5823, 0, 191.604, 466.5211
1.1, 716.8242, 0, 716.2601, 309.8282, 7.629395e-06, -3.051758e-05, 188.0266, 251.4201, 610.3852, 356.6974, 546.2068, 779.4964, 1084.45, 355.5501, 293.3336, 217.2835, 317.8823, 305.3277, 0, 442.0396, 645.619, 0, 389.6057, 51.3802, 577.77, 44.67538, 1514.01, 129.045, 279.244, 185.6621, 888.1812, 263.683, 163.9301, 693.8865, 363.0303, 1460.607, -3.051758e-05, 893.5416, 136.2076, 419.9508, 392.7738, 3.051758e-05, 229.9693, 446.5044
1.2, 685.1509, 0, 685.4333, 409.0828, 0, 0, 199.4397, 239.4844, 775.6216, 437.9304, 544.0156, 744.4601, 1030.979, 339.1216, 280.2107, 207.3159, 315.1171, 292.8314, 0, 423.588, 720.2164, 0, 372.7758, 48.63604, 662.3538, 42.58603, 1568.549, 254.128, 395.7226, 177.7682, 871.085, 251.8138, 156.6439, 663.1514, 383.0848, 1652.402, 0, 856.1043, 129.6783, 401.5075, 448.9886, 3.051758e-05, 249.4657, 427.3465
1.3, 662.2021, 0, 655.9331, 421.4151, 7.629395e-06, -1.525879e-05, 216.939, 288.312, 736.6941, 514.7535, 808.5607, 710.9987, 980.1435, 323.4522, 267.6749, 197.8055, 300.9375, 280.8465, 0, 405.9064, 787.9628, 28.15349, 356.6729, 46.03845, 653.8685, 118.728, 1559.883, 243.4872, 376.6868, 170.2099, 1032.331, 240.4789, 149.6816, 892.4029, 363.0684, 1676.32, 0, 820.2355, 123.4621, 559.3373, 427.6337, 0, 239.0894, 409.0106
1.4, 735.6393, 0, 976.8014, 401.0789, 0, -3.051758e-05, 256.1419, 274.6249, 699.7203, 573.9756, 800.6212, 731.9761, 931.8149, 308.5068, 255.6998, 324.0146, 287.396, 416.2659, 0, 508.7393, 882.34, 26.86409, 375.0416, 110.6039, 626.0565, 113.1753, 1622.619, 321.7376, 358.5667, 162.9729, 1274.761, 229.6543, 279.415, 934.5061, 344.0979, 1602.587, 0, 785.8696, 219.9081, 534.7725, 431.8193, 0, 295.7983, 391.4614
1.5, 728.4985, 0, 934.761, 381.7241, 0, -3.051758e-05, 390.6396, 261.5876, 664.6022, 549.9609, 775.0025, 743.4935, 971.5806, 294.2519, 274.6444, 342.623, 274.4638, 399.2292, 0, 487.5034, 845.2198, 25.63374, 358.8409, 104.6966, 623.3135, 107.8824, 1685.484, 366.1854, 341.3183, 156.0437, 1447.822, 219.3168, 266.9959, 893.113, 462.4332, 1651.897, -1.525879e-05, 778.5456, 209.3666, 727.9634, 515.7345, 0, 283.4948, 374.6652
1.6, 731.1401, 0, 894.5301, 390.6909, -7.629395e-06, -4.577637e-05, 372.9616, 249.1692, 685.8054, 637.5817, 803.5758, 735.5834, 923.6743, 370.9624, 262.3576, 405.7942, 262.1135, 382.8897, 0, 483.1958, 1004.062, 24.45974, 343.34, 109.4483, 655.2072, 153.2246, 1735.59, 380.4427, 324.8996, 149.4091, 1538.891, 209.4448, 255.1288, 885.5913, 438.2708, 1788.405, -1.525879e-05, 855.2451, 199.3304, 759.2382, 558.3484, -1.525879e-05, 644.6364, 453.3042
