 , C000, C001, C003, C006, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C022, C023, C024, C025, C027, C029, C030, C032, C033, C034, C035, C036, C037, C038, C039, C040, C042, C043, C044, C045, C046, C047, C051, C055, C061, C062, C064, C066, C070, C072, C074, C076, C080, C081, C082, C084, C086, C088, C090, C091, C093, C094, C099, C100, C101, C103, C115, C119, C122, C125, C129, C134
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 215.9615, 0, 0, 0, 0, 89.82671, 0, 0, 0, 0, 0, 0, 15.66562, 96.00024, 0, 0, 0, 0, 0, 0, 48.23218, 22.75006, 0, 0, 0, 0, 0, 173.2372, 0, 0, 68.34134, 0, 117.5038, 0, 13.97528, 0, 0, 0, 62.54575, 114.929, 89.11603, 0, 0, 0, 88.45633, 0, 141.9319, 0, 0, 148.6831, 0, 0, 0, 0, 0, 0, 0, 0, 123.9507, 0, 99.61511, 86.34875, 0, 0, 0
0.2, 0, 127.8931, 0, 0, 365.3883, 0, 0, 0, 103.1933, 161.1748, 0, 0, 0, 0.0001220703, 0, 3.051758e-05, 20.66957, 269.6549, 0, 0, 0, 74.05039, 0, 0, 60.11795, 21.75793, 3.051758e-05, 0, 57.20865, 173.9181, 0, 354.0548, 0, -3.051758e-05, 71.47009, 31.97, 150.9623, -0.0001220703, 87.24887, 28.58881, 0, 0, 131.8212, 110.174, 84.85175, 0, 0, 0, 141.2932, 6.103516e-05, 135.3622, 0, 0, 341.4993, 41.25317, 0, 143.5831, 0, 0, 0, 0, 86.32581, 177.5068, 43.62634, 182.0074, 81.8205, 0, 3.051758e-05, 78.93579
0.3, 0, 122.0416, -1.525879e-05, 0, 349.0651, 0, 0, 0, 98.3356, 153.6598, 102.9346, 0, 0, 97.32861, 0, 3.051758e-05, 19.6546, 452.5025, 0, 0, 0, 70.39825, 0, 0, 57.44283, 20.80908, 3.051758e-05, 0, 54.57184, 165.1122, 0, 577.5073, 0, 0, 68.02438, 30.48717, 144.1525, -0.0001220703, 83.51019, 27.39816, 119.9929, 0, 210.9479, 105.6157, 80.7915, 0, 0, 53.35345, 192.9803, 6.103516e-05, 129.0965, 0, 23.04047, 440.8066, 79.44052, 0, 272.751, -1.907349e-06, 0, 0, 0, 82.48914, 169.7526, 165.7325, 238.127, 77.5296, 0, 3.051758e-05, 75.5661
0.4, 0, 116.4578, 0, 0, 333.471, 0, 0, 0, 93.70657, 146.4952, 98.37927, 0, 0, 171.0251, 0, 3.051758e-05, 18.68947, 428.8602, 1.525879e-05, -3.814697e-06, 0, 106.4813, 0, 0, 75.98443, 19.90161, 3.051758e-05, 91.1727, 52.05658, 156.7523, 0, 549.1235, 0, 0, 143.7108, 29.07311, 187.846, 156.0649, 103.9962, 26.25708, 179.5413, 53.92194, 200.8102, 101.246, 151.0556, 0, 0, 50.91479, 196.8929, 70.4873, 146.9099, 0, 21.96283, 452.3044, 75.65591, 0, 314.7183, -1.907349e-06, 0, 0, 0, 109.1381, 229.4749, 229.142, 335.5358, 193.3166, 0, 3.051758e-05, 98.06451
0.5, 41.31509, 111.1294, -1.525879e-05, 0, 392.4384, 0, 0, 0, 89.29541, 139.6647, 94.02551, 0, 0, 163.6368, 0, 3.051758e-05, 17.77173, 466.5722, 1.525879e-05, -3.814697e-06, 0, 146.7453, 0, 0, 72.60329, 65.18347, 3.051758e-05, 86.39462, 98.29855, 148.8156, 0, 522.1348, 0, 0, 136.7823, 27.72465, 179.3724, 148.7619, 141.2564, 25.16351, 221.6682, 51.68188, 219.9465, 97.05714, 143.8274, 0, 0, 48.58765, 188.0937, 67.26624, 140.1097, 0, 115.824, 499.501, 119.1308, 0, 325.3759, -9.536743e-07, 0, 0, 0, 120.8367, 219.4504, 244.7844, 349.2656, 274.7782, 0, 6.103516e-05, 93.8783
0.6, 39.28055, 168.9518, -1.525879e-05, 109.1183, 374.9067, 0, 0, 0, 85.09195, 133.1526, 89.86438, 0, 0, 156.5677, 0, 3.051758e-05, 46.40102, 442.1948, 3.051758e-05, -5.722046e-06, 0, 139.5078, 126.6979, 0, 82.14159, 62.34088, 0, 81.86694, 93.76788, 141.2807, 0, 557.5881, 0, 0, 130.1878, 78.40819, 171.281, 141.8005, 135.2035, 94.82697, 314.3853, 101.8693, 209.3763, 93.04156, 136.9451, 0, 0, 46.36688, 179.6878, 111.9723, 133.6243, 0, 110.4067, 566.4817, 158.3597, 0, 366.4584, -1.907349e-06, 0, 0, 0, 282.5717, 296.6295, 348.2773, 421.7795, 260.3683, 0, 4.577637e-05, 149.1785
0.7, 37.34622, 193.8617, -1.525879e-05, 103.8592, 370.2757, 0, 0, 0, 81.08633, 126.9442, 140.5109, 0, 0, 202.4838, 0, 6.103516e-05, 44.1225, 505.3101, 3.051758e-05, -3.814697e-06, 0, 132.6274, 120.9796, 0, 78.48647, 74.01709, 44.61002, 77.57657, 143.9442, 134.1274, 0, 545.7544, 0, 0, 129.0818, 119.9601, 277.3929, 154.3016, 129.4098, 90.87759, 327.0936, 170.1519, 199.3141, 89.19211, 252.6328, 0, 0, 67.07379, 215.2509, 106.8555, 165.0044, 0, 256.9462, 635.0531, 150.8153, 0, 361.168, -1.907349e-06, 0, 0, 0, 270.0129, 308.0472, 332.1376, 601.0731, 296.0973, 0, 91.49657, 262.0848
0.8, 60.37302, 184.9919, 0, 98.85357, 440.0823, 0, 41.41774, 0, 149.4301, 121.0252, 157.6439, 0, 0, 263.5986, 0, 3.051758e-05, 97.40337, 592.9682, 4.577637e-05, -5.722046e-06, 0, 126.0862, 115.5193, 0, 74.99399, 171.3499, 42.54568, 73.51102, 137.3096, 127.3362, 0, 621.2062, 0, 0, 170.3789, 126.037, 264.8798, 171.9619, 189.0523, 87.09274, 411.1221, 179.8164, 229.9083, 85.50192, 240.544, 0, 0, 114.8812, 218.1523, 155.3821, 179.573, 0, 244.9284, 799.7601, 143.6303, 0, 377.613, -1.907349e-06, 0, 0, 0, 301.2034, 294.5904, 435.3478, 573.2496, 333.7955, 0, 130.0921, 350.6464
