 , C000, C001, C002, C004, C005, C007, C008, C009, C010, C011, C013, C014, C015, C016, C017, C018, C019, C024, C025, C026, C030, C031, C032, C033, C034, C035, C036, C037, C038, C040, C041, C044, C045, C047, C048, C050, C055, C058, C066, C068, C072, C079, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 9.928772, 167.0231, 0, 22.06653, 0, 0, 0, 323.5599, 120.4202, 0, 75.64032, 194.895, 17.78783, 0, 0, 22.11475, 48.10709, 0, 208.7928, 0, 0, 56.84021, 36.19489, 339.6063, 0, 0, 171.896, 178.1383, 0, 0, 0, 171.535, 0, 197.5621, 0, 0, 0, 144.6703, 326.2519, 0, 132.3459, 0, 0
0.2, 56.51175, 171.7171, 0, 85.83167, 26.36069, 0, 0, 529.6377, 411.6959, 0, 71.69666, 184.9526, 16.95178, 0.0001220703, 0, 21.11096, 45.62473, 204.1185, 199.426, 0.0002441406, 53.12897, 122.4518, 297.8373, 325.6611, 0, 0, 472.4163, 170.3347, 0, 0, 50.94702, 163.7502, 0, 189.173, 0, 0, 0, 267.7518, 320.7968, 0, 203.6335, -1.525879e-05, -0.0001220703
0.3, 74.1076, 215.3762, 0, 81.59534, 58.23715, 0, 0, 893.8615, 406.8699, 0, 112.4805, 203.6099, 113.1792, 0, 0, 20.15283, 43.27048, 301.0593, 190.4794, 62.35229, 202.24, 197.377, 279.1262, 312.2885, 0, -3.051758e-05, 551.1262, 341.3308, 0, 0, 48.07214, 156.3188, 0, 339.0714, 126.3469, 0, 0, 255.6426, 362.4903, 0, 194.5715, 0, 102.8121
0.4, 70.91974, 205.5874, 0, 77.56824, 54.99637, 6.103516e-05, 0, 1029.689, 435.684, 0, 106.6161, 424.7124, 107.8596, 0, 0, 19.23816, 41.03775, 441.1459, 278.5786, 59.30469, 193.7687, 189.0945, 388.1497, 299.465, 0, -3.051758e-05, 662.9622, 528.2546, 0, -6.103516e-05, 45.3595, 367.9258, 0, 548.1291, 120.8841, 0, 0, 414.5364, 375.3951, 0, 265.3757, 0, 211.0862
0.5, 67.86899, 196.2435, 0, 73.73999, 51.93594, 0, 0, 1312.775, 618.501, 0, 101.0575, 403.0459, 102.7901, 0, 0.0001220703, 61.7085, 38.9202, 419.4043, 287.509, 144.8083, 185.6522, 223.2444, 385.4507, 287.1682, 0, -6.103516e-05, 706.7163, 505.1141, 0, -6.103516e-05, 162.9219, 351.2285, 0, 593.9177, 190.9178, 0, 0, 395.7887, 360.1334, 0, 253.5662, 0, 301.9827
0.6, 64.94946, 187.3243, 6.103516e-05, 70.10071, 49.04581, 6.103516e-05, 0, 1491.965, 589.5321, 0, 95.78851, 586.8251, 278.5153, -0.0001220703, 0, 58.90759, 90.46829, 494.518, 341.0822, 208.0544, 177.8757, 305.3141, 565.2573, 275.3762, 0, -3.051758e-05, 778.6174, 528.0731, -1.525879e-05, 0, 203.9583, 401.38, 0, 568.6979, 315.6501, 0, 0, 517.3873, 430.6583, 0, 242.2822, -7.629395e-06, 286.6744
0.7, 102.8375, 178.8104, 6.103516e-05, 89.19116, 46.31653, 67.63092, 0, 1567.287, 852.9305, 0, 234.7662, 766.226, 265.4247, -0.0001220703, 0, 56.23376, 259.3804, 643.9402, 325.7806, 197.8845, 170.425, 375.5089, 571.1342, 264.0685, 0, -3.051758e-05, 918.0193, 757.6301, -1.525879e-05, 0, 192.4492, 738.2852, 0, 544.5491, 368.2412, 0, 0, 493.9883, 413.1498, 0, 289.5856, -7.629395e-06, 272.1422
0.8, 98.41379, 195.8098, 6.103516e-05, 208.4827, 43.73911, 97.72375, 0, 1591.807, 812.9818, 0, 222.526, 784.8521, 258.1494, -0.0001220703, 0, 53.6814, 245.9963, 612.2041, 350.3367, 265.2073, 163.2863, 359.7516, 626.8458, 253.225, 0, 0, 1094.453, 1116.317, 0, 0, 238.7204, 824.9399, 0, 521.4258, 461.9674, 0, 0, 538.1727, 558.933, 0, 434.1779, 0, 321.2662
0.9, 94.18033, 199.8157, 6.103516e-05, 258.7069, 58.24435, 91.79968, 0, 1797.697, 774.9043, 0, 336.9404, 766.5016, 246.0161, -0.0001220703, 0, 51.24475, 233.3029, 627.2719, 537.3006, 313.6284, 156.4467, 344.6554, 746.9628, 242.8269, 0, -3.051758e-05, 1190.914, 1241.007, -1.525879e-05, 0, 307.9246, 946.0679, 0, 651.9031, 633.1879, 0, 0, 701.4202, 536.2096, 0, 414.8563, 0, 405.427
1, 90.12897, 190.7341, 86.86798, 245.9387, 55.0032, 86.23477, 0, 1788.89, 1046.462, 0, 356.1503, 899.9418, 317.3459, -6.103516e-05, 0, 48.91882, 283.9304, 640.449, 513.1964, 332.6918, 149.8936, 475.0815, 830.6809, 232.8557, 0, 0, 1266.499, 1223.144, -1.525879e-05, 0, 362.8354, 903.1331, 0, 624.2213, 605.8113, 0, 0, 669.698, 576.4998, 0, 496.2108, 0, 472.1993
1.1, 86.25192, 182.0653, 82.88391, 233.8005, 76.40848, 81.00723, 0, 2125.193, 1043.729, 0, 368.857, 854.0319, 302.4303, -6.103516e-05, 0, 46.69843, 269.2796, 1015.311, 570.1744, 417.0831, 143.6149, 563.4109, 915.0054, 223.2939, 0, 0, 1381.894, 1169.564, -1.525879e-05, 0, 391.1617, 933.4081, 0, 742.8486, 579.6183, 0, 0, 752.9091, 563.3049, 0, 474.1285, 7.629395e-06, 448.2626
1.2, 82.54163, 173.7905, 79.08258, 222.2614, 72.15649, 76.09659, 0, 2021.609, 1015.449, 0, 401.2894, 1008.633, 288.2157, -6.103516e-05, -6.103516e-05, 44.57874, 255.3847, 965.2723, 575.6553, 396.6963, 137.5993, 588.3113, 857.5216, 214.1249, 0, 0, 1465.32, 1378.165, -1.525879e-05, 0, 369.0889, 1004.858, 0, 940.2502, 639.6404, 0, 0, 814.8583, 629.7537, 0, 479.24, 7.629395e-06, 637.2531
1.3, 78.99094, 165.8917, 75.45563, 304.8419, 68.14114, 138.5495, 0, 2362.176, 1232.667, 0, 380.3671, 1090.384, 274.6692, -6.103516e-05, -6.103516e-05, 117.4907, 242.2068, 1117.054, 611.3812, 377.3058, 131.8356, 563.6241, 881.7292, 205.3322, 0, 3.051758e-05, 1399.652, 1317.793, -2.288818e-05, 0, 348.2618, 959.2554, 0, 1014.197, 698.0195, 0, 0, 803.6516, 604.1509, 0, 567.4492, 7.629395e-06, 604.9492
