 , C000, C001, C003, C004, C005, C007, C009, C010, C011, C013, C016, C017, C018, C019, C020, C021, C022, C024, C025, C026, C027, C030, C032, C033, C034, C036, C037, C038, C040, C042, C043, C049, C051, C052, C054, C055, C058, C059, C070, C072, C075, C113
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 94.12817, 0, 98.93436, 44.14066, 62.10126, 0, 0, 11.88164, 0, 0, 0, 0, 57.00195, 18.45114, 0, 51.82251, 0, 0, 0, 0, 83.14813, 0, 370.8953, 353.1317, 0, 213.2144, 207.5811, 161.9171, 42.24744, 48.43774, 0, 0, 0, 55.03741, 39.42822, 156.0748, 0, 0, 0, 60.62598
0.2, 0, 128.9088, 89.7287, 0, 106.0361, 42.23669, 110.3428, 151.988, 0, 159.4436, 0, 0, 0, 0, 54.3736, 17.68826, 0, 219.2339, -3.051758e-05, 0, 9.77951, -3.051758e-05, 157.0921, 0, 723.1807, 530.8748, 0, 599.3474, 197.4438, 154.3801, 40.32849, 46.04932, 0, 0, 0, 149.755, 202.0276, 237.9931, 3.051758e-05, 0, 0, 95.22534
0.3, 0, 123.3149, 85.53491, 50.63613, 242.3305, 88.04391, 105.06, 246.7109, 0, 151.5236, 0, 0, 0, 0, 51.86646, 139.9029, 0, 327.9343, 0, 0, 85.91858, 0, 224.2861, 0, 1019.844, 806.8882, 0, 1003.284, 499.3356, 200.612, 93.41516, 81.15063, 0, 0, 0, 166.1284, 371.7946, 294.021, 0, 0, 0, 297.1416
0.4, 0, 117.9639, 81.53705, 48.28681, 231.4445, 84.24625, 260.2391, 234.7327, 0, 143.9971, 0, 0, 0, 31.66463, 116.5442, 179.729, 0, 352.457, -3.051758e-05, 33.29999, 111.4668, 0, 214.5632, 0, 1259.87, 919.0975, 0, 1159.493, 509.7365, 191.2737, 158.9209, 172.7841, 0, 0, 0, 361.5231, 538.7659, 383.9182, 0, 0, 196.4685, 498.8467
0.5, 0, 112.845, 77.72607, 46.04649, 302.2739, 80.6124, 247.78, 384.7781, 0, 136.8444, 0, 0, 0, 201.8585, 180.0214, 195.3023, 0, 432.4883, -3.051758e-05, 78.66229, 126.6376, 3.051758e-05, 286.4838, 0, 1554.939, 1067.839, 0, 1316.781, 555.7449, 182.3701, 227.0183, 164.2637, 0, 0, 0, 416.0062, 705.5731, 537.4169, 3.051758e-05, 6.103516e-05, 231.5094, 478.0564
0.6, 0, 107.9482, 74.0932, 43.91012, 288.6951, 77.13528, 341.1403, 402.8749, 0, 130.047, 0, 0, 3.469982, 213.8211, 208.2046, 187.2274, 0, 510.8911, -3.051758e-05, 75.34531, 288.9489, 0, 274.0646, 0, 1632.267, 1017.871, 6.438441, 1503.848, 528.6047, 173.881, 298.4801, 156.1635, 0, 0, 0, 447.3962, 790.8989, 723.9198, 0, 6.103516e-05, 375.9636, 561.4485
0.7, 0, 103.2639, 215.156, 41.87286, 275.7263, 98.27228, 375.213, 468.3984, 0, 308.7318, 0, 0, 3.313261, 203.9545, 249.4992, 179.4863, 0, 486.7661, -3.051758e-05, 72.16821, 276.6833, 3.051758e-05, 262.1838, 0, 1743.77, 1104.233, 6.165925, 1502.349, 740.5525, 342.4682, 284.9226, 148.4628, 0, 0, 0, 428.1622, 758.6554, 875.4896, 3.051758e-05, 6.103516e-05, 358.7442, 538.0493
0.8, 0, 98.7829, 205.0998, 204.5497, 308.8549, 130.175, 357.2493, 539.4481, 0, 293.3963, 0, 0, 46.61847, 194.5431, 291.8134, 172.0652, 0, 614.0896, 0, 69.12507, 264.9384, 3.051758e-05, 301.7317, 0, 2347.738, 1310.884, 74.22287, 2216.827, 902.033, 415.5702, 377.5016, 305.8995, 0, 0, 0, 409.7551, 763.6139, 989.2792, 1.525879e-05, 6.103516e-05, 342.3135, 780.9897
0.9, 68.59926, 94.49634, 237.4725, 195.0594, 294.9804, 124.5601, 392.7914, 566.4417, 0, 278.8226, 0, -6.103516e-05, 44.51295, 212.4454, 400.9797, 164.951, 3.051758e-05, 814.0737, -3.051758e-05, 66.21025, 253.692, 3.051758e-05, 347.0083, 0, 2385.318, 1398.646, 109.2869, 2203.257, 857.9817, 396.2258, 439.1271, 415.7644, 0, 0, 0, 443.7743, 1045.154, 1103.212, 1.525879e-05, 6.103516e-05, 472.4178, 768.1597
1, 65.53604, 90.39581, 226.3733, 186.0094, 281.7293, 119.1873, 438.2558, 815.3425, 0, 264.9728, -7.629395e-06, -6.103516e-05, 49.26579, 333.7554, 382.4906, 158.131, 3.051758e-05, 795.9836, -3.051758e-05, 63.41834, 242.923, 0, 331.9654, 0, 2518.268, 1517.499, 104.6612, 2270.09, 959.269, 483.6968, 513.5039, 410.7347, 0, 0, 0, 562.4234, 1210.003, 1221.098, 0, 6.103516e-05, 450.7807, 806.0312
1.1, 107.5395, 86.47318, 215.7928, 177.3793, 269.0734, 136.1965, 579.1423, 1232.35, 0, 251.811, -7.629395e-06, -6.103516e-05, 70.05283, 414.6737, 364.8541, 151.5929, 3.051758e-05, 872.9795, -3.051758e-05, 60.74416, 305.1484, -3.051758e-05, 317.5746, 0, 2676.771, 1491.29, 100.2312, 2390.499, 912.4227, 471.6471, 586.3405, 439.6297, 0, 0, 0, 538.2443, 1606.923, 1207.776, 0, 6.103516e-05, 430.1347, 956.4713
1.2, 210.7451, 82.72076, 271.6618, 169.1496, 256.9861, 171.3626, 592.4932, 1656.361, 0, 239.3029, -7.629395e-06, -6.103516e-05, 91.69187, 473.0334, 463.3478, 145.3252, 3.051758e-05, 946.5424, -3.051758e-05, 58.18275, 292.1951, -1.525879e-05, 303.8076, 0, 2700.219, 1478.311, 95.98881, 2415.754, 989.0442, 449.6924, 633.7451, 417.9506, 0, 0, 0, 581.4839, 1639.181, 1247.436, 0, 3.051758e-05, 514.6791, 1043.75
1.3, 236.941, 79.1312, 362.2136, 161.3017, 245.4417, 163.9711, 564.127, 2026.217, 0, 227.4161, -7.629395e-06, -6.103516e-05, 106.2297, 451.2056, 441.983, 183.5543, 3.051758e-05, 966.6106, -3.051758e-05, 101.0513, 279.7917, -3.051758e-05, 290.6375, 0, 2893.974, 1727.805, 158.7686, 2592.238, 1301.736, 529.8885, 662.1361, 459.2842, 0, 0, 0, 598.829, 1614.585, 1413.169, 0, 3.051758e-05, 491.1065, 1030.423
1.4, 226.3607, 75.69739, 447.6556, 153.8179, 234.416, 156.8983, 570.6898, 2367.297, 0, 240.0436, -7.629395e-06, -0.0001220703, 101.4318, 508.277, 421.6033, 187.6901, 3.051758e-05, 1073.178, -3.051758e-05, 186.2467, 427.015, -1.525879e-05, 324.846, 0, 2978.419, 1646.955, 152.0486, 2513.306, 1238.165, 505.2228, 671.1195, 436.6359, 0, 0, 0, 661.6843, 1870.148, 1673.715, 0, 6.103516e-05, 510.7236, 1088.198
1.5, 216.2528, 72.41257, 426.7325, 146.6814, 223.8855, 253.7015, 596.7933, 2328.74, 0, 265.607, -7.629395e-06, -0.0001220703, 210.8324, 484.823, 506.6396, 197.2951, 4.577637e-05, 1069.638, -3.051758e-05, 225.0066, 408.8885, -1.525879e-05, 310.7638, 0, 3133.503, 1821.929, 212.2054, 2766.222, 1310.416, 496.8589, 787.2761, 453.6068, 0, 0, 0, 740.6302, 1981.037, 1767.364, 0, 6.103516e-05, 558.5261, 1114.978
