 , C000, C003, C005, C008, C009, C010, C012, C015, C018, C019, C021, C022, C024, C026, C030, C033, C036, C037, C039, C040, C045, C047, C049, C062, C081, C082, C086, C118
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 0, 122.8661, 13.05078, 62.68799, 31.48874, 149.3856, 0, 0, 0, 134.2003, 123.2903, 0, 82.65784, 0, 0, 69.87488, 0, 0, 0, 0, 0, 0, 174.4103, 304.0767
0.2, 0, 0, 0, 0, 0, 142.7535, 12.43829, 65.12683, 60.80402, 143.0581, 0, 0, 6.103516e-05, 128.355, 117.6206, 0, 77.75104, -6.103516e-05, 0, 66.93262, 0, 0, 1.525879e-05, 0, 165.4931, 3.051758e-05, 166.4739, 340.9019
0.3, 0, 0, 0, 0, 0, 134.8394, 11.85455, 69.38293, 57.95816, 136.9987, 0, 44.90154, 6.103516e-05, 122.7644, 221.5481, 0, 73.1355, -6.103516e-05, 133.9041, 134.6472, 0, 0, 1.525879e-05, 0, 157.0914, 3.051758e-05, 188.0554, 588.6177
0.4, 0, 0, 0, 0, 0, 217.5752, 11.29819, 66.14124, 55.24548, 131.1958, 0, 42.88116, 102.259, 117.4173, 301.9639, 0, 83.92206, 51.9707, 141.6171, 151.762, 0, 52.0737, 1.525879e-05, 0, 149.1162, 0, 179.498, 821.3325
0.5, 0, 7.934961, 0, 0, 0, 205.5132, 10.76794, 70.1687, 103.813, 125.6388, 0, 40.95171, 97.42529, 112.3031, 345.9675, 0, 78.94025, 141.1135, 200.7322, 280.9186, -1.907349e-06, 52.53112, 1.525879e-05, 0, 141.5459, 3.051758e-05, 223.3782, 941.6343
0.6, 0, 7.519833, -7.629395e-06, 0, 0, 194.1198, 10.26263, 66.89038, 140.6663, 120.3172, 0, 39.10905, 92.82007, 107.4117, 454.2056, 0, 186.8102, 139.6459, 306.4941, 366.0167, 52.56687, 50.2011, 1.525879e-05, 0, 134.3599, 87.18399, 213.2136, 1202.656
0.7, 0, 23.79128, -7.629395e-06, 0, 0, 183.358, 72.36658, 90.7973, 134.0825, 115.2209, 0, 37.34932, 88.43262, 160.5886, 553.0771, 0, 175.7206, 222.5319, 292.6196, 350.6052, 50.21116, 47.97443, 1.525879e-05, 0, 127.5387, 82.86807, 276.1118, 1152.598
0.8, 0, 59.55996, -1.525879e-05, -3.051758e-05, 0, 173.1929, 123.0292, 143.6127, 127.8069, 110.3405, 0, 52.32291, 237.9601, 153.594, 527.6436, 0, 165.2893, 210.3938, 279.3733, 335.8427, 47.96102, 67.65125, 1.525879e-05, 0, 121.0638, 78.76581, 263.5475, 1366.72
