 , C00, C01, C02, C03, C04, C05, C07, C10, C11, C12, C17, C21, C23, C40, C43
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 92.72403, 0, 0, 148.0411, 0, 391.4839, 265.1448, 49.54971, 0, 0, 0, 0, 38.33105, 0
0.2, 6.473145, 124.502, 0, 0, 135.238, -4.768372e-07, 472.9536, 279.978, 55.48529, 0, 0, 0, 0, 36.46252, 0
0.3, 89.63898, 159.9964, 0, 0, 123.5422, 16.75404, 468.579, 311.8704, 53.2424, -9.536743e-07, 74.36118, 0, 0, 133.3375, 0
0.4, 84.83919, 172.5999, 0, 0, 238.1784, 15.34902, 441.1755, 518.3101, 51.09015, 0, 68.54448, 0, 18.02177, 192.8488, 0
0.5, 80.29642, 163.8931, 0, 0, 217.58, 14.06182, 415.3746, 575.5063, 49.02493, -9.536743e-07, 63.18277, 0, 16.75406, 183.448, -1.525879e-05
0.6, 75.99688, 155.6255, 0, 0, 198.763, 376.4733, 391.0825, 546.4072, 47.04318, 55.62193, 104.6294, 0, 15.57552, 174.5054, 0
0.7, 71.92757, 167.8786, 0, 0, 181.5734, 370.7271, 368.2111, 747.9609, 45.14154, 52.97876, 138.4904, 0, 14.47989, 165.9988, 0
0.8, 68.07615, 159.4099, 0, 0, 165.8704, 339.6372, 346.6772, 710.1421, 43.3168, 50.4612, 127.6573, 0, 13.46133, 157.907, 0
0.9, 64.43095, 151.3685, 0, 0, 151.5254, 326.3299, 326.4028, 697.9866, 41.5658, 122.1926, 117.6717, 0, 12.51441, 150.2095, 0
1, 60.98095, 178.9752, 0, 0, 138.4211, 298.9633, 307.314, 662.6946, 39.88557, 116.386, 108.4671, 0, 11.63411, 142.8872, 0
1.1, 57.71568, 169.9468, 0, 0, 126.45, 273.8918, 289.3417, 689.34, 38.27325, 110.8553, 99.98257, 0, 10.81573, 135.9219, 7.629395e-06
1.2, 54.62524, 214.1474, 0, 0, 115.5142, 250.9227, 272.4203, 945.9303, 36.72615, 105.5874, 92.16171, 0, 10.05491, 322.5203, 7.629395e-06
1.3, 51.7003, 203.3448, 0, 0, 105.5242, 229.8799, 256.4886, 898.1017, 35.24156, 100.5699, 84.9526, 0, 9.347616, 412.8876, 0
1.4, 125.4502, 193.5248, 0, 0, 96.39815, 210.6018, 241.4886, 994.6183, 33.81699, 95.79081, 78.30741, 0, 8.690074, 392.7606, 0
1.5, 118.7329, 183.7625, 0, 0, 88.06135, 192.9404, 227.3658, 944.3278, 32.44998, 91.23882, 72.18202, 0, 8.078785, 585.4293, 0
1.6, 137.3061, 174.4926, 0, 0, 80.44554, 176.7601, 214.0689, 1068.774, 31.13824, 86.90314, 185.9968, 0, 7.510497, 556.8915, 0
1.7, 129.954, 165.6903, 0, 0, 73.48837, 162.4223, 306.2167, 1036.733, 29.87953, 82.7735, 171.4477, 0, 6.982183, 757.1607, 0
1.8, 126.263, 157.332, 0, 0, 67.13288, 148.8013, 288.3085, 1131.203, 28.67169, 78.84009, 158.0367, 0, 6.491034, 957.8016, 0
1.9, 168.7906, 149.3954, 0, 0, 61.32703, 136.3225, 439.9863, 1207.895, 27.5127, 75.09361, 145.6747, 0, 6.034433, 1255.594, -3.814697e-06
2, 159.7526, 141.8592, 0, 0, 56.02328, 124.8903, 469.6105, 1146.821, 26.40053, 71.52515, 134.2797, 0, 5.609951, 1459.105, 0
2.1, 151.1985, 134.7031, 0, 0, 51.17822, 114.4168, 442.1467, 1167.725, 25.33334, 68.12627, 123.776, 0, 5.215329, 1480.212, 0
2.2, 143.1025, 127.908, 0, 0, 46.75217, 104.8216, 513.2458, 1260.996, 24.30928, 64.8889, 114.0939, 0, 4.848465, 1408.056, 0
2.3, 135.4399, 144.8687, 0, 0, 42.7089, 96.03107, 483.23, 1197.237, 23.32663, 61.80538, 105.1693, 0, 4.507408, 1339.418, 0
2.4, 128.1877, 137.5608, 0, 0, 39.01531, 87.97775, 558.141, 1207.897, 22.38368, 58.86838, 96.94267, 0, 4.190341, 1528.75, 0
2.5, 121.3238, 130.6215, 0, 0, 35.64115, 80.59978, 541.1525, 1303.554, 21.47887, 56.07095, 89.35958, 0, 3.895579, 1492.189, 0
2.6, 114.8274, 124.0323, 0, 0, 32.5588, 126.8774, 509.5047, 1237.643, 20.61063, 53.40645, 82.36967, 0, 3.621551, 1419.449, 0
2.7, 108.6789, 143.5574, 0, 0, 29.74301, 116.2372, 569.4263, 1280.729, 19.77747, 50.86857, 75.92652, 0, 3.366799, 1350.255, 0
2.8, 102.8596, 136.3156, 0, 0, 27.17075, 106.4894, 561.2677, 1223.07, 18.978, 48.45129, 69.98737, 0, 3.129967, 1284.435, 0
2.9, 97.3519, 144.2017, 0, 0, 24.82094, 97.55898, 594.9982, 1268.137, 86.17538, 46.14888, 64.51279, 0, 2.909795, 1221.822, 0
3, 92.13911, 313.3797, 0, 0, 22.67435, 89.37752, 1316.032, 1427.91, 183.5434, 43.95588, 59.46645, 0, 2.70511, 1249.967, 0
3.1, 87.20546, 297.5712, 0, 0, 20.71341, 81.88216, 2371.304, 1488.15, 238.5228, 41.8671, 54.81485, 0, 2.514824, 1271.348, 0
3.2, 82.53597, 365.3363, 0, 0, 18.92205, 75.01539, 3505.035, 1412.905, 285.0461, 39.87757, 50.5271, 0, 2.337923, 1209.374, 0
3.3, 78.11652, 562.4081, 0, 0, 17.28561, 143.775, 4633.596, 1513.528, 273.5236, 37.98258, 46.57476, 0, 2.173465, 1150.42, -1.907349e-06
3.4, 73.93371, 534.0374, 0, 0, 15.7907, 157.6074, 5363.572, 1597.639, 262.4669, 36.17764, 42.93157, 0, 2.020577, 1124.848, -1.907349e-06
