 , C000, C001, C002, C003, C004, C006, C009, C013, C017, C019, C020, C023, C030, C040, C047, C049, C069, C071, C112
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 37.8092, 0, 0, 0, 0, 0, 0, 0, 0, 97.74017, 30.68771, 153.2308, 26.50824, 0, 0, 124.8502
0.2, 0, 0, 0, 35.75232, 0, -1.907349e-06, 0, 0, 0, 0, 0, 0, 93.17621, 29.27983, 244.5099, 24.69153, 0, 0, 241.9707
0.3, 0, 0, 55.34924, 33.80736, -3.051758e-05, 32.4507, 0, 0, 0, 0, 0, 0, 94.26587, 27.93655, 351.7411, 258.0985, 0, 0, 286.5283
0.4, 0, 0, 52.59552, 31.96819, 72.79602, 30.61002, -7.629395e-06, 0, 0, 0, -1.525879e-05, -1.525879e-05, 89.8642, 26.65489, 334.6046, 362.1589, 0, -4.768372e-07, 273.9297
0.5, 0, 0, 62.80045, 78.66788, 68.14053, 28.87374, 0, 0, 41.42879, 83.68819, -1.525879e-05, -1.525879e-05, 150.1865, 25.43203, 318.3029, 337.339, 0, 0, 261.885
0.6, 0, 0, 59.67603, 74.38824, 63.78278, 27.23596, 0.8371277, 0, 39.46111, 78.57266, 67.44794, 28.35681, 241.0103, 24.26527, 332.6789, 314.2201, 20.4279, -4.768372e-07, 301.5278
0.7, 0, 0, 86.2429, 141.4872, 59.7037, 25.69107, 14.77225, 0, 121.0006, 73.76984, 63.59363, 32.36581, 229.7564, 23.15204, 405.5155, 292.6856, 19.41717, -9.536743e-07, 288.2697
0.8, 0, 0, 81.95217, 133.7901, 55.88548, 24.23381, 131.6308, 0, 115.2536, 69.2606, 59.95956, 30.30742, 334.0079, 22.08989, 385.7591, 294.4023, 77.71109, -9.536743e-07, 305.3551
0.9, 0, 0, 77.87491, 126.5118, 52.31146, 22.85921, 125.1996, 0, 109.7796, 65.02699, 56.53317, 45.26547, 318.4116, 21.07646, 490.2788, 415.1403, 73.86611, -9.536743e-07, 476.085
1, 0, 0, 225.8777, 119.6294, 48.966, 21.56257, 119.0827, 0, 104.5655, 61.05215, 96.33136, 42.3867, 303.5435, 20.10952, 466.3928, 507.4762, 70.21137, -9.536743e-07, 455.1515
1.1, 0, 0, 214.64, 113.1214, 45.83449, 20.3395, 113.2647, 0, 99.59913, 57.32028, 90.82651, 39.691, 368.1448, 19.18694, 443.6706, 472.6972, 66.73746, -9.536743e-07, 472.9734
1.2, 0, 0, 203.9613, 106.9674, 42.90324, 19.18579, 107.7309, 0, 94.86861, 53.81653, 85.63623, 37.16676, 350.9544, 18.30669, 422.0553, 561.573, 63.43544, -9.536743e-07, 595.687
1.3, 0, 0, 193.8139, 101.1483, 40.15947, 18.09753, 102.4674, 0, 90.36277, 50.52695, 96.08867, 69.90138, 334.5668, 17.46683, 401.4931, 558.0655, 60.29679, -9.536743e-07, 595.949
1.4, 0, 0, 184.1713, 95.64568, 37.59117, 17.071, 134.4016, 0, 86.07093, 47.43845, 90.59769, 65.45583, 318.9444, 16.66549, 381.9327, 519.8195, 57.31343, -9.536743e-07, 569.745
1.5, 0, 0, 180.5004, 90.44243, 35.18712, 16.10269, 127.8351, 0, 81.98295, 44.53873, 118.04, 61.29299, 364.7426, 15.90092, 363.3253, 484.1947, 54.47768, -9.536743e-07, 544.6933
1.6, 0, 0, 171.5203, 85.52224, 32.93681, 15.1893, 121.5895, 0, 78.08911, 41.81626, 111.2946, 98.68221, 347.7112, 15.17143, 459.4904, 624.4121, 51.78225, -7.152557e-07, 661.6326
1.7, 0, 0, 162.9868, 80.86972, 30.83041, 14.32773, 115.6489, 0, 74.38023, 257.889, 104.9347, 92.40627, 360.5182, 14.4754, 437.1045, 581.6192, 49.22017, 140.3852, 709.4471
1.8, 0, 0, 158.4402, 76.47031, 101.0373, 13.51503, 317.9193, 0, 70.8475, 242.1253, 98.93819, 86.52945, 356.0124, 13.8113, 415.8091, 541.759, 46.78486, 132.2528, 811.3466
1.9, 0, 0, 215.8701, 72.31023, 94.57566, 30.05096, 302.3867, 0, 67.48256, 227.3252, 93.28438, 81.02637, 344.3053, 13.17768, 395.5512, 504.6305, 44.47004, 124.5916, 871.7957
2, 0, 0, 218.0903, 107.1575, 88.5273, 224.2287, 287.6129, 0, 64.27744, 213.4297, 87.95365, 75.87329, 436.8822, 12.57312, 376.2803, 470.0466, 42.26976, 117.3741, 956.7866
2.1, 0, 0, 207.24, 170.737, 82.86575, 311.5039, 273.5609, 0, 140.1967, 200.3837, 82.92754, 71.04793, 416.4822, 11.99629, 357.9482, 437.8328, 40.17834, 110.5748, 1019.128
2.2, 0, 0, 196.9295, 202.807, 84.39571, 293.8346, 260.1955, 0, 133.538, 188.135, 78.18865, 66.52945, 397.0347, 11.44593, 340.5093, 532.952, 94.16476, 104.1693, 1121.283
2.3, 0, 0, 268.2903, 307.4465, 78.99837, 352.9273, 247.483, 0, 127.1955, 218.6465, 73.72057, 62.29833, 378.4953, 10.92082, 323.92, 564.8616, 89.50569, 98.13493, 1085.504
2.4, 0, 0, 254.9424, 381.2633, 73.94621, 450.7628, 235.3917, 0, 121.1543, 262.2826, 69.5078, 58.33631, 360.8217, 10.4198, 308.1389, 526.1498, 85.07714, 92.45009, 1107.54
2.5, 0, 0, 242.2586, 453.2946, 69.21715, 425.1945, 223.8911, 0, 115.4, 404.9445, 94.25506, 54.62626, 343.9733, 9.941768, 293.1266, 490.0911, 80.86771, 87.09457, 1058.841
2.6, 0, 0, 230.2058, 428.6348, 64.79053, 401.0764, 212.9524, 0, 109.919, 380.1919, 88.86885, 51.15215, 327.9117, 9.485664, 278.8457, 456.5036, 76.86655, 82.04928, 1115.266
2.7, 0, 0, 218.7527, 405.3165, 60.647, 389.8936, 202.5481, 0, 104.6984, 356.9523, 83.79045, 47.89899, 312.5999, 9.050486, 297.6772, 472.6637, 73.06335, 77.29626, 1251.065
2.8, 0, 0, 207.8694, 412.4982, 56.76845, 404.5252, 192.6521, 0, 99.72565, 335.1333, 79.00225, 44.85273, 298.0032, 8.635272, 318.6884, 504.1417, 69.44833, 115.5109, 1440.717
2.9, 0, 0, 204.6101, 458.6474, 53.13796, 381.5796, 183.2397, 0, 94.98911, 318.8203, 82.47082, 42.0002, 284.0881, 8.239106, 303.1621, 469.5912, 66.01218, 108.8195, 1430.764
3, 0, 0, 194.4305, 433.6964, 49.73964, 359.9355, 244.3903, 0, 90.47755, 299.3321, 77.75803, 39.32909, 328.5121, 7.861116, 288.3923, 437.4086, 62.74603, 102.5157, 1414.77
3.1, 0, 0, 184.7572, 410.1027, 46.55866, 339.519, 232.4501, 0, 86.18027, 281.0352, 73.31455, 36.82785, 365.5353, 7.500468, 274.3421, 464.5977, 59.64149, 96.57711, 1352.563
3.2, 0, 0, 175.5652, 388.1351, 43.58111, 320.2607, 267.9071, 0, 82.08708, 263.8567, 69.125, 34.48569, 348.4668, 7.156366, 260.9764, 432.7573, 56.69056, 90.98251, 1511.649
3.3, 0, 0, 166.8306, 588.4293, 40.79398, 302.0948, 277.9353, 0, 78.18831, 247.7282, 65.17485, 32.29248, 332.1953, 6.82805, 248.2618, 597.3839, 53.88563, 85.71201, 1553.231
3.4, 0, 0, 158.5305, 742.7557, 38.1851, 284.9592, 264.3561, 0, 74.47471, 232.5856, 95.92291, 30.23875, 316.6836, 6.514796, 281.28, 556.4433, 51.21948, 80.74681, 1527.401
3.5, 0, 0, 150.6433, 702.3489, 35.74306, 268.7957, 265.1702, 0, 70.93748, 218.3686, 90.44141, 28.31564, 321.6198, 6.215913, 267.5762, 518.3085, 48.68525, 76.06925, 1619.734
3.6, 0, 0, 143.1486, 664.1402, 33.4572, 253.5489, 257.7444, 0, 67.56827, 205.0206, 112.2102, 30.79845, 308.5438, 5.930742, 254.5401, 681.7637, 46.27641, 71.66265, 1561.342
3.7, 0, 0, 136.0267, 628.0101, 31.31752, 239.167, 245.1517, 0, 64.35907, 192.4885, 105.798, 28.83974, 347.2316, 5.658655, 242.1392, 635.0403, 43.98675, 67.51132, 1554.938
3.8, 0, 0, 129.2591, 593.8456, 29.31469, 225.6009, 308.536, 0, 61.3023, 180.7225, 99.75214, 27.0056, 331.0178, 5.399049, 230.3423, 591.5189, 41.81038, 63.60047, 1572.819
3.9, 0, 0, 122.8283, 575.3973, 27.43993, 212.8043, 293.4618, 0, 58.39072, 169.6757, 94.0518, 25.28811, 340.2305, 5.151354, 219.1202, 550.9803, 39.74169, 59.91617, 1745.051
4, 0, 0, 116.7174, 544.095, 25.68508, 200.7335, 279.1241, 0, 55.61742, 159.3041, 88.67722, 23.67984, 324.3436, 4.915022, 208.4449, 584.6915, 37.77536, 56.4453, 1744.048
4.1, 0, 0, 110.9105, 595.1152, 24.04245, 189.3474, 265.4868, 0, 52.97583, 149.5665, 83.60977, 22.17386, 309.1985, 4.689534, 198.2896, 544.6207, 35.90631, 53.17549, 1695.635
4.2, 0, 0, 105.3925, 562.7402, 22.50487, 178.6072, 252.5158, 0, 50.45972, 140.4241, 129.8636, 20.76366, 294.7606, 4.47439, 188.6291, 507.2961, 34.12974, 50.0951, 1922.307
4.3, 0, 17.04309, 100.1491, 566.4316, 21.06562, 168.4761, 240.1786, 0, 48.0631, 131.8406, 122.4425, 19.44314, 320.0897, 4.269116, 243.3579, 472.5295, 32.44107, 47.19315, 1956.667
