 , C00, C01, C02, C07, C08, C09, C13, C19, C22, C23, C30, C32, C34, C49
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 102.3198, 0, 0, 0, 75.97571, 160.0566, 0, 13.16183, 0, 0, 74.79591, 0, 0, 112.0161
0.2, 97.16687, 0, 4.248325, 0, 72.71765, 228.6819, 1.525879e-05, 12.3071, 0, -7.629395e-06, 70.43517, 33.34775, 0, 105.232
0.3, 92.27345, 0, 4.047624, 0, 69.59924, 216.1081, 1.525879e-05, 11.50786, 29.20622, 0, 66.32865, 31.21616, 1.525879e-05, 98.85883
0.4, 105.4385, 0, 3.856405, 0, 66.61459, 204.2257, 1.525879e-05, 10.76054, 167.3936, -7.629395e-06, 62.46156, 29.22076, 1.525879e-05, 92.87164
0.5, 179.7489, 0, 3.674219, 10.67618, 63.75797, 284.8663, 1.525879e-05, 10.06174, 717.999, -7.629395e-06, 58.81992, 27.35294, 3.051758e-05, 159.4724
0.6, 170.6966, 0, 3.50064, 10.20987, 110.6263, 389.1239, 1.525879e-05, 9.408325, 1129.68, -7.629395e-06, 55.39059, 25.60449, 1.525879e-05, 325.186
0.7, 162.1001, 0, 3.335261, 9.763947, 105.8822, 367.7284, 1.525879e-05, 8.797348, 1054.528, -7.629395e-06, 52.16121, 23.96783, 3.051758e-05, 415.3726
0.8, 153.9366, 0, 3.177695, 9.337494, 101.3416, 500.5933, 1.525879e-05, 20.35822, 1064.346, -1.525879e-05, 49.12011, 22.43579, 3.051758e-05, 693.2755
0.9, 146.1842, 0, 11.20128, 8.929688, 96.99579, 509.6309, 1.525879e-05, 29.98544, 993.5403, -7.629395e-06, 46.2563, 21.00168, 3.051758e-05, 1407.439
1, 138.8222, 0, 10.6721, 8.539673, 92.8363, 547.0344, 0, 28.03818, 1110.126, -7.629395e-06, 43.55946, 19.65924, 1.525879e-05, 1546.719
1.1, 131.8309, 0, 35.66092, 28.96957, 149.7087, 516.9563, -1.525879e-05, 26.21738, 1036.276, -1.525879e-05, 41.01986, 18.40262, 1.525879e-05, 1506.679
1.2, 125.1918, 0, 81.87706, 49.77838, 143.2887, 488.5321, -1.525879e-05, 24.51481, 967.3375, -1.525879e-05, 38.62831, 17.2263, 1.525879e-05, 1415.43
1.3, 118.887, 0, 82.35939, 47.60428, 137.144, 499.937, -1.525879e-05, 22.92281, 975.2427, -1.525879e-05, 36.3762, 16.12518, 1.525879e-05, 1329.707
1.4, 168.9373, 0, 78.46854, 69.06087, 131.2628, 472.4486, -7.629395e-06, 21.43419, 1123.4, -1.525879e-05, 34.25539, 15.09445, 7.629395e-06, 1415.726
1.5, 160.4294, 0, 114.6686, 66.04459, 125.6338, 478.4832, -7.629395e-06, 20.04224, 1048.666, -1.525879e-05, 32.25823, 14.12959, 7.629395e-06, 1423.404
1.6, 152.35, 0, 623.3376, 63.16003, 120.2462, 452.1743, -1.525879e-05, 18.74068, 1014.436, -1.525879e-05, 30.37751, 54.65277, 7.629395e-06, 1337.199
1.7, 144.6775, 0, 997.2543, 60.40147, 115.0897, 523.4465, -1.525879e-05, 17.52365, 1031.896, -1.525879e-05, 28.60644, 51.15932, 86.46931, 1331.541
1.8, 137.3914, 0, 1003.386, 57.76338, 110.1542, 576.4101, -1.525879e-05, 51.27854, 963.2497, -1.525879e-05, 26.93863, 75.74101, 919.6633, 1250.899
1.9, 130.4722, 0, 955.984, 55.24051, 117.4276, 731.1185, -1.525879e-05, 109.3095, 899.1697, -1.144409e-05, 25.36805, 70.89957, 1384.7, 1175.141
2, 123.9015, 0, 910.821, 52.82784, 112.3919, 690.9188, 63.25658, 102.2109, 920.6014, -7.629395e-06, 23.88904, 66.3676, 1430.113, 1320.899
2.1, 117.6617, 0, 960.5991, 50.52052, 208.9132, 652.9294, 212.5703, 95.57328, 859.3586, -7.629395e-06, 22.49626, 62.12531, 1341.294, 1244.974
2.2, 111.7361, 0, 939.6431, 48.314, 241.867, 656.0877, 201.6797, 93.1619, 802.1899, -1.144409e-05, 21.18468, 58.15419, 1338.243, 1248.641
2.3, 106.109, 0, 895.2521, 46.20384, 231.4949, 642.7655, 191.347, 113.297, 766.3519, -1.144409e-05, 19.94957, 54.43691, 1637.949, 1173.019
2.4, 100.7652, 0, 852.9583, 44.18584, 221.5677, 763.9949, 181.5437, 105.9395, 772.9814, -1.335144e-05, 18.78647, 164.0258, 2123.083, 1101.978
2.5, 95.69057, 0, 812.6625, 42.256, 259.6397, 721.9875, 172.2427, 99.05969, 721.559, -1.144409e-05, 17.69118, 778.0391, 2209.473, 1196.924
2.6, 90.8715, 0, 822.0897, 40.41042, 264.3665, 688.2811, 210.7677, 92.62669, 673.5574, -1.144409e-05, 16.65975, 884.9368, 2099.209, 1168.579
2.7, 86.29511, 0, 783.2521, 57.16519, 253.0296, 650.4368, 199.9694, 86.61147, 628.7491, -9.536743e-06, 15.68845, 840.1241, 1968.834, 1097.807
2.8, 81.9492, 0, 746.2495, 54.66844, 318.4918, 733.2834, 189.7244, 95.85717, 586.9218, -9.536743e-06, 14.77378, 786.4226, 1920.929, 1096.26
2.9, 77.82215, 0, 864.7369, 127.206, 304.8337, 692.9647, 180.0042, 89.63215, 547.8768, -7.629395e-06, 13.91244, 842.5551, 1936.305, 1114.334
3, 73.90295, 0, 842.4086, 162.7841, 291.7615, 1559.363, 170.782, 89.3326, 511.4294, -7.629395e-06, 13.10132, 788.6981, 1917.295, 1046.846
3.1, 70.18111, 0, 802.8393, 167.3662, 279.2498, 1527.415, 162.0323, 83.5313, 477.4067, -5.722046e-06, 12.33749, 773.9623, 1849.393, 983.4464
3.2, 66.64673, 0, 801.001, 160.0564, 267.2746, 1523.33, 153.7309, 104.6126, 445.6473, -3.814697e-06, 11.61819, 752.959, 1862.044, 970.7598
3.3, 63.29033, 0, 763.1598, 153.0658, 255.813, 1581.068, 145.8548, 97.81902, 416.0007, -3.814697e-06, 10.94082, 762.6824, 1746.399, 911.9677
3.4, 60.10296, 0, 735.2111, 146.3805, 244.8428, 1657.369, 138.3822, 91.4666, 388.3263, -3.814697e-06, 97.23588, 713.931, 1787.808, 935.0204
3.5, 57.07611, 0, 700.4779, 139.9872, 298.8423, 1611.652, 131.2924, 85.5267, 362.493, -3.814697e-06, 119.8249, 675.1542, 2048.219, 878.3928
3.6, 54.2017, 0, 667.7308, 133.8731, 286.0269, 1573.764, 215.4574, 79.97256, 428.4072, -3.814697e-06, 112.8388, 653.4155, 2627.853, 825.1947
3.7, 51.47204, 0, 636.1856, 128.0261, 273.7611, 1659.375, 303.9681, 74.77909, 399.9075, -3.814697e-06, 106.2601, 611.6485, 2560.14, 775.2184
3.8, 48.87986, 0, 606.1307, 122.4344, 262.0214, 1568.137, 288.3949, 110.5721, 373.3037, -4.768372e-06, 100.0649, 572.5513, 2633.444, 823.0851
3.9, 46.41822, 0, 588.8462, 117.087, 250.785, 1481.915, 273.6195, 103.3915, 450.1992, -4.768372e-06, 94.23093, 535.9532, 2523.909, 773.2367
4, 44.08055, 0, 591.9836, 111.9731, 240.0305, 1400.433, 259.6011, 96.67717, 420.2498, -4.768372e-06, 88.73708, 574.3636, 2603.321, 726.4072
4.1, 41.8606, 24.60034, 564.0168, 107.0826, 229.7372, 1634.182, 246.301, 90.3989, 392.2928, -4.768372e-06, 83.56352, 537.6497, 2467.063, 802.4437
4.2, 39.75246, 23.16322, 629.3677, 102.4057, 496.0762, 1546.037, 233.6822, 84.52834, 366.1956, -3.814697e-06, 78.6916, 503.2826, 2313.843, 753.8453
4.3, 37.75049, 21.81006, 599.6349, 97.93301, 474.8028, 1520.917, 221.7099, 79.03902, 341.8345, -4.768372e-06, 74.10371, 471.1123, 2286.911, 708.1902
4.4, 35.84933, 20.53594, 587.7958, 93.65569, 454.4417, 1437.292, 210.351, 73.90618, 319.094, -3.814697e-06, 69.78332, 440.9983, 2144.879, 695.3292
4.5, 34.04393, 42.53783, 633.9785, 89.5652, 520.542, 1404.096, 199.5741, 69.10667, 297.8663, -3.814697e-06, 65.71481, 412.8092, 2011.668, 701.1584
4.6, 32.32944, 40.05283, 623.0836, 85.65335, 498.2194, 1326.893, 189.3493, 64.61885, 278.0508, -2.861023e-06, 61.88351, 386.4221, 1886.731, 708.6353
4.7, 30.70129, 37.71299, 593.6476, 99.73103, 476.8541, 1337.702, 179.6483, 60.42246, 259.5536, -1.907349e-06, 58.27557, 361.7216, 1984.325, 665.7183
4.8, 29.15514, 35.50985, 565.6022, 95.3752, 456.405, 1441.985, 170.4444, 56.49859, 242.2868, -1.907349e-06, 54.87799, 338.5999, 1861.086, 625.4004
4.9, 27.68686, 33.43542, 538.8818, 108.6098, 436.8328, 1800.439, 161.712, 52.82954, 226.1687, -1.907349e-06, 51.67849, 316.9563, 1826.523, 587.5243
5, 26.29252, 31.48217, 513.4238, 103.8662, 418.1, 2101.268, 153.427, 49.39876, 211.1229, -1.430511e-06, 48.66553, 296.6961, 1790.347, 551.9421
5.1, 24.9684, 29.64302, 554.0294, 119.2117, 400.1705, 1985.732, 145.5665, 46.19078, 197.078, -1.430511e-06, 45.82823, 277.731, 1697.326, 518.5148
5.2, 23.71097, 27.91132, 527.8557, 114.6682, 383.0098, 2145.865, 138.1086, 43.19112, 183.9674, -9.536743e-07, 43.15635, 259.9781, 1681.732, 487.1121
5.3, 22.51686, 26.28078, 502.9185, 109.66, 366.5851, 2070.062, 131.0329, 40.38626, 171.729, -1.430511e-06, 40.64025, 243.3601, 1577.286, 457.6111
5.4, 21.38289, 24.74549, 479.1594, 104.8705, 350.8647, 2168.913, 277.3218, 56.77791, 160.3048, -1.430511e-06, 38.27084, 706.1608, 1479.326, 429.8968
