 , C02, C03, C05, C07, C11, C13, C15, C19, C22, C28, C30, C45
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 8.008169, 0, 0, 0, 0, 95.61743, 0, 0, 0, 0, 82.77081, 152.7314
0.2, 7.592528, 0, 147.6744, 0, 0, 134.4189, 0, 0, -7.629395e-06, 0, 79.16376, 204.322
0.3, 23.57342, 0, 138.693, 62.8537, 0, 126.4579, 0, 59.21375, -7.629395e-06, 69.33488, 118.5678, 300.5095
0.4, 22.34991, -3.814697e-06, 130.2578, 201.4896, 0, 127.2202, 0, 56.31836, -7.629395e-06, 65.01214, 113.4007, 581.1924
0.5, 21.1899, -3.814697e-06, 261.0003, 192.3381, 0, 204.0804, 0, 58.75085, -1.525879e-05, 432.1613, 108.4588, 789.0801
0.6, 20.0901, 14.32425, 286.2712, 183.6022, 0, 199.6094, 0, 55.87805, 159.1875, 411.6868, 103.7323, 749.861
0.7, 19.04738, 111.3898, 268.8604, 211.9114, 0, 351.5642, 0, 53.14575, 149.7275, 597.1734, 138.9871, 945.2181
0.8, 18.05878, 106.0189, 252.5086, 202.2866, 0, 330.7427, -9.536743e-07, 50.54709, 140.8297, 559.942, 132.9301, 898.2385
0.9, 17.12149, 100.9069, 263.9612, 193.0989, 0, 311.1542, -9.536743e-07, 133.1787, 132.4606, 525.032, 256.7878, 950.6509
1, 16.23285, 96.04141, 247.9073, 240.1747, 0, 320.0738, 0, 126.6666, 124.5889, 492.2984, 245.5972, 903.4012
1.1, 15.39033, 91.41052, 260.7809, 333.7791, 0, 383.4062, -9.536743e-07, 318.5752, 117.185, 560.9971, 276.2415, 858.5
1.2, 14.59153, 87.00292, 244.9205, 318.6191, 0, 360.6987, -9.536743e-07, 443.4944, 110.221, 526.0212, 264.2032, 878.8797
1.3, 13.8342, 82.80785, 230.0247, 315.444, 0, 339.3362, -9.536743e-07, 461.6371, 103.6709, 493.2259, 394.2859, 835.1972
1.4, 13.11618, 78.81503, 216.0348, 301.1169, 0, 319.2388, -1.907349e-06, 439.0643, 97.5101, 462.4753, 437.5346, 912.9945
1.5, 33.57801, 75.01476, 202.8958, 287.4405, 0, 397.6429, -9.536743e-07, 421.343, 91.71539, 459.8198, 418.4672, 934.1214
1.6, 31.83524, 71.39773, 190.5558, 292.4136, 0, 374.0923, -9.536743e-07, 400.7403, 86.26503, 431.1519, 400.2307, 887.6932
1.7, 30.18292, 67.95509, 178.9664, 331.062, 0, 351.9364, -9.536743e-07, 381.1451, 81.13857, 440.0663, 382.789, 938.2453
1.8, 28.61636, 64.67846, 237.5941, 316.0255, 0, 331.0928, -4.768372e-07, 362.5081, 76.31676, 412.63, 384.3579, 1002.786
1.9, 27.13111, 61.55981, 249.0607, 301.672, 0, 311.4837, -4.768372e-07, 344.7823, 71.78149, 386.9041, 411.2668, 952.9446
2, 25.72295, 58.59155, 233.9131, 351.6706, 0, 345.2086, -4.768372e-07, 327.9233, 67.51575, 362.7822, 393.3441, 933.3541
2.1, 24.38787, 55.7664, 219.6867, 335.6981, 11.92351, 324.7635, -4.768372e-07, 370.239, 63.50349, 340.1642, 450.6171, 925.3094
2.2, 23.12209, 136.144, 206.3256, 320.451, 11.27459, 305.5291, -4.768372e-07, 352.1352, 59.72968, 318.9564, 430.9796, 961.9241
2.3, 58.55048, 129.5795, 193.777, 305.8964, 10.66098, 287.434, -9.536743e-07, 334.9167, 56.18013, 299.0708, 440.4171, 1015.051
2.4, 55.51158, 123.3315, 181.9917, 363.7425, 18.65102, 320.9067, -9.536743e-07, 318.5402, 52.84153, 280.4249, 478.8418, 1077.295
2.5, 52.63041, 117.3847, 170.9232, 347.2216, 17.63596, 301.9009, -4.768372e-07, 339.0902, 49.70132, 262.9416, 457.9742, 1023.75
2.6, 64.50809, 111.7247, 160.5278, 331.4512, 16.67614, 284.0207, -4.768372e-07, 405.4063, 46.74773, 246.5482, 438.0161, 1098.989
2.7, 61.15998, 106.3376, 150.7646, 317.6366, 15.76856, 277.5802, -4.768372e-07, 385.583, 43.96965, 231.1769, 418.9277, 1201.416
2.8, 57.98565, 101.2102, 289.3085, 306.1037, 14.91037, 261.1404, -4.768372e-07, 431.6111, 41.35668, 216.764, 501.9916, 1141.702
2.9, 54.97607, 96.33011, 271.713, 346.9607, 14.09889, 367.0165, -2.384186e-07, 410.5063, 38.89898, 203.2497, 480.1152, 1084.957
3, 52.12269, 91.6853, 255.1877, 387.4169, 149.1423, 345.2797, -2.384186e-07, 390.4336, 36.58733, 190.5779, 555.0524, 1031.032
3.1, 56.06189, 87.26446, 378, 458.1029, 141.0254, 324.8304, 0, 377.6674, 34.41306, 178.6961, 543.3231, 979.787
3.2, 53.15216, 215.4093, 355.0104, 469.9377, 486.3483, 305.5921, -2.384186e-07, 422.7332, 32.36801, 339.401, 725.846, 931.0892
3.3, 50.39344, 293.3216, 616.8289, 634.4841, 803.9785, 366.2527, 0, 402.0626, 216.7133, 318.2408, 694.2142, 884.8118
3.4, 47.77792, 309.8622, 1146.467, 605.6665, 760.2228, 344.5612, -2.384186e-07, 382.4028, 536.2963, 361.3714, 868.6221, 840.8345
3.5, 45.29814, 911.8142, 1289.271, 678.3558, 765.5393, 431.225, -2.384186e-07, 363.7042, 819.5795, 338.8414, 938.9445, 799.043
3.6, 42.94707, 1215.602, 1223.124, 794.8177, 785.7091, 510.025, 0, 345.92, 901.5858, 471.3117, 950.3446, 759.3285
3.7, 40.71802, 1156.988, 1148.734, 1067.202, 1009.669, 628.9452, 0, 329.0054, 848.0073, 441.9274, 1113.013, 721.588
3.8, 38.60467, 1101.201, 1078.869, 1126.267, 1107.09, 591.6956, 0, 316.6191, 846.2583, 414.375, 1462.812, 685.7234
3.9, 36.601, 1108.66, 1110.207, 1077.021, 1114.408, 640.0592, 0, 338.7352, 795.9678, 461.6479, 1399.064, 651.6412
4, 34.70133, 1055.203, 1125.405, 1093.685, 1053.757, 602.1514, 0, 365.3157, 748.666, 432.8661, 1447.339, 619.2531
4.1, 32.90025, 1004.324, 1056.959, 1044.011, 1049.653, 619.4837, -1.192093e-07, 347.4526, 880.7819, 405.8786, 1390.568, 588.4746
4.2, 31.19266, 955.8977, 1023.698, 1160.702, 1194.158, 650.6035, 0, 347.9592, 855.5454, 507.6594, 1715.857, 559.226
4.3, 29.57369, 909.8065, 1044.59, 1107.984, 1129.167, 636.6815, 0, 330.9449, 1069.222, 476.0089, 1815.995, 531.4311
4.4, 28.03875, 865.9378, 981.0595, 1093.814, 1067.714, 677.9264, -1.192093e-07, 314.7625, 1512.232, 633.2158, 2089.253, 505.0176
4.5, 26.58348, 824.1843, 1307.663, 1142.339, 1326.846, 637.7759, -1.192093e-07, 299.3714, 1744.72, 701.0976, 2554.707, 666.7237
4.6, 25.20374, 807.2153, 1799.247, 1090.455, 1268.264, 600.0033, 0, 324.0494, 1761.436, 680.7282, 2559.786, 633.5859
4.7, 23.89561, 777.7109, 1759.033, 1040.927, 1216.081, 564.4678, 1.192093e-07, 308.2042, 1811.708, 638.2876, 2448.233, 602.0951
4.8, 22.65538, 740.2115, 1777.339, 998.6047, 1149.897, 531.0369, 1.192093e-07, 341.9302, 1762.142, 609.9893, 2466.691, 572.1695
4.9, 21.47952, 704.5203, 1669.242, 1037.488, 1134.562, 861.517, 1.192093e-07, 325.2107, 1657.424, 620.0201, 2710.301, 543.7313
5, 20.36468, 682.9799, 1638.947, 1089.257, 1072.815, 1335.646, 1.192093e-07, 321.0513, 1558.928, 581.3643, 2763.067, 572.5633
5.1, 19.30771, 664.4093, 1539.268, 1039.784, 1137.64, 1297.67, 1.192093e-07, 305.3528, 1538.248, 545.1187, 2731.899, 544.1055
5.2, 18.3056, 632.373, 1647.03, 1026.404, 1075.725, 1220.815, 1.192093e-07, 290.4218, 1614.526, 511.1328, 2878.039, 578.7735
5.3, 17.3555, 601.8815, 1546.859, 979.7853, 1017.18, 1164.918, 1.192093e-07, 276.2209, 1518.58, 561.2302, 2752.616, 550.007
5.4, 16.45471, 572.8602, 1569.433, 992.441, 961.8209, 1119.41, 5.960464e-08, 262.7144, 1428.336, 616.0024, 2632.66, 627.6672
5.5, 15.60068, 545.2382, 1501.881, 986.7536, 968.0578, 1105.447, 0, 249.8683, 1343.454, 577.5972, 2797.241, 596.4706
5.6, 14.79097, 518.9481, 1410.538, 1210.87, 956.0186, 1110.695, 5.960464e-08, 237.6504, 1263.617, 619.1333, 2769.112, 566.8246
5.7, 14.02328, 493.9257, 1430.933, 1543.374, 903.9883, 1098.419, 0, 282.0748, 1244.578, 647.1078, 2795.814, 538.652
5.8, 13.29545, 470.1097, 1435.075, 1538.134, 895.1636, 1033.364, 5.960464e-08, 268.2821, 1262.69, 606.7632, 2673.974, 582.777
5.9, 12.60538, 508.674, 1355.007, 1599.08, 846.4453, 972.1629, 0, 255.1638, 1276.116, 568.934, 2625.045, 553.8116
6, 11.95114, 484.147, 1372.434, 1565.469, 800.3784, 942.9451, 5.960464e-08, 242.6869, 1200.281, 533.4633, 2591.956, 614.0906
6.1, 11.33085, 460.8025, 1288.964, 1494.367, 837.6164, 887.0987, 5.960464e-08, 230.8201, 1128.952, 543.0437, 2479.001, 583.5687
6.2, 10.74275, 438.5837, 1210.57, 1537.183, 792.03, 834.5598, 5.960464e-08, 219.5336, 1184.567, 509.1872, 2370.968, 554.5639
6.3, 10.18518, 417.4362, 1149.626, 1485.541, 748.9246, 833.6002, 5.960464e-08, 208.7989, 1729.992, 534.4069, 2473.688, 527.0007
6.4, 9.656546, 397.3084, 1185.139, 1619.789, 708.1652, 784.2297, 5.960464e-08, 198.5892, 1822.667, 658.6075, 2511.311, 500.8074
6.5, 9.15535, 378.1512, 1113.06, 1571.791, 701.193, 737.7834, 0, 201.9892, 1840.253, 617.546, 2619.805, 573.0214
6.6, 8.680167, 359.9176, 1047.86, 1500.402, 663.0313, 694.0878, 2.980232e-08, 309.9415, 1730.892, 579.0446, 2514.552, 544.5409
6.7, 8.229648, 342.5632, 1044.796, 1432.255, 683.8965, 652.98, 2.980232e-08, 448.4034, 1628.031, 542.9435, 2418.889, 571.2286
6.8, 7.802511, 326.0456, 1044.069, 1367.204, 667.1694, 614.3069, 2.980232e-08, 426.4775, 1635.201, 509.0932, 2322.054, 542.8372
6.9, 7.397544, 324.2377, 1087.23, 1324.513, 668.7408, 577.9243, 2.980232e-08, 482.879, 1538.026, 477.3533, 2359.587, 515.8568
7, 7.013595, 310.938, 1021.106, 1378.826, 658.5854, 606.0327, 2.980232e-08, 497.4951, 1517.745, 496.2824, 2256.758, 547.4294
7.1, 6.649574, 295.9453, 1007.945, 1333.173, 622.7426, 570.1401, 336.9915, 473.1688, 1427.55, 486.2657, 2360.166, 520.2208
7.2, 6.304447, 281.6756, 993.3531, 1272.622, 588.8505, 545.0684, 318.7651, 472.7814, 1361.874, 455.9491, 2336.258, 536.7031
7.3, 5.977232, 268.0938, 932.9384, 1214.821, 556.803, 512.7864, 838.584, 485.6448, 1280.942, 440.4432, 2331.233, 549.4517
7.4, 5.667001, 255.167, 876.1979, 1159.645, 526.4996, 568.3781, 899.2829, 492.4247, 1204.82, 412.9834, 2229.64, 573.7375
7.5, 5.372871, 242.8634, 828.356, 1106.975, 497.8454, 534.7156, 850.6448, 468.3464, 1303.86, 387.2355, 2221.61, 576.3448
7.6, 5.094007, 286.426, 819.0357, 1056.697, 470.7507, 531.779, 873.5915, 445.4454, 1231.335, 420.4503, 2206.538, 581.6224
7.7, 4.829617, 272.6152, 769.2227, 1181.637, 445.1306, 523.2257, 826.3429, 423.6643, 1220.915, 394.2369, 2187.528, 844.1296
7.8, 4.578949, 259.4704, 722.4393, 1224.849, 420.9048, 492.2374, 781.6497, 464.6964, 1148.36, 369.6579, 2209.181, 861.9707
7.9, 4.341292, 246.9593, 755.7615, 1169.906, 397.9975, 463.0844, 739.3738, 441.9739, 1080.117, 346.6112, 2112.907, 895.1102
8, 42.52436, 348.5721, 747.8969, 1116.771, 376.3369, 537.9379, 752.3668, 420.3625, 1015.929, 325.0014, 2046.258, 850.621
8.1, 40.31726, 364.5786, 738.1091, 1066.048, 355.8552, 546.1465, 715.6233, 424.5562, 955.5554, 304.7389, 2093.091, 808.343
8.199999999999999, 38.2247, 346.9995, 774.702, 1113.024, 336.4882, 513.8007, 831.0848, 425.5749, 1012.172, 285.7397, 2065.969, 919.4323
8.300000000000001, 36.24076, 330.268, 754.5155, 1130.091, 318.1752, 483.3706, 800.7759, 415.2193, 952.0218, 313.5233, 2000.438, 972.9146
8.4, 40.01968, 314.3432, 708.6266, 1078.764, 300.8588, 454.7428, 757.4656, 394.9161, 895.4462, 293.9764, 1982.329, 924.5583
8.5, 37.94257, 299.1863, 702.0177, 1029.767, 284.4849, 427.8104, 716.4977, 375.6057, 842.2326, 319.4085, 1895.94, 878.6055
8.6, 35.97327, 284.7603, 665.5878, 995.4171, 269.0021, 402.4731, 677.7456, 357.2395, 901.1193, 299.4947, 2062.356, 834.9366
8.699999999999999, 90.75829, 271.0298, 625.1074, 950.2062, 254.362, 411.1522, 641.0895, 339.7714, 847.5686, 280.8224, 2005.953, 793.4382
8.800000000000001, 86.04774, 295.8918, 667.4991, 975.0172, 240.5186, 406.8101, 613.4897, 323.1574, 797.2003, 263.3143, 1918.535, 754.0024
8.9, 81.58167, 333.509, 653.3226, 930.7329, 271.0362, 382.7166, 580.3088, 342.9668, 749.8252, 246.8977, 1995.877, 862.6608
9, 77.3474, 317.4279, 651.1189, 1086.593, 256.2853, 366.3639, 548.9226, 326.1966, 736.2056, 231.5047, 1965.338, 944.7659
9.1, 80.24107, 302.1223, 654.0867, 1076.285, 242.3373, 344.6658, 589.4976, 310.2464, 914.2151, 217.0713, 1917.631, 897.8087
9.199999999999999, 100.3483, 287.5547, 614.3058, 1027.401, 229.1483, 324.2528, 559.717, 370.6053, 859.8862, 203.5378, 1839.39, 853.1854
9.300000000000001, 95.13998, 319.7626, 752.3279, 1340.871, 431.9163, 323.8014, 594.8522, 383.6512, 900.0612, 190.848, 2109.628, 810.78
9.4, 90.20201, 318.4494, 1076.691, 1406.91, 408.4097, 359.7011, 595.1096, 364.8916, 858.7747, 178.9494, 2140.434, 819.8318
9.5, 85.52033, 350.8705, 1049.811, 1352.952, 386.1824, 338.3976, 562.9229, 431.3018, 909.697, 167.7927, 2047.155, 779.0841
9.6, 81.08164, 336.7462, 985.9623, 1291.503, 372.1236, 318.3559, 567.2078, 822.1507, 885.6962, 157.3315, 2192.584, 780.8725
9.699999999999999, 76.87333, 320.5091, 994.5159, 1324.489, 351.8712, 299.5011, 536.5301, 1097.5, 870.4416, 147.5225, 2097.033, 911.8435
9.800000000000001, 72.88344, 305.0549, 967.8813, 1291.778, 348.9281, 281.7629, 507.5116, 1078.106, 818.714, 138.3251, 2005.646, 866.5226
9.9, 118.6558, 290.3458, 925.5075, 1233.107, 329.9381, 265.0754, 512.4423, 1053.282, 801.1606, 129.7011, 1918.242, 909.0321
10, 112.4973, 276.346, 917.7983, 1177.101, 311.9816, 283.5312, 484.7266, 1001.779, 753.5502, 121.6147, 1906.016, 1232.65
10.1, 106.6584, 263.0213, 861.9788, 1133.537, 295.0023, 266.739, 517.0654, 1032.055, 837.1617, 114.0325, 1895.016, 1260.216
10.2, 101.1226, 250.339, 809.554, 1082.053, 278.9471, 250.9412, 489.0997, 991.569, 787.4119, 106.9231, 1812.433, 1197.581
10.3, 95.87415, 238.2682, 763.4196, 1032.907, 263.7657, 236.0791, 462.6465, 943.0837, 740.6185, 100.2569, 1733.448, 1138.058
10.4, 90.89807, 226.7795, 793.1906, 1086.746, 249.4106, 222.0972, 437.6241, 978.6613, 755.9086, 94.00626, 1792.539, 1081.494
10.5, 86.18027, 215.8447, 771.4806, 1063.416, 235.8367, 274.7316, 413.955, 930.8072, 710.9873, 88.14535, 1804.017, 1027.741
10.6, 81.70732, 205.4372, 724.5599, 1142.537, 223.0015, 500.105, 391.5661, 885.293, 668.7356, 82.64985, 1851.853, 1116.84
10.7, 77.46653, 195.5315, 680.4929, 1293.146, 210.8649, 798.5917, 370.3881, 842.0045, 628.9948, 204.5323, 1800.316, 1061.33
10.8, 73.44585, 186.1034, 639.106, 1327.404, 199.3888, 896.7048, 350.3555, 800.8326, 610.7239, 191.7806, 1753.431, 1058.619
10.9, 69.63385, 177.13, 719.4248, 1267.115, 188.5373, 843.597, 331.4063, 984.3826, 730.7814, 179.8238, 1677.018, 1039.694
11, 66.0197, 168.5892, 675.6701, 1281.5, 178.2764, 793.6346, 313.4821, 1384.04, 687.3535, 168.6125, 1769.172, 1091.741
11.1, 62.59313, 160.4602, 634.5765, 1223.296, 168.5739, 776.7365, 296.5273, 1329.318, 646.5062, 158.1002, 1692.073, 1037.479
11.2, 59.34441, 152.7232, 657.8661, 1167.735, 159.3994, 864.322, 280.4894, 1301.906, 657.274, 148.2433, 1618.334, 985.9135
11.3, 56.26431, 145.3593, 617.8553, 1114.698, 150.7243, 813.132, 265.3191, 1238.246, 618.2143, 139.001, 1733.937, 936.9112
11.4, 53.34407, 138.3504, 580.278, 1161.331, 142.5213, 764.9739, 250.9692, 1369.178, 581.4757, 130.3348, 1735.895, 970.4617
11.5, 50.5754, 131.6794, 544.9861, 1108.584, 134.7647, 800.7149, 237.3954, 1302.229, 546.9205, 122.209, 1773.985, 938.1821
11.6, 47.95042, 125.3302, 511.8406, 1058.234, 127.4303, 902.9748, 224.5558, 1238.553, 514.4187, 114.5898, 1696.677, 997.5734
11.7, 45.46169, 119.287, 480.7109, 1125.834, 120.495, 849.4957, 212.4106, 1177.991, 483.8484, 107.4455, 1648.315, 1333.148
11.8, 43.10213, 113.5353, 451.4745, 1074.7, 113.9372, 805.9995, 200.9223, 1214.442, 455.0948, 100.7468, 1624.515, 1266.887
11.9, 40.86504, 108.0609, 424.0163, 1156.05, 107.7363, 758.2637, 190.0553, 1277.771, 484.9383, 159.1928, 1761.413, 1203.92
12, 38.74405, 102.8504, 567.3267, 1103.544, 101.8729, 734.0096, 179.7761, 1216.78, 606.0855, 719.6252, 1684.652, 1144.082
12.1, 36.73315, 97.89124, 532.8224, 1077.359, 96.32854, 774.4792, 170.0528, 1157.283, 671.145, 901.0465, 1611.237, 1087.218
12.2, 34.82662, 93.17115, 500.4166, 1067.415, 91.08597, 728.6104, 160.8554, 1100.695, 631.2609, 894.2982, 1576.651, 1033.181
12.3, 33.01904, 88.67866, 497.9655, 1033.608, 86.12872, 745.7903, 152.1555, 1148.519, 824.3112, 838.5424, 1731.511, 1134.964
12.4, 31.30528, 84.40278, 467.6797, 1080.899, 167.4026, 712.0476, 143.9261, 1092.359, 775.325, 938.4198, 1656.053, 1078.553
12.5, 29.68047, 80.33307, 439.2359, 1117.749, 158.2919, 669.8762, 136.1418, 1038.946, 755.5353, 1081.912, 1583.884, 1076.704
12.6, 28.13999, 76.45959, 412.522, 1066.982, 255.6967, 800.3982, 128.7785, 988.1439, 892.9073, 1565.83, 1577.483, 1023.189
12.7, 26.67946, 72.7729, 387.4328, 1104.493, 332.5861, 822.7813, 121.8135, 1015.283, 839.8447, 1744.574, 1583.194, 1043.947
12.8, 25.29474, 69.26396, 363.8695, 1080.714, 314.4854, 774.0517, 115.2251, 965.638, 789.9354, 1742.378, 1614.866, 1115.834
12.9, 23.98189, 65.92422, 387.7514, 1031.629, 297.3699, 728.2081, 108.9931, 918.4207, 742.992, 1633.748, 1555.352, 1116.143
13, 22.73717, 62.74551, 364.1687, 1064.571, 281.1859, 685.0795, 103.0982, 873.5123, 698.8383, 1627.408, 1555.794, 1060.668
13.1, 21.55706, 59.72006, 342.0203, 1174.444, 296.1521, 680.8731, 97.52208, 852.8836, 722.4185, 1668.328, 1549.836, 1129.181
