 , C000, C001, C002, C004, C006, C007, C008, C009, C011, C012, C014, C015, C016, C023, C028, C034, C038, C041, C042, C087
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 63.33081, 0, 0, 0, 0, 0, 0, 45.32806, 0, 0, 0, 296.3054, 547.2412, 92.71228, 120.666, 0, 0, 0, 90.26105, 0
0.2, 59.21353, -7.629395e-06, -6.103516e-05, 102.4793, 2.244507, 0, -7.629395e-06, 64.80914, 0, 0, 0, 278.7025, 665.649, 86.18512, 151.897, 0, 0, 0, 85.42584, 74.44855
0.3, 55.36393, 44.64789, -6.103516e-05, 133.869, 114.7356, 124.8928, -7.629395e-06, 70.03748, 0, 0, -3.814697e-06, 337.6633, 701.7358, 80.11749, 144.6536, 0, 0, 0, 80.84955, 71.10147
0.4, 51.76459, 41.46344, -6.103516e-05, 125.2108, 169.3879, 118.4999, 13.90997, 65.53763, 0, 0, -3.814697e-06, 339.0893, 717.4285, 74.47702, 261.5288, 0, 0, 0, 308.2585, 113.9286
0.5, 77.10287, 38.50611, 151.7799, 131.0375, 190.928, 112.4342, 13.0937, 61.32687, 0, 0, -1.907349e-06, 318.9448, 686.6342, 69.23366, 249.0576, -3.051758e-05, 0, 0, 291.7451, 108.8065
0.6, 72.09024, 85.41413, 282.9828, 122.5623, 178.059, 186.1484, 12.32534, 57.38666, 0, 0, 0, 299.9969, 729.1077, 64.35944, 378.6616, 59.35086, 0, 0, 276.1163, 103.9148
0.7, 67.40349, 83.92809, 281.4774, 114.6354, 166.0574, 176.6201, 11.60207, 120.676, 0, 0, 0, 388.6655, 914.9429, 59.82838, 603.1863, 113.1843, 0, 0, 325.55, 158.0258
0.8, 63.02143, 77.94203, 325.51, 107.2211, 293.3528, 216.4959, 10.92123, 112.9227, 0, 0, 0, 568.9948, 1191.037, 55.6163, 574.423, 106.7882, 0, 0, 402.3382, 150.9213
0.9, 58.92427, 72.3829, 309.3001, 100.2864, 273.58, 205.4141, 10.28035, 105.6675, 0, 146.5598, 1.907349e-06, 535.192, 1434.104, 51.70078, 650.3298, 162.0331, 0, 0, 406.9174, 144.1361
1, 69.32888, 195.8063, 487.6284, 93.80013, 255.1401, 194.8995, 9.677078, 98.87845, 0, 172.2479, 1.907349e-06, 552.2336, 1591.035, 176.9612, 619.3185, 357.8632, 0, 0, 385.1188, 137.6561
1.1, 64.82166, 181.8407, 494.1631, 87.73341, 237.9431, 277.6022, 28.50047, 92.52557, 0, 163.1956, 1.907349e-06, 549.1625, 1492.618, 164.5027, 704.8457, 337.6403, 0, 0, 364.488, 131.4673
1.2, 60.60745, 212.8278, 532.3569, 82.05907, 269.11, 263.3926, 26.82801, 86.5809, 0, 251.8786, 0, 516.5378, 1491.023, 152.9213, 671.2347, 629.7522, 0, 0, 418.0847, 146.8404
1.3, 56.66722, 267.3631, 505.8463, 76.75173, 250.9713, 249.9104, 25.25368, 124.6926, 0, 238.6414, 0, 557.4029, 1526.549, 142.1553, 767.1356, 718.53, 0, 0, 433.2848, 309.5256
1.4, 167.0392, 255.7634, 710.681, 71.78766, 312.7772, 255.0988, 51.62161, 160.6847, 0, 226.0999, 9.536743e-07, 524.2888, 1432.121, 132.1472, 854.64, 677.9258, 0, 0, 410.0738, 295.61
1.5, 195.9568, 237.5214, 675.2902, 67.14464, 291.6953, 242.041, 48.59235, 150.3609, 0, 247.8035, 9.536743e-07, 493.1419, 1343.534, 122.8437, 841.4727, 639.6161, 0, 0, 388.1061, 282.3199
1.6, 183.2172, 220.5804, 641.6617, 62.80193, 272.0343, 267.0303, 45.74085, 140.7003, 0, 234.7805, 1.907349e-06, 463.8453, 1284.307, 321.9043, 801.3464, 603.4713, 0, 0, 395.582, 269.6274
1.7, 171.3059, 204.8478, 729.3724, 58.74009, 253.6986, 345.2078, 99.87245, 131.6604, 0, 222.4418, 9.536743e-07, 436.2892, 1204.863, 299.2415, 939.9473, 569.3691, 0, 0, 661.4443, 257.5055
1.8, 160.1689, 313.629, 824.84, 54.94094, 236.5987, 423.6604, 94.01173, 123.2014, 0, 210.7516, 9.536743e-07, 410.3702, 1130.334, 278.1742, 971.7839, 661.0099, 0, 0, 626.0107, 245.9285
1.9, 149.7559, 309.6647, 837.3546, 51.38752, 220.6514, 401.9745, 88.49493, 259.7311, 0, 232.7909, 9.536743e-07, 425.4121, 1060.415, 258.59, 934.8519, 623.6562, 0, 0, 652.1251, 234.872
