 , C001, C002, C003, C004, C006, C007, C008, C009, C010, C012, C014, C016, C019, C021, C022, C025, C036, C053, C054, C063, C064, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 162.2133, 191.9625, 64.10912, 0, 30.78506, 0, 0, 0, 0, 176.2344, 62.38422, 97.24252, 0, 0, 0, 0, 0, 85.68282, 25.5634, 0, 15.08466, 392.5056
0.2, 260.3545, 177.781, 60.96722, 263.2805, 29.3681, 0, 1.525879e-05, 0, 1.525879e-05, 449.6368, 151.2375, 116.7147, 9.536743e-07, 38.52032, 0, 0, 0, 81.88696, 24.16627, 0, 168.8132, 529.3743
0.3, 241.969, 164.6472, 57.97929, 256.3447, 28.01636, 112.5641, 0, 0, 146.4739, 497.3129, 166.8421, 109.5542, 71.65375, 311.3438, 0, 3.814697e-06, 0, 78.25928, 95.13531, 1.525879e-05, 219.371, 592.5942
0.4, 224.8819, 214.3583, 139.5365, 241.68, 26.72687, 164.7469, 367.8705, 0, 208.448, 464.5316, 275.0737, 102.8331, 172.8513, 295.2043, 0, 0, 0, 74.7923, 122.2308, 1.525879e-05, 257.4238, 738.2019
0.5, 278.3277, 267.8492, 132.698, 233.067, 97.84576, 154.5532, 730.0989, 0, 196.5702, 479.1506, 330.2881, 183.0544, 159.6293, 279.9014, 0, 0, 0, 71.47891, 115.5504, 1.525879e-05, 368.0029, 741.9292
0.6, 258.673, 278.0075, 126.1946, 219.7339, 150.6598, 144.9902, 675.2324, 0, 185.3692, 447.5664, 313.0919, 171.824, 354.0869, 350.7784, 0, 0, 0, 69.58797, 170.3181, 1.525879e-05, 517.3091, 983.0098
0.7, 240.4063, 261.4797, 120.01, 476.9158, 143.7253, 136.019, 624.4891, 39.9728, 174.8065, 418.0642, 296.791, 161.2826, 327.0016, 332.5945, 0, 0, 0, 140.0246, 161.0096, 1.525879e-05, 491.2018, 1052.465
0.8, 223.4295, 242.1626, 114.1284, 449.6329, 137.11, 127.6028, 663.8309, 37.68203, 164.8457, 390.5066, 281.3388, 151.3879, 352.5977, 315.3533, 0, -3.814697e-06, 0, 133.8214, 152.2098, 1.525879e-05, 466.412, 1312.655
0.9, 207.6516, 224.2725, 108.5352, 553.1207, 130.7992, 119.7074, 613.9445, 91.19193, 155.4525, 364.7656, 266.6912, 334.1176, 325.6262, 446.812, 0, 0, 0, 127.8929, 143.891, 1.525879e-05, 442.8734, 1455.352
1, 192.9878, 207.704, 103.216, 521.4783, 124.7789, 112.3005, 567.8069, 85.96587, 146.5945, 364.4465, 410.3131, 402.8788, 431.7752, 423.65, 0, 3.814697e-06, 0, 122.2271, 136.0268, 1.525879e-05, 420.5226, 1475.953
1.1, 333.3305, 405.1794, 98.15752, 514.8627, 119.0357, 105.3519, 617.3569, 81.03931, 138.2412, 424.8156, 388.9504, 777.5212, 431.1727, 441.3542, 0, 3.814697e-06, 0, 116.8123, 128.5925, 1.525879e-05, 487.2126, 1527.761
1.2, 309.7917, 406.774, 93.34695, 485.4089, 113.5568, 98.83331, 606.9597, 76.39508, 130.364, 396.8129, 446.8345, 853.8521, 448.1375, 463.1337, 0, 3.814697e-06, 0, 111.6373, 256.6291, 1.525879e-05, 682.9376, 1574.428
1.3, 287.9152, 376.723, 88.77214, 457.6402, 108.3301, 92.71801, 601.1646, 180.3287, 122.9356, 370.6562, 423.5704, 948.8214, 413.8578, 439.1256, 0, 3.814697e-06, 0, 106.6917, 242.6033, 1.525879e-05, 648.4714, 1548.034
1.4, 267.5834, 348.8921, 84.42152, 579.6667, 174.2132, 86.9811, 555.9874, 169.9944, 260.3018, 346.2237, 401.5175, 890.6111, 382.2004, 668.62, 0, 3.814697e-06, 0, 101.9651, 229.3442, 1.525879e-05, 615.7446, 1579.254
1.5, 248.6875, 323.1172, 80.28414, 546.5058, 329.2128, 81.59916, 514.2053, 160.2523, 245.4693, 323.4016, 380.6129, 835.972, 352.9645, 843.4316, 0, 3.814697e-06, 0, 97.44792, 216.8096, 1.525879e-05, 660.7576, 1542.998
1.6, 315.9293, 347.924, 76.34953, 515.2418, 314.0601, 76.55022, 475.5631, 151.0685, 297.0976, 302.084, 428.0726, 784.6851, 325.9651, 799.7095, 0, 1.907349e-06, 0, 93.13086, 204.9602, 1.525879e-05, 663.2149, 1570.009
1.7, 293.6193, 322.2207, 72.60773, 485.7664, 299.6047, 71.81367, 439.8249, 142.411, 280.1684, 282.1715, 485.9185, 736.5446, 301.0309, 758.2538, 0, 1.907349e-06, 0, 89.00505, 193.7584, 1.525879e-05, 629.744, 1545.37
1.8, 272.8847, 298.4161, 69.04932, 652.8759, 285.8148, 67.37022, 406.7723, 134.2497, 264.2038, 263.5716, 536.3245, 758.8484, 278.0039, 718.9471, 0, 1.907349e-06, 0, 85.06202, 183.1687, 1.525879e-05, 737.4841, 1518.101
1.9, 253.6144, 276.3702, 65.66531, 615.5269, 287.122, 63.20169, 376.2036, 126.5561, 265.2604, 246.1977, 508.4011, 712.293, 256.7385, 681.678, 0, 214.0502, 0, 81.29367, 173.1579, 1.525879e-05, 700.265, 1474.167
2, 396.9084, 255.953, 62.44714, 647.589, 273.9066, 59.29109, 347.9322, 119.3033, 250.1453, 229.9691, 481.9316, 855.6857, 237.0996, 646.3409, 0, 200.234, 0, 77.69226, 163.6942, 1.525879e-05, 716.4042, 1403.991
2.1, 392.1352, 237.0441, 59.38669, 610.5423, 275.1652, 55.62246, 321.7853, 112.4663, 412.711, 214.8102, 456.8402, 958.25, 218.9631, 612.8356, 0, 187.3096, 0, 74.2504, 154.7477, 1.907349e-05, 901.2983, 1641.792
