 , C000, C001, C002, C003, C004, C007, C008, C009, C012, C013, C014, C015, C016, C018, C019, C022, C023, C024, C026, C027, C030, C031, C032, C033, C035, C037, C038, C039, C042, C043, C044, C046, C047, C048, C050, C052, C053, C054, C056, C057, C058, C059, C060, C061, C062, C066, C067, C070, C072, C073, C074, C076, C078, C079, C080, C081, C086, C087, C090, C091, C092, C093, C094, C098, C101, C102, C108, C111, C112, C113, C120, C124, C125, C127
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 52.77765, 0, 0, 70.80072, 44.30731, 0, 0, 87.65901, 97.13269, 82.1167, 155.0315, 0, 0, 0, 4.728786, 116.8364, 12.68243, 0, 29.6871, 87.37183, 30.1405, 42.34613, 0, 0, 0, 69.74475, 78.06616, 89.62341, 14.68408, 121.5524, 0, 0, 28.58325, 0, 24.90976, 8.143585, 0, 0, 0, 0, 94.46838, 0, 0, 0, 85.69373, 66.92725, 0, 123.7014, 0, 63.78119, 126.4402, 72.8924, 0, 188.7256, 44.62506, 0, 19.04144, 0, 0, 0, 143.75, 111.0464, 95.88452, 96.73218, 80.15283, 0, 0, 54.66321, 84.85315, 0, 114.8467, 50.08112, 176.9021, 0
0.2, 49.93829, 0, 0, 67.59698, 42.39313, 0, 14.81544, 230.9894, 93.12115, 148.5754, 193.2061, 0, 0, 28.07227, 29.61312, 192.7526, 177.778, 117.7975, 28.37457, 83.49554, 28.8526, 40.33527, 0, 0, 11.79224, 87.12305, 122.0364, 97.37457, 32.9841, 252.9354, 0, 79.02277, 27.28412, 0, 61.08484, 22.74698, 0, 0.0001220703, 0, 0, 90.38647, 0, 0, 0, 219.6865, 213.0815, 0, 215.1919, 137.8812, 162.6952, 213.5464, 138.6082, 64.14691, 265.6113, 147.5379, -3.051758e-05, 89.23743, -6.103516e-05, 0, -1.525879e-05, 137.5459, 139.1492, 188.0483, 92.25787, 246.745, 134.374, 0, 184.6832, 141.6371, 0, 242.6484, 191.7172, 332.9951, 0
0.3, 101.8126, 0, 0, 98.67603, 111.735, 7.629395e-06, 14.16527, 246.7162, 207.9529, 191.2112, 230.8431, 0, 10.71313, 26.81549, 28.31564, 223.3115, 169.9216, 112.0287, 27.12006, 141.3273, 27.61981, 38.41986, 227.2845, 0, 11.29077, 151.7962, 142.6306, 122.9911, 31.48322, 241.4087, 26.46487, 82.26596, 126.0809, 0, 58.58795, 110.4365, 0, 0.0001220703, 0, 64.13287, 216.5497, 3.051758e-05, 0, 6.103516e-05, 209.5126, 203.8878, -1.525879e-05, 278.8762, 131.5517, 184.7737, 304.9617, 132.231, 78.58722, 254.2129, 173.3026, 0, 131.735, 0, 0, -1.525879e-05, 284.8508, 181.8523, 287.9159, 87.99054, 319.1911, 128.2005, 0, 271.7185, 135.4977, 0, 294.0848, 183.7087, 511.9446, 0
0.4, 96.33527, 0, 16.01245, 94.211, 106.9079, 0, 13.5436, 536.131, 240.8669, 286.0536, 300.5756, 0, 46.14203, 85.50037, 46.45303, 294.9373, 162.4124, 106.5425, 25.921, 182.6417, 26.4397, 36.59543, 233.5396, 0, 158.287, 215.4532, 214.455, 117.8914, 58.84442, 261.6746, 25.29265, 108.0102, 195.064, 0, 56.19312, 116.2949, 0, 0.0001220703, -6.103516e-05, 136.8712, 207.1929, 3.051758e-05, 0, 9.130249, 336.0021, 263.3118, 0, 374.1166, 125.5129, 280.9305, 336.4264, 126.1471, 75.32947, 243.3035, 269.0123, 27.85382, 168.779, -6.103516e-05, 0, -1.525879e-05, 272.5569, 271.1996, 489.6234, 83.92053, 305.5408, 207.4934, 0, 258.7512, 222.4094, 0, 390.194, 304.3504, 490.1498, 0
0.5, 91.15259, 0, 27.93039, 204.3702, 102.2894, 7.629395e-06, 12.94923, 510.5044, 264.1848, 274.0007, 333.5616, 0, 44.14453, 81.67261, 75.94579, 282.2798, 224.988, 101.3248, 24.77497, 261.2391, 41.23102, 34.85767, 223.928, 0, 164.8152, 220.3036, 284.2023, 198.9076, 117.841, 390.4032, 24.17233, 108.9149, 186.1982, 130.3266, 53.89615, 111.1786, 0, 78.67419, -6.103516e-05, 297.1457, 236.5698, 3.051758e-05, 0, 98.16254, 396.1216, 307.9664, -1.525879e-05, 640.975, 119.7512, 379.7983, 361.2972, 166.9872, 72.20679, 370.2632, 254.8545, 64.70795, 161.125, 0, 0, -1.525879e-05, 475.8684, 259.2075, 468.1415, 80.03876, 292.4743, 197.9606, 0, 389.1088, 318.2434, 0, 373.6465, 291.637, 585.302, 0
0.6, 248.4635, 0, 35.60962, 195.1226, 164.8789, 7.629395e-06, 12.38095, 486.1028, 324.045, 262.4557, 455.2747, 3.051758e-05, 42.23355, 149.4296, 72.61829, 270.1656, 278.1915, 218.0618, 23.6796, 249.6491, 39.46924, 81.59818, 320.3965, 0, 157.8054, 361.2585, 409.3813, 190.6601, 144.1675, 459.2981, 23.10165, 104.0724, 231.7444, 124.9472, 51.69308, 117.5049, 0, 75.10138, -6.103516e-05, 351.3647, 291.3912, 6.103516e-05, 0, 101.4876, 495.2086, 329.9451, -1.525879e-05, 703.2349, 114.254, 364.1114, 453.2898, 159.3043, 102.4492, 545.8977, 353.4318, 127.4099, 304.662, 30.34796, 0, -1.525879e-05, 522.813, 294.7542, 447.6021, 76.33655, 440.7511, 324.7563, 0, 410.6254, 368.9986, 0, 475.6383, 279.4548, 611.1825, 0
0.7, 235.0966, 0, 89.36336, 186.2933, 157.7559, 7.629395e-06, 39.1187, 462.8676, 330.5292, 572.6804, 545.8896, 3.051758e-05, 40.40527, 156.846, 69.43657, 258.5713, 290.1723, 352.658, 22.63267, 337.8246, 72.2196, 77.7233, 453.6649, 0, 151.094, 343.5511, 434.6531, 182.7546, 137.6074, 438.3672, 22.0784, 108.7687, 243.2119, 119.7898, 49.58008, 153.9454, 0, 197.9094, -6.103516e-05, 333.7731, 314.8197, 6.103516e-05, -1.907349e-06, 106.1244, 522.3278, 404.1279, -1.525879e-05, 712.6865, 109.0092, 445.8023, 433.051, 210.1716, 98.2023, 737.5984, 334.8311, 121.5004, 290.8458, 29.10638, 0, -1.525879e-05, 590.0717, 385.1793, 680.9532, 138.4551, 421.9023, 425.3722, 0, 438.0237, 517.5356, 0, 613.4034, 267.7815, 723.0918, 0
0.8, 222.4488, 1.525879e-05, 85.6368, 293.9146, 150.9406, 3.814697e-06, 93.01936, 541.5367, 316.8787, 655.5162, 523.4708, 0, 126.0896, 149.8242, 66.39426, 247.4745, 277.3489, 335.3875, 123.8004, 322.8369, 95.71381, 143.0064, 508.5868, -1.525879e-05, 244.5485, 472.1459, 597.8112, 175.1769, 170.522, 556.9537, 87.6441, 109.1576, 312.69, 114.8452, 47.55344, 272.5101, 0, 188.9217, -6.103516e-05, 416.6956, 362.158, 3.051758e-05, 0, 101.7548, 498.1381, 469.5741, 0, 766.3757, 104.0051, 427.3892, 662.1986, 402.8048, 179.4811, 835.0432, 404.0487, 215.579, 277.6561, 152.9552, 0, -1.525879e-05, 785.9415, 422.2905, 651.0767, 319.6026, 420.546, 405.8297, 0, 500.9498, 495.1025, 0, 715.7144, 423.753, 789.4801, 0
