 , C001, C003, C006, C007, C008, C009, C011, C014, C015, C016, C017, C019, C020, C021, C022, C024, C025, C026, C027, C028, C029, C030, C031, C034, C035, C036, C037, C038, C039, C040, C043, C047, C048, C049, C051, C052, C053, C058, C060, C066, C067, C068, C069, C070, C072, C074, C075, C076, C077, C078, C079, C082, C084, C085, C086, C087, C088, C090, C091, C092, C093, C099, C101, C102, C108, C112, C113, C118, C119, C120, C121, C124, C125, C126, C130, C131, C134, C136, C137
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 31.05193, 66.20813, 61.27161, 67.83569, 0, 0, 0, 114.334, 54.07715, 119.4036, 164.2599, 41.02118, 0, 162.4702, 75.28741, 287.9585, 0, 128.6692, 0, 100.4625, 50.33983, 0, 171.7732, 53.35815, 236.1068, 0, 155.6338, 180.9105, 93.74683, 0, 36.88824, 129.9623, 112.7603, 0, 75.24609, 17.11975, 0, 151.7413, 0, 175.4821, 20.92029, 43.58295, 0, 99.33112, 0, 0, 0, 112.5047, 15.30029, 78.78345, 0, 0, 0, 143.2002, 78.95728, 0, 117.152, 106.4105, 29.27344, 0, 65.90875, 220.3762, 0, 100.7158, 0, 113.4056, 73.79144, 51.67249, 379.6833, 61.18472, 133.9888, 263.9422, 196.382, 25.35034, 40.99646, 0, 73.54498, 0, 67.65631
0.2, 43.10818, 62.61316, 119.8569, 200.5955, 0, 0, 155.1438, 217.3829, 51.7879, 168.9492, 200.9977, 64.49951, -1.525879e-05, 195.6929, 207.1304, 516.4133, 112.924, 179.3423, 95.36526, 138.4911, 48.10568, -0.0001220703, 283.7625, 170.9795, 225.0315, 0, 199.5743, 297.203, 127.4851, 0, 35.30579, 204.6188, 194.374, -6.103516e-05, 295.2305, 50.07336, 0, 145.5145, 0, 236.0927, 69.96457, 41.70886, 0, 254.2657, 34.25861, 0, 42.31543, 106.7599, 82.78537, 397.1653, 0, 0, 0, 137.2439, 252.5061, 0, 154.9668, 135.3656, 43.41125, 0, 63.12061, 231.9678, 323.5879, 204.212, 122.5573, 108.6415, 70.58228, 49.49915, 515.412, 58.42642, 188.2441, 253.1469, 248.8542, 63.1763, 116.9039, 0, 70.46075, 0, 109.5279
0.3, 41.34296, 184.3125, 114.1046, 220.3218, 0, 0, 244.7858, 236.4956, 164.7117, 160.725, 350.7458, 61.74249, 0, 186.7988, 198.3235, 494.5652, 124.9956, 208.1978, 90.80292, 132.6821, 45.97067, -0.0001220703, 298.4856, 221.0023, 214.4756, 7.629395e-06, 191.3213, 279.5311, 327.1074, 0, 33.7912, 297.5103, 223.9253, -6.103516e-05, 390.7207, 47.98328, 18.92236, 165.4415, 0, 223.6271, 134.4092, 70.08319, 0, 289.2076, 53.72241, 0, 93.14941, 148.6117, 79.26175, 684.5527, 0, 0, 0, 131.5352, 296.0803, 71.95523, 148.0782, 331.4158, 179.9175, 0, 60.45038, 222.0861, 330.4716, 251.2109, 154.4339, 104.0775, 213.5417, 194.9585, 492.5818, 55.79242, 180.3192, 242.7931, 290.6487, 60.32843, 165.6049, 0, 67.50586, 0, 159.4217
0.4, 73.09961, 174.3046, 170.3101, 304.4979, 0, 0, 283.6378, 267.1268, 241.5161, 152.9012, 333.7196, 59.10333, 0, 263.3722, 248.303, 618.074, 131.8351, 375.0923, 86.45883, 158.6299, 43.93044, 59.53296, 386.2208, 275.8502, 280.1783, 0, 183.4095, 337.207, 369.1814, 0, 32.34155, 343.4823, 346.1542, -6.103516e-05, 665.001, 45.98041, 17.98376, 353.776, 0, 309.1083, 127.5517, 86.51178, 0, 346.603, 111.3879, 0, 145.0854, 141.0231, 75.88809, 656.6328, 0, 0, 0, 126.0641, 305.9481, 68.89508, 141.4958, 317.3824, 198.7094, 0, 86.33508, 285.8575, 316.7048, 239.5565, 147.8287, 99.70518, 204.2549, 212.238, 470.7631, 121.824, 271.5221, 232.8628, 278.4948, 57.60895, 205.51, 0, 83.27136, 0, 152.7062
0.5, 70.10631, 189.1703, 210.6772, 290.6744, -1.525879e-05, 0, 374.7408, 254.9208, 231.2925, 145.4581, 389.6591, 147.1787, 0, 282.5854, 277.8959, 591.9248, 126.2737, 377.4795, 108.2289, 175.3408, 41.98073, 223.7495, 446.1393, 312.2312, 317.0919, -7.629395e-06, 175.8251, 317.1564, 552.4978, 0, 53.29926, 375.0392, 365.7941, -6.103516e-05, 765.6128, 44.06116, 17.09167, 450.0321, 0, 397.4634, 121.044, 216.265, 0, 387.9218, 135.9227, 0, 138.6783, 133.822, 72.65802, 848.4995, 0, 0, 0, 120.8205, 409.342, 92.33936, 276.6021, 380.1656, 281.4824, 0, 126.7884, 398.6448, 657.5745, 331.1718, 141.506, 132.8869, 195.372, 203.3115, 504.8622, 116.3319, 260.0914, 223.3386, 266.8491, 55.01208, 196.9742, 0, 123.8353, 0, 182.3227
0.6, 67.23557, 348.534, 333.134, 395.691, -1.525879e-05, 0, 400.9342, 243.2726, 221.5019, 138.3774, 515.0179, 156.4217, 0, 319.2637, 324.685, 766.595, 120.9469, 600.8562, 103.0511, 182.5726, 40.11757, 212.2903, 467.1754, 390.8192, 322.426, -7.629395e-06, 168.5543, 333.5123, 586.4893, 0, 126.6273, 353.0673, 396.821, -3.051758e-05, 969.8662, 42.22205, 94.63983, 511.8114, 0, 434.5223, 114.8684, 206.9655, 0, 409.5205, 195.629, 0, 204.5696, 126.9886, 69.56546, 1022.848, 0, 0, 0, 147.4372, 432.9111, 143.6898, 264.3066, 414.261, 269.8521, 0, 121.4249, 381.6626, 630.1813, 384.7773, 135.4537, 161.9187, 375.2877, 287.1575, 482.4994, 111.0875, 275.3398, 214.204, 305.0596, 52.53226, 263.2238, 0, 170.5124, 0, 174.6426
0.7, 64.48238, 362.0275, 317.1459, 377.7275, -1.525879e-05, 0, 543.6259, 254.8005, 212.1255, 131.6413, 603.0874, 149.7355, 0, 488.9443, 310.8798, 886.8079, 137.7261, 658.2938, 111.4856, 277.2095, 87.08891, 232.8306, 565.9838, 519.1562, 307.3016, 27.38361, 366.6026, 346.7156, 759.7393, 0, 121.1951, 332.3825, 583.782, -3.051758e-05, 1138.683, 140.4185, 89.94537, 512.8657, 0, 503.2064, 109.0079, 233.3082, 0, 546.6347, 267.1869, 0, 195.5355, 120.5042, 348.4245, 1230.552, 0, 0, 0, 148.7134, 425.7734, 137.5789, 252.5576, 613.0109, 384.2395, 0, 155.9677, 365.4039, 719.4475, 433.5609, 185.438, 155.1165, 358.9667, 376.925, 739.4012, 211.7091, 467.2764, 205.443, 362.245, 168.1931, 351.7587, 0, 225.126, 0, 274.1332
0.8, 67.4466, 420.8669, 301.9253, 360.5796, 0, 0, 531.7642, 249.3362, 437.2895, 260.1766, 736.1393, 143.3351, 1.525879e-05, 500.9026, 297.6614, 956.4709, 173.5901, 829.3431, 106.1521, 316.0255, 83.22379, 292.6907, 620.313, 603.6781, 363.8028, 65.98674, 426.9453, 408.7979, 761.1035, 0, 288.6309, 368.4013, 598.7014, -3.051758e-05, 1247.149, 134.5573, 212.5541, 509.442, 0, 673.0754, 103.4464, 351.277, 0, 683.374, 281.3456, 0, 186.9004, 114.3508, 333.5943, 1222.06, 0, 0, 0, 188.4288, 536.8331, 195.6029, 241.331, 736.7758, 520.2435, 0, 149.3698, 476.5629, 860.9302, 478.6369, 177.5068, 148.6001, 343.3554, 361.0721, 799.6943, 202.1649, 506.7488, 197.0403, 482.7325, 194.9696, 337.1483, 0, 215.6851, 0, 272.0098
