 , C04, C08, C10, C15, C16, C18, C20, C22, C25, C27, C28, C30, C32
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.09992327829536021, 0, 0, 6.400373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1998465565907204, 6.970057, 0, 6.133589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2997698348860806, 6.672831, 0, 10.34266, 0, 0, 0, 0, 0, 20.21827, 0, 0, 14.35776, 0
0.3996931131814409, 6.388279, 0, 18.98435, 0, 0, 0, 0, 0, 25.94361, 0, 0, 56.57059, 0
0.499616391476801, 6.11586, 0, 18.19303, 0, 0, 0, 0, 0, 60.85817, 0, 0, 104.914, 0
0.5995396697721612, 5.855061, 0, 56.38303, 0, 0, 0, 0, 0, 75.63685, 0, 0, 156.9927, 0
0.6994629480675214, 5.605382, 0, 71.65258, 0, 0, 0, 0, 0, 74.73023, 0, 0, 219.3897, 0
0.7993862263628817, 5.36635, 0, 69.28876, 0, 0, 0, 0, 0, 99.27662, 0, 0, 231.2214, 0
0.8993095046582419, 5.137509, 0, 71.11278, 0, 0, 0, 0, 0, 105.7617, 0, 0, 289.7087, 0
0.9992327829536021, 4.918428, 0, 83.65893, 0, 0, 0, 0, 11.14614, 118.2991, 0, 0, 318.6135, 0
1.099156061248962, 4.708691, 0, 86.34675, 0, 0, 0, 0, 10.66597, 133.7646, 0, 0, 371.9735, 0
1.199079339544322, 4.507896, 0, 82.74757, 0, 0, 0, 0, 10.20649, 152.5374, 0, 0, 401.9702, 0
1.299002617839683, 4.315663, 0, 107.0147, 0, 0, 0, 0, 9.766801, 146.3854, 0, 0, 394.1215, 0
1.398925896135043, 4.13163, 0, 124.9757, 0, 0, 0, 0, 9.346054, 163.1817, 0, 0.6594093, 422.7267, 0
1.498849174430403, 3.955442, 0, 119.7663, 0, 0, 0, 4.457872, 8.943433, 188.3736, 0, 0.6326343, 466.9384, 0
1.598772452725763, 3.78677, 0, 115.5483, 0, 0, 0, 5.603782, 8.558156, 181.1511, 0, 6.796327, 485.4258, 0
1.698695731021123, 3.625289, 0, 118.9549, 0, 0, 0, 5.374107, 8.189477, 173.8452, 0, 26.93927, 489.9113, 0
1.798619009316484, 3.470695, 0, 127.2951, 0, 0, 0, 15.56174, 7.83668, 166.8338, 0, 27.61913, 521.8095, 0
1.898542287611844, 3.322693, 0, 121.9891, 0, 0, 0, 14.92393, 7.499082, 182.8721, 0, 26.49766, 502.5475, 0
1.998465565907204, 3.181002, 0, 116.9043, 0, 0, 0, 14.31227, 7.176027, 180.846, 0, 25.42174, 507.1878, 0
2.098388844202564, 3.045353, 0, 126.9122, 0, 0, 0, 13.72567, 6.866889, 173.5524, 0, 29.52567, 538.1524, 0
2.198312122497925, 2.915489, 0, 128.919, 0, 0, 0, 14.98908, 6.571069, 166.5529, 0, 30.41021, 534.8533, 0
2.298235400793285, 2.791163, 0, 135.127, 0, 0, 0, 14.37474, 9.582338, 159.8356, 0, 29.17542, 545.1437, 0
2.398158679088645, 2.672139, 0, 142.4681, 0, 0, 0, 13.78558, 9.169538, 165.4679, 0, 27.99076, 573.0206, 0
2.498081957384005, 2.55819, 0, 148.1669, 0, 0, 0, 13.22057, 15.67112, 183.0342, 0, 31.94415, 570.3862, 0
2.598005235679365, 2.4491, 0, 141.9909, 0, 0, 0, 21.54264, 26.73531, 175.6523, 0, 30.64708, 585.3985, 0
2.697928513974726, 2.344663, 0, 136.3389, 0, 0, 0, 20.6597, 25.58357, 168.5681, 0, 43.32902, 592.6291, 0
2.797851792270086, 2.244679, 0, 130.6559, 0, 0, 0, 19.81295, 24.48145, 170.6731, 0, 41.56966, 603.1437, 0
2.897775070565446, 2.148958, 0, 125.2098, 0, 0, 0, 26.08563, 23.42681, 163.7897, 0, 39.88175, 592.0197, 0
2.997698348860806, 2.057319, 0, 134.7854, 0, 0, 0, 25.01649, 22.4176, 157.1839, 0, 48.17355, 621.098, 0
3.097621627156166, 1.969588, 0, 154.0234, 0, 0, 0, 23.99117, 21.45187, 171.4348, 0, 46.21748, 614.803, 7.110843
3.197544905451527, 1.885598, 0, 167.3701, 0, 0, 0, 43.49821, 28.69546, 204.3063, 0, 50.05466, 633.7975, 6.821434
3.297468183746887, 1.805191, 0, 191.7127, 0, 0, 0, 55.64127, 27.45928, 227.6436, 0, 92.8306, 654.0211, 39.08421
3.397391462042247, 1.728211, 0, 203.4758, 0, 0, 0, 53.36078, 26.27636, 253.3198, 0, 110.4691, 672.3629, 37.49349
3.497314740337607, 1.654514, 0, 207.5134, 0, 0, 0, 61.63681, 25.14439, 265.8059, 0, 126.2908, 690.5327, 51.33907
3.597238018632968, 1.583961, 0, 216.0562, 0, 0, 0, 59.11058, 24.06119, 274.4001, 0, 158.2023, 682.0182, 49.24959
3.697161296928328, 1.516416, 0, 211.5312, 0, 18.33075, 0, 60.80806, 23.02465, 302.5656, 0, 166.7156, 668.1597, 67.63676
3.797084575223688, 1.451751, 0, 204.7471, 0, 17.58537, 0, 58.31581, 22.03277, 307.2534, 0, 159.9462, 681.5005, 64.88396
3.897007853519048, 1.389843, 0, 199.2103, 0, 16.8703, 0, 55.9257, 27.69741, 297.4247, 0, 178.1263, 673.2567, 87.23575
3.996931131814408, 1.330576, 0, 201.9946, 0, 21.73785, 0, 70.93205, 42.30117, 285.4293, 0, 177.9053, 684.3858, 83.68528
4.096854410109769, 1.273836, 0, 193.5749, 0, 23.3047, 0, 71.16514, 43.52744, 309.1544, 0, 176.6896, 712.8189, 80.27931
4.196777688405128, 1.219515, 0, 192.3513, 0, 22.35706, 0, 68.24839, 41.65231, 303.5578, 0, 169.5152, 714.0831, 77.01196
4.296700966700489, 1.167511, 0, 184.3335, 0, 21.44796, 0, 72.92732, 39.85796, 308.548, 0, 181.2807, 718.7999, 103.0684
4.396624244995849, 1.117724, 0, 198.4483, 0, 20.57583, 0, 75.47716, 38.1409, 314.5831, 0, 181.2297, 708.0218, 98.87356
4.496547523291209, 1.070061, 0, 202.0056, 0, 19.73916, 0, 90.69255, 53.03543, 327.5594, 0, 181.1648, 720.2396, 119.1702
4.59647080158657, 1.02443, 0, 203.19, 0, 18.93651, 0, 86.97546, 50.7507, 332.9707, 0, 209.7871, 707.6339, 122.2012
4.69639407988193, 0.9807444, 0, 214.8859, 0, 39.44799, 0, 117.5439, 49.04564, 319.5417, 0, 210.3726, 712.2449, 134.9799
4.79631735817729, 0.9389222, 0, 205.9288, 0, 46.23985, 0, 112.7263, 46.93279, 315.6565, 25.70778, 201.8305, 730.0993, 147.1993
4.89624063647265, 0.8988833, 0, 205.4223, 0, 44.35962, 0, 121.86, 46.23585, 319.9626, 29.34929, 222.7589, 718.6448, 141.2083
4.99616391476801, 0.8605521, 0, 198.7104, 0, 46.04833, 0, 116.8655, 62.70127, 307.0583, 48.87364, 221.6108, 711.4028, 173.153
5.09608719306337, 0.8238554, 0, 195.8485, 0, 48.2158, 0, 122.8242, 60.00014, 333.0764, 57.42043, 246.1561, 701.8173, 175.5213
5.196010471358731, 0.7887235, 0, 197.308, 0, 46.25521, 0, 117.7902, 57.41538, 336.9147, 96.94685, 250.939, 717.1699, 185.9921
5.295933749654091, 0.7550895, 0, 214.1774, 0, 48.62504, 0, 133.2576, 63.56613, 364.402, 112.2478, 240.7498, 717.6829, 178.4222
5.395857027949451, 0.7228899, 0, 205.2498, 0, 46.64781, 0, 131.6074, 66.97779, 358.4316, 118.3239, 262.1441, 719.3477, 203.277
5.495780306244812, 0.6920636, 0, 200.7621, 0, 58.55561, 0, 135.5873, 75.71376, 357.4251, 113.4426, 295.4791, 715.931, 212.5924
5.595703584540171, 0.6625518, 0, 192.3938, 9.746869, 56.17458, 0, 162.5909, 72.45206, 361.4319, 142.8885, 290.4807, 718.7789, 217.9619
5.695626862835532, 0.6342984, 0, 201.6053, 9.34818, 58.7604, 0, 155.927, 84.55531, 359.7852, 136.9939, 306.0921, 735.4389, 238.9223
5.795550141130892, 0.6072499, 0, 193.2018, 13.96, 57.50228, 0, 149.6982, 80.91273, 347.7741, 142.6487, 294.2213, 705.9949, 251.8869
