 , C06, C08, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C21, C22, C23, C24, C28, C32, C33, C34, C40
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.09992335619082636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1998467123816527, -3.814697e-06, 19.50729, 0, 0, 0, 0, 2.936905, 0, 0.1575809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2997700685724791, -3.814697e-06, 23.50221, 0.5980592, 0, 0, 0, 2.812819, 30.09347, 0.151219, 0, 0, 1.099366, 0, 0, 0, 0, 8.173761, 0, 0, 0, 0
0.3996934247633054, -3.814697e-06, 44.51564, 0.5720837, 0, 0, 0, 16.33465, 73.61456, 0.1451139, 0, 0, 1.052957, 0, 0, 0, 0, 25.74888, 0, 32.52805, 20.57949, 0
0.4996167809541318, -1.907349e-06, 69.73615, 0.5472364, 14.02522, 0, 0, 15.64451, 120.4017, 0.1392552, 0, 0, 1.008508, 0, -1.907349e-06, 22.47153, 0, 30.08033, 0, 90.11613, 19.73023, 0
0.5995401371449581, -1.907349e-06, 66.73927, 0.5234683, 13.38371, 0, 0, 15.51758, 158.9083, 7.673589, 0, 0, 0.9659353, 0, 7.942577, 21.56241, 0, 68.36399, 0, 133.257, 49.77011, 0
0.6994634933357845, -1.907349e-06, 83.72417, 0.5007324, 32.01226, 0, 0, 27.65388, 196.6919, 11.88636, 0, 0, 0.9251597, 0, 7.615854, 20.69006, 0, 65.53804, 0, 205.8047, 78.37113, 0
0.7993868495266109, -1.907349e-06, 84.39536, 0.4789841, 30.54801, 0, 0, 26.48549, 218.1499, 14.71625, 0, 0, 0.8861053, 0, 7.302572, 19.853, 0, 63.08892, 0, 223.7975, 75.13698, 0
0.8993102057174372, -1.907349e-06, 81.34842, 0.4581803, 29.15073, 0, 1.937139, 25.36647, 209.0001, 14.12212, 0, 0, 34.30404, 0, 7.002178, 19.04981, 0, 88.59693, 0, 270.0276, 88.81692, 0
0.9992335619082636, -1.907349e-06, 105.609, 0.4382802, 36.57939, 0, 2.12897, 24.29473, 257.5812, 15.02052, 0, 0, 41.02305, 0, 6.71414, 18.27912, 0, 85.10185, 0, 297.6729, 115.2438, 0
1.09915691809909, -1.907349e-06, 130.7811, 0.4192443, 51.85669, 0, 2.042259, 23.26827, 262.2117, 14.41411, 0, 24.11989, 44.93175, 0, 6.437949, 17.5396, 0, 81.58401, 0, 335.8279, 124.3919, 0
1.199080274289916, -1.907349e-06, 125.2015, 0.4010352, 49.48475, 0, 1.95908, 22.28517, 294.4582, 15.7728, 0, 44.86038, 44.51249, 0, 13.86974, 16.83, 0, 98.96127, 0, 385.3591, 138.5522, 5.390762
1.299003630480743, -3.814697e-06, 146.7732, 0.383617, 55.09441, 0, 1.879289, 21.34362, 327.8113, 24.92848, 0, 72.63657, 42.63345, 0, 13.2992, 16.14911, 0, 102.2738, 0, 428.4448, 155.1812, 5.167459
1.398926986671569, -3.814697e-06, 159.8539, 0.3669554, 52.57438, 0, 1.802747, 20.44184, 362.7202, 23.92205, 2.407172, 77.7085, 43.28176, 0, 16.73713, 15.49577, 0, 106.6371, 0, 431.8425, 186.3082, 13.87599
1.498850342862395, -1.907349e-06, 153.0433, 0.3510174, 71.98112, 0, 1.729323, 19.57817, 380.8349, 30.46879, 4.650936, 82.71444, 58.05819, 0, 29.88889, 14.86886, 0, 102.2291, 0, 457.3357, 181.8721, 44.84106
1.598773699053222, -1.907349e-06, 160.9056, 0.3357716, 83.51828, 0, 1.65889, 18.75098, 414.3693, 29.23868, 4.448474, 109.9687, 56.30977, 0, 28.6594, 14.26731, 0, 137.3696, 0, 514.6925, 186.1419, 49.10638
1.698697055244048, 0, 160.5916, 0.321188, 85.8199, 0, 14.35328, 38.43938, 416.8688, 28.05824, 4.254825, 136.993, 56.69772, 0, 27.48047, 13.6901, 0, 139.3748, 0, 570.6963, 241.7563, 50.73223
1.798620411434874, 0, 185.4286, 0.3072379, 92.85566, 0, 29.18753, 36.81905, 439.9551, 31.50156, 4.069606, 144.9873, 54.3043, 0, 38.58466, 13.13624, 0, 138.7666, 0, 592.5411, 233.8717, 63.5219
1.898543767625701, 0, 183.31, 0.2938936, 88.60841, 0, 27.99875, 35.26344, 450.7242, 34.35072, 17.72975, 147.4086, 62.14697, 0, 55.23729, 12.60479, 0, 133.0304, 0, 610.0357, 239.1128, 73.88941
1.998467123816527, -1.907349e-06, 185.9787, 0.2811289, 84.55544, 0, 45.62966, 33.77354, 462.5236, 32.96389, 16.95795, 169.6164, 59.52352, 0, 52.96507, 12.09484, 0, 168.9736, 0, 647.2661, 260.7538, 70.82866
2.098390480007354, -9.536743e-07, 195.2262, 0.2689186, 85.11696, 0, 56.15491, 32.3466, 488.062, 31.63305, 16.21974, 194.1886, 57.01081, 0, 50.78632, 11.60552, 13.05219, 166.8556, 0, 670.8445, 276.5862, 82.15727
2.19831383619818, -9.536743e-07, 200.2314, 0.2572387, 98.30496, 0, 53.86778, 30.97994, 495.029, 30.35594, 42.88333, 216.1582, 54.60418, 0, 57.8005, 11.136, 15.82517, 159.9583, 0, 708.5039, 265.1722, 95.22813
2.298237192389006, 1.875291, 215.8112, 0.246066, 105.1469, 0, 63.4507, 29.67102, 505.7849, 29.13039, 41.01656, 211.4643, 55.17154, 0, 55.42284, 10.68547, 15.18068, 154.392, 0, 751.7379, 293.6623, 99.38112
2.398160548579833, 1.795053, 206.5369, 0.2353786, 115.2843, 0, 75.37956, 28.96061, 533.657, 27.95432, 39.23104, 234.4662, 71.68128, 0, 53.14299, 10.25317, 14.56244, 148.0099, 0, 776.4247, 307.7463, 114.7217
2.498083904770659, 1.718248, 197.661, 0.2251554, 113.8066, 0, 74.19603, 33.21453, 517.5948, 28.95819, 37.52326, 230.0728, 68.65535, 0, 66.04275, 9.838356, 13.96938, 141.8916, 0, 824.8001, 305.6545, 135.4231
2.598007260961485, 1.64473, 209.5737, 0.2153762, 126.8299, 0, 75.808, 31.8112, 532.3304, 39.4923, 35.88982, 247.0168, 68.47523, 0, 63.32604, 9.440327, 20.25702, 162.8786, 0, 862.5595, 313.5265, 129.8134
2.697930617152312, 1.574357, 205.0403, 0.2060218, 132.9294, 0, 87.52473, 30.46716, 530.9565, 37.89789, 42.38654, 238.5044, 75.49132, 0, 70.2297, 9.0584, 25.00836, 156.1458, 0, 873.1157, 327.4764, 151.3786
2.797853973343138, 1.506994, 203.7253, 0.1970736, 126.8492, 0, 83.95993, 29.17991, 569.0308, 36.36785, 40.54139, 263.4499, 75.28723, 0, 67.34076, 8.691925, 23.98988, 149.6912, 0, 895.2478, 335.6407, 154.3354
2.897777329533965, 1.442515, 233.9199, 0.1885141, 121.0471, 0, 94.20853, 27.94705, 546.1689, 34.89958, 45.1336, 252.6714, 77.40403, 0, 64.57066, 8.340277, 23.01288, 173.0461, 0, 903.082, 336.9285, 147.9423
2.997700685724791, 1.380795, 223.8673, 0.1803263, 115.5103, 0, 90.37151, 26.76628, 556.8376, 42.94244, 43.16887, 271.2035, 77.01257, 0, 61.9145, 8.002855, 22.07566, 172.9331, 0, 940.3813, 359.66, 175.4741
3.097624041915617, 1.321716, 228.0424, 0.1724942, 127.408, 0, 97.24107, 25.63539, 552.5115, 41.20874, 41.28967, 292.4856, 80.44384, 0, 59.36761, 7.679085, 40.86838, 165.7846, 0, 952.0681, 364.7727, 175.6138
3.197547398106444, 1.265164, 223.5261, 0.1650023, 121.5803, 0, 101.7689, 24.55229, 568.2272, 39.54503, 39.49226, 289.1301, 83.53832, 0, 56.92549, 7.368413, 40.18677, 175.7099, 0, 957.0382, 410.4195, 179.732
3.29747075429727, 1.211032, 213.9202, 0.1578357, 125.613, 0, 97.62396, 23.51494, 580.9273, 37.94849, 41.69698, 301.9865, 80.43568, 0, 68.8136, 7.07031, 44.00481, 179.2414, 0, 968.3722, 397.893, 192.5473
3.397394110488096, 1.159217, 222.6872, 0.1509804, 120.3735, 0, 93.64783, 22.52143, 558.329, 36.41641, 49.62111, 305.2844, 77.04019, 0, 65.98291, 6.784267, 42.21268, 183.8399, 0, 985.931, 386.8886, 208.7433
3.497317466678923, 1.109618, 232.2024, 0.1444229, 122.2937, 0, 89.83366, 21.56989, 569.453, 37.99466, 47.46103, 311.4108, 73.78804, 0, 74.68107, 6.509797, 51.6836, 176.2405, 0, 993.1101, 385.0637, 200.0965
3.597240822869749, 1.062141, 251.6861, 0.1381502, 116.6999, 0, 86.17482, 20.65855, 577.9516, 39.04625, 55.80196, 313.1369, 70.67317, 0, 76.89273, 6.246431, 58.23919, 183.6489, 0, 996.8293, 374.0619, 200.837
3.697164179060576, 1.016696, 240.87, 0.1321499, 122.308, 0, 89.92471, 19.78572, 556.3946, 37.46984, 53.37281, 313.2293, 67.6898, 0, 73.7297, 5.99372, 55.86736, 178.5271, 0, 1019.606, 406.6121, 220.1624
3.797087535251402, 0.9731946, 230.5187, 0.1264102, 125.5059, 0, 108.0901, 18.94976, 553.6489, 35.95709, 51.04942, 323.5043, 74.83339, 0, 91.65453, 5.751232, 60.41883, 171.1474, 0, 1031.492, 408.6139, 211.0426
3.897010891442228, 0.9315548, 220.6123, 0.1209198, 119.7652, 0, 114.4394, 18.14913, 559.0252, 34.50541, 53.04849, 344.5642, 71.6744, 0, 87.88426, 5.518555, 62.51236, 173.1631, 0, 1056.698, 404.268, 220.4332
3.996934247633054, 0.8916965, 243.5721, 0.1156679, 114.2871, 0, 109.7784, 17.38232, 565.3956, 54.2753, 50.73921, 350.9131, 74.44923, 0, 84.26909, 5.295291, 62.06909, 166.0051, 0, 1058.852, 413.9289, 222.2796
4.096857603823881, 0.8535438, 256.1467, 0.1106441, 118.5736, 0, 105.3072, 16.64791, 561.9895, 52.08406, 48.53046, 344.2715, 71.30646, 0, 80.80263, 5.08106, 59.54129, 193.9383, 0, 1050.408, 424.2489, 237.4102
4.196780960014707, 0.8170238, 245.1389, 0.1058385, 113.15, 0, 101.0182, 15.94453, 564.8021, 49.98129, 46.7151, 364.4586, 68.29635, 0, 77.47876, 4.875496, 59.01883, 185.9216, 0, 1058.856, 415.8141, 227.5758
4.296704316205534, 0.7820663, 262.0719, 0.1012416, 107.9745, 0, 96.90382, 15.27087, 558.2987, 47.96341, 73.72201, 368.3506, 79.63876, 0, 92.25459, 4.678249, 56.61525, 178.2362, 0, 1088.004, 418.4513, 259.0712
