Total # of Cells (All Animals),# of GABA Cells (All Animals),# of Removed Cells (All Animals),All Animals (#1),All Animals (#2),# of GABA Cells (Stimulation),# of Removed Cells (Stimulation),Stimulation (#1),Stimulation (#2),# of GABA Cells (Stress),# of Removed Cells (Stress),Stress (#1),Stress (#2),# of GABA Cells (G7),# of Removed Cells (G7),G7 (#1),G7 (#2),# of GABA Cells (G8),# of Removed Cells (G8),G8 (#1),G8 (#2),# of GABA Cells (G9),# of Removed Cells (G9),G9 (#1),G9 (#2),# of GABA Cells (G28),# of Removed Cells (G28),G28 (#1),G28 (#2),# of GABA Cells (G29),# of Removed Cells (G29),G29 (#1),G29 (#2),# of GABA Cells (G37),# of Removed Cells (G37),G37 (#1),G37 (#2),All Animals (#1),All Animals (#2)
60,52,8,42.30769231,57.69230769,52,8,42.30769231,57.69230769,,,,,52,8,42.30769231,57.69230769,,,,,,,,,,,,,,,,,,,,,22,30
47,34,13,35.29411765,64.70588235,34,13,35.29411765,64.70588235,,,,,34,13,35.29411765,64.70588235,,,,,,,,,,,,,,,,,,,,,12,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,55,10,45.45454545,54.54545455,55,10,45.45454545,54.54545455,,,,,,,,,55,10,45.45454545,54.54545455,,,,,,,,,,,,,,,,,25,30
42,28,14,7.142857143,92.85714286,28,14,7.142857143,92.85714286,,,,,,,,,28,14,7.142857143,92.85714286,,,,,,,,,,,,,,,,,2,26
56,33,23,33.33333333,66.66666667,33,23,33.33333333,66.66666667,,,,,,,,,33,23,33.33333333,66.66666667,,,,,,,,,,,,,,,,,11,22
69,46,23,34.7826087,65.2173913,46,23,34.7826087,65.2173913,,,,,,,,,46,23,34.7826087,65.2173913,,,,,,,,,,,,,,,,,16,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
