 , C002, C003, C004, C005, C006, C007, C008, C011, C014, C015, C019, C022, C023, C027, C029, C030, C032, C034, C036, C037, C057, C068, C092
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 67.08852, 56.52748, 0, 0, 0, 70.23892, 0, 262.4589, 0, 0, 0, 0, 41.9171, 0, 0, 0, 0, 21.66208, 0, 0, 0, 0
0.2, 84.19196, 145.743, 53.82138, 0, 0, 27.08226, 67.30502, 0, 250.4045, 0, 0, 0, 0, 39.85638, 0, 1.525879e-05, 0, 0, 120.9819, 0, 0, 0, 0
0.3, 79.86993, 138.095, 51.24481, 0, 0, 25.83949, 64.49371, 0, 334.9396, 0, 0, 0, 0, 37.89698, 0, 1.525879e-05, 58.03657, 0, 198.0604, 0, 0, 0, 3.051758e-05
0.4, 177.3436, 132.3756, 48.79158, 0, 0, 24.65375, 84.73193, 0, 319.5561, 0, 0, 0, 0, 160.5287, 0, 52.94739, 55.44107, 0, 333.3876, 0, 0, 0, 137.0272
0.5, 168.2396, 125.429, 46.4558, -3.051758e-05, 0, 23.52242, 84.11826, 0, 654.981, 0, 0, 0, 0, 152.6368, 59.66954, 50.43948, 136.0444, 0, 363.6172, 0, 0, 0, 131.2717
0.6, 159.603, 118.847, 44.23183, 0, 6.143632, 22.44301, 81.23276, 0, 822.134, 0, 0, 0, 0, 145.1329, 56.76258, 142.3809, 266.7919, 0, 570.9547, 0, 0, 0, 125.7578
0.7, 151.4098, 231.4142, 42.11433, -3.051758e-05, 138.0547, 21.41313, 408.8991, 0, 846.1581, 0, 0, 0, 0, 137.998, 53.99725, 135.6369, 254.8605, 0, 544.9406, 0, 0, 0, 154.6191
0.8, 227.7193, 248.8506, 40.09821, -1.525879e-05, 130.7001, 20.43051, 546.0741, 0, 807.295, 0, 0, 1.525879e-05, 0, 131.2137, 51.36664, 129.2123, 256.8096, 0, 662.4565, 0, 0, 0, 315.405
0.9, 216.0293, 251.8738, 38.17859, -1.525879e-05, 135.2177, 19.49298, 578.7193, 0, 770.2166, 0, 0, 1.525879e-05, 0, 124.7631, 58.39182, 123.0921, 245.3247, 0, 632.2733, 0, 0, 0, 302.157
1, 204.9395, 305.57, 141.2213, -1.525879e-05, 128.0143, 131.0415, 554.5463, 0, 734.8414, 0, 0, 1.525879e-05, 0, 118.6295, 55.54711, 117.2617, 234.3533, 0, 846.15, 0, 0, 0, 289.4655
1.1, 358.8289, 289.5349, 134.4607, 0, 121.1945, 125.0282, 531.3829, 0, 701.0908, 0, 0, 1.525879e-05, 0, 112.7975, 52.841, 111.7075, 223.8726, 0, 807.5973, 0, 0, 0, 277.3071
1.2, 340.4083, 371.444, 128.0237, -1.525879e-05, 146.9418, 119.2908, 788.9169, 0, 668.8904, 0, 0, 0, 0, 107.2522, 101.7348, 106.4164, 565.6187, 0, 883.3337, 0, 0, 0, 490.7898
1.3, 322.9335, 351.9521, 121.8948, -1.525879e-05, 139.1138, 113.8167, 1407.471, 0, 638.1688, 0, 0, 0, 0, 202.0084, 126.3977, 101.3759, 983.7115, 0, 843.0868, 0, 0, 0, 470.1751
1.4, 306.3557, 333.4831, 116.0594, -3.051758e-05, 321.6707, 115.494, 1637.965, 0, 608.8584, 0, 0, 1.525879e-05, 0, 192.0773, 120.2399, 96.57411, 1075.897, 0, 804.6736, 0, 0, 0, 450.4263
1.5, 290.6288, 315.9832, 110.5033, -3.051758e-05, 304.5343, 117.0265, 1578.944, 0, 580.8941, 0, 0, 1.525879e-05, 0, 182.6345, 114.3821, 91.99979, 1027.781, 0, 1018.18, 110.2352, 0, 0, 431.5071
1.6, 275.7094, 487.558, 105.2132, -3.051758e-05, 288.3109, 111.6563, 1773.335, 0, 554.2142, 0, 0, 0, 0, 173.6559, 108.8097, 87.64214, 1291.942, 0, 1013.664, 414.3864, 0, 0, 413.3825
1.7, 261.5558, 461.9728, 100.1764, -3.051758e-05, 493.3285, 303.2393, 2633.749, 0, 528.7596, 0, 0, 7.629395e-06, 0, 165.1186, 289.4341, 83.4909, 1315.59, 0, 967.4789, 397.1459, 0, 0, 789.2205
1.8, 248.1289, 692.6602, 95.38065, -3.051758e-05, 692.8798, 470.9798, 2523.737, 0, 504.4742, 0, 0, 7.629395e-06, 0, 271.6376, 275.3336, 79.53628, 1451.798, 0, 923.398, 938.4613, 0, 0, 863.3427
