 , C05, C07, C09, C12, C23, C30, C33, C34, C35, C54, C58, C60
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 93.70679, 0, 207.5969, 29.42432, 0, 132.7021, 97.89502, 42.98035
0.2, 0, 0, 0, 0, 155.9362, 0, 194.6688, 131.5525, 0, 124.824, 362.8672, 265.5216
0.3, 0, 0, 0, 6.056686, 146.2727, 0, 266.2734, 337.4724, 0, 156.2726, 410.2969, 251.293
0.4, 0, 0, 0, 5.66413, 137.208, 0, 269.4081, 444.0457, 0, 348.2199, 503.0825, 453.2074
0.5, 0, 0, 0, 5.297016, 216.4279, 0, 272.0118, 533.0911, 0, 327.5472, 586.196, 492.6812
0.6, 0, 0, 0, 4.953697, 203.0157, 0, 280.88, 633.9799, 0, 444.6129, 685.5408, 483.3195
0.7, 0, 0, 0, 4.632629, 305.6361, 0, 381.6406, 595.7933, 0, 515.3455, 818.3633, 671.8273
0.8, 0, 0, 0, 4.332371, 1088.258, 0, 411.7816, 644.0485, 5.38957, 484.751, 800.3069, 680.9286
0.9, 0, 0, 0, 4.051574, 1044.829, 0, 487.1279, 727.1023, 5.085313, 641.9483, 847.6818, 751.1052
1, 0, 0, 0, 3.788976, 1102.793, 0, 482.8042, 683.3068, 4.798232, 966.014, 802.5299, 922.8953
1.1, 0, 0, 0, 3.543399, 1034.452, 0, 583.8998, 642.1493, 4.527358, 908.6647, 862.0095, 1440.306
1.2, 0, 0, 0, 3.313738, 970.3455, 0, 547.5375, 731.0469, 4.271775, 854.7202, 943.5981, 1803.476
1.3, 0, 0, 0, 3.098962, 910.212, 0, 667.8029, 772.2026, 4.030621, 899.1698, 893.3374, 1869.941
1.4, 0, 0, 0, 2.898107, 990.517, 0, 661.4893, 759.0939, 3.803081, 895.1439, 1108.165, 1968.794
1.5, 0, 0, 0, 2.710269, 929.1336, 0, 804.3109, 713.3715, 3.588386, 987.9662, 1117.907, 2017.309
1.6, 0, 0, 0, 2.534607, 966.7885, 0, 808.2175, 848.501, 3.385811, 929.3137, 1115.98, 1998.203
1.7, 0, 0, 0, 2.370329, 906.8755, 0, 998.9698, 936.1848, 3.194672, 874.1432, 1138.076, 1891.124
1.8, 0, 0, 0, 2.2167, 850.6755, 0, 1024.16, 879.7957, 3.014323, 1006.466, 1208.478, 1965.72
1.9, 0, 0, 0, 2.073027, 866.5231, 0, 960.3806, 1091.861, 2.844156, 946.7156, 1256.374, 1966.952
2, 0, 0, 0, 1.938666, 812.8237, 0, 900.5729, 1026.095, 2.683595, 995.1602, 1284.668, 1861.548
2.1, 0, 0, 0, 1.813014, 892.2751, 0, 844.4897, 964.2908, 2.532098, 971.162, 1271.338, 1761.793
2.2, 0, 0, 0, 1.695506, 836.9799, 0, 871.8895, 939.7693, 63.1908, 913.5071, 1402.579, 1789.004
2.3, 0, 0, 0, 1.585614, 812.2565, 0, 817.5927, 890.2623, 122.8271, 929.621, 1327.871, 1860.147
2.4, 0, 0, 0, 1.482844, 761.92, 0, 908.5566, 887.3271, 115.8931, 874.4324, 1335.493, 2007.23
2.5, 0, 0, 0, 1.386736, 760.9226, 0, 910.1295, 925.293, 605.1051, 822.52, 1264.358, 2108.121
2.6, 0, 0, 0, 1.296856, 713.7674, 0, 974.4439, 869.5599, 927.6134, 773.6895, 1197.012, 2168
2.7, 0, 0, 0, 1.212802, 738.0065, 0, 913.7604, 851.4249, 1037.112, 827.8011, 1263.798, 2181.783
2.8, 0, 0, 0, 1.134196, 700.3934, 0, 856.8561, 988.6973, 1002.6, 838.2896, 1235.511, 2129.252
2.9, 0, 0, 0, 1.060684, 656.9893, 0, 1018.942, 929.1452, 946.0002, 788.5229, 1169.702, 2051.203
3, 0, 0, 0, 0.9919374, 616.275, 0, 955.4878, 1037.809, 892.5958, 971.2233, 1230.72, 2005.207
3.1, 0, 0, 0, 0.9276462, 618.1776, 0, 925.9225, 975.299, 842.2061, 913.5648, 1165.166, 2001.436
3.2, 0, 0, 0, 0.867522, 676.6546, 0, 868.2607, 916.554, 807.6042, 859.3293, 1194.547, 1894.185
3.3, 0, 0, 0, 0.8112947, 673.2151, 0, 938.9368, 861.3472, 809.2286, 808.3137, 1230.202, 1860.773
3.4, 0, 0, 0, 0.7587116, 631.4952, 0, 880.4646, 941.6172, 763.5452, 760.3266, 1355.585, 1955.952
3.5, 0, 0, 0, 0.7095367, 592.3608, 0, 825.6337, 884.9009, 720.4409, 715.1884, 1329.947, 1851.138
3.6, 0, 0, 0, 0.663549, 555.6516, 0, 774.2174, 831.6008, 679.7698, 880.1149, 1259.108, 1751.941
3.7, 0, 0, 0, 0.6205419, 521.2172, 0, 938.2119, 944.744, 641.3948, 827.8652, 1283.213, 1700.276
3.8, 0, 0, 0, 0.5803223, 497.7682, 0, 879.7848, 928.0397, 605.1862, 778.7174, 1214.863, 1809.51
3.9, 0, 0, 0, 0.5427094, 561.2072, 0, 824.9962, 872.1413, 571.0217, 732.4874, 1282.486, 1855.557
4, 0, 0, 0, 0.5075344, 526.4285, 0, 773.6196, 966.1221, 538.7858, 689.0019, 1304.677, 1756.123
4.1, 0, 0, 0, 0.4746392, 519.7084, 0, 809.3899, 1040.962, 508.3698, 919.3769, 1334.399, 1785.519
4.2, 0, 0, 0, 0.443876, 487.5015, 0, 758.9852, 978.2618, 532.9587, 864.7963, 1263.322, 1689.838
4.3, 0, 0, 0, 0.4151068, 457.2905, 0, 768.0419, 919.3383, 523.8766, 964.7564, 1289.39, 1682.502
4.4, 0, 0, 0, 0.3882022, 428.9517, 0, 720.2121, 863.9639, 494.3023, 1070.087, 1220.711, 1743.436
4.5, 0, 0, 0, 0.3630413, 484.7414, 0, 675.3609, 955.3813, 497.559, 1068.474, 1381.136, 1650.01
4.6, 0, 0, 0, 0.3395113, 517.0397, 0, 633.3029, 897.836, 628.1463, 1005.042, 1307.57, 1737.771
4.7, 0, 0, 0, 0.3175063, 484.9983, 0, 593.864, 861.8312, 592.6856, 945.3758, 1237.922, 1644.649
4.8, 0, 0, 0, 0.2969275, 454.9424, 0, 600.0729, 809.9205, 559.2267, 961.0107, 1246.99, 1556.517
4.9, 0, 0, 0, 0.2776825, 426.7491, 0, 633.0201, 761.1367, 527.6567, 1033.414, 1180.569, 1473.107
5, 0, 0, 0, 0.2596849, 400.303, 0, 593.5988, 818.1967, 497.869, 1057.176, 1198.294, 1452.349
5.1, 0, 0, 0, 0.2428537, 375.4958, 0, 649.5078, 768.9143, 469.7628, 1116.308, 1134.467, 1495.144
5.2, 0, 0, 0, 0.2271135, 352.2259, 0, 661.1187, 722.6004, 443.2433, 1050.036, 1074.039, 1415.023
5.3, 0, 0, 0, 0.2123934, 403.0672, 0, 684.6562, 720.5684, 418.2209, 1029.155, 1140.448, 1363.08
5.4, 0, 0, 0, 0.1986274, 378.0887, 0, 657.3441, 723.3776, 496.1269, 1004.634, 1113.908, 1479.851
5.5, 0, 0, 0, 0.1857536, 474.5353, 0, 1070.077, 779.3489, 468.1191, 1067.177, 1145.344, 1400.55
5.6, 0, 0, 0, 4.723238, 597.2474, 0, 1400.635, 732.4064, 441.6924, 1003.822, 1084.337, 1428.528
5.7, 0, 0, 0, 20.12739, 567.8059, 0, 1313.41, 688.2915, 416.7576, 944.228, 1072.752, 1351.978
5.8, 0, 28.16838, 0, 18.82286, 585.0316, 0, 1948.245, 646.8337, 393.2304, 923.886, 1015.612, 1332.516
5.9, 0, 54.83001, 0, 17.60288, 548.7766, 0, 2368.848, 607.873, 371.0314, 967.9982, 1063.331, 1261.11
6, 0, 51.75698, 0, 16.46197, 592.6704, 0, 2532.806, 668.85, 350.0856, 1007.652, 1070.506, 1193.531
6.1, 0, 48.85619, 0, 15.39501, 555.942, 0, 2398.027, 628.5632, 438.0342, 974.6533, 1120.985, 1434.816
6.2, 0, 200.711, 0, 14.3972, 598.6671, 0, 2469.803, 590.7031, 447.5666, 1230.926, 1061.276, 1956.145
6.3, 0, 189.4619, 0, 13.46407, 561.5671, 0, 2389.14, 555.1233, 566.8069, 1157.85, 1004.747, 2464.799
6.4, 0, 178.8432, 0, 12.59141, 585.0439, 0, 2399.241, 563.7793, 534.809, 1194.669, 951.2294, 2568.196
6.5, 0, 168.8197, 0, 11.77531, 548.7881, 0, 2576.752, 557.5209, 504.6174, 1298.653, 900.5621, 2430.574
6.6, 0, 159.358, 0, 11.01211, 514.7791, 0, 2841.223, 575.4288, 476.1303, 1221.556, 852.5937, 2546.573
6.7, 0, 507.2577, 0, 10.29838, 482.8777, 0, 2794.789, 540.7691, 605.8744, 1324.804, 807.1804, 2438.451
6.8, 0, 714.8223, 0, 9.630899, 452.9533, 0, 2718.802, 508.197, 582.455, 1246.155, 1371.908, 2467.372
6.9, 0, 698.7809, 0, 9.006685, 424.8833, 0, 2808.159, 477.5869, 568.4416, 1207.067, 1437.538, 2492.105
7, 0, 727.9714, 0, 8.422929, 398.5528, 0, 2735.519, 448.8204, 536.3514, 1369.188, 1620.629, 2358.56
7.1, 0, 687.1712, 0, 7.877007, 373.8541, 0, 2709.042, 421.7867, 506.0728, 1287.904, 1587.583, 2232.171
7.2, 0, 671.688, 0, 7.366469, 350.6859, 0, 2540.337, 551.6819, 477.5035, 1211.445, 1560.673, 2237.427
7.3, 0, 652.0728, 0, 6.889021, 328.9536, 0, 2514.94, 518.4525, 450.547, 1139.525, 1477.544, 2210.131
7.4, 0, 615.5264, 0, 6.442518, 308.568, 0, 2358.323, 487.2246, 425.1123, 1071.875, 1398.843, 2091.696
7.5, 0, 630.7736, 101.1374, 27.88523, 289.4457, 0, 2435.51, 457.8777, 441.8498, 1008.241, 1492.775, 1979.608
7.6, 0, 687.6241, 131.2069, 815.4904, 271.5084, 0, 2748.611, 430.2984, 416.906, 1109.343, 1438.329, 1873.526
7.7, 0, 777.35, 125.2594, 1135.625, 254.6828, 0, 2902.697, 404.3803, 393.3705, 1072.57, 1432.378, 1773.129
7.8, 0, 749.0698, 119.5816, 1147.521, 238.8998, 0, 2924.169, 380.0233, 371.1636, 1081.383, 1374.099, 2024.019
7.9, 0, 754.681, 114.1611, 1088.07, 224.0949, 0, 2814.356, 357.1334, 350.2103, 1113.478, 1405.396, 1971.965
8, 0, 883.0231, 108.9863, 1057.973, 210.2075, 0, 2682.774, 335.6222, 330.4399, 1168.302, 1330.538, 1866.292
8.1, 0, 900.6721, 104.0461, 989.4015, 197.1807, 0, 2515.704, 315.4067, 405.0484, 1098.944, 1259.667, 1901.994
8.199999999999999, 0, 850.1926, 99.32978, 925.2747, 184.9612, 0, 2501.418, 296.4089, 382.1822, 1033.703, 1362.715, 1865.15
8.300000000000001, 0, 802.5424, 94.82728, 865.3041, 173.499, 0, 2437.617, 278.5554, 360.6069, 972.3354, 1290.13, 1916.46
8.4, 0, 757.5627, 90.52887, 809.2205, 162.7471, 0, 2402.631, 261.7772, 340.2496, 914.6109, 1221.411, 1855.428
8.5, 0, 715.1041, 86.4253, 756.7719, 152.6615, 0, 2413.554, 246.0096, 321.0415, 860.3133, 1156.353, 1930.125
8.6, 0, 702.152, 82.50774, 796.7339, 143.2009, 0, 2406.385, 373.3251, 302.9178, 956.2591, 1213.601, 1826.695
8.699999999999999, 0, 662.7989, 78.76776, 812.8851, 134.3265, 0, 2304.744, 385.5089, 285.8172, 899.489, 1148.959, 1728.807
8.800000000000001, 0, 625.6514, 75.19731, 808.5987, 126.0022, 0, 2229.593, 362.2886, 269.6819, 846.0891, 1087.759, 1715.956
8.9, 0, 590.5858, 71.7887, 756.1904, 118.1937, 0, 2257.519, 446.7703, 254.4576, 795.8594, 1127.83, 2019.031
9, 0, 557.4856, 68.53461, 707.1788, 110.8691, 0, 2116.932, 419.86, 240.0927, 972.3615, 1067.756, 1910.836
9.1, 0, 573.2801, 65.42801, 661.3439, 103.9984, 0, 1985.101, 394.5706, 226.5388, 914.6354, 1153.109, 1808.44
9.199999999999999, 0, 570.9097, 62.46223, 618.4797, 97.55354, 0, 1910.715, 370.8045, 213.75, 860.3364, 1091.689, 1711.531
9.300000000000001, 0, 538.9122, 59.63089, 578.3937, 91.50804, 0, 1791.725, 348.4699, 291.9659, 809.2609, 1033.54, 1619.814
9.4, 0, 508.7081, 56.92789, 540.9059, 205.7527, 0, 1680.146, 327.4806, 340.2357, 876.3701, 1105.605, 1533.013
9.5, 247.1171, 542.8527, 54.34742, 560.9274, 193.002, 0, 1735.891, 307.7555, 321.0284, 1069.834, 1046.715, 1450.863
9.6, 1396.741, 512.4278, 51.88391, 639.0829, 205.3345, 0, 2639.819, 289.2184, 302.9054, 1100.597, 1906.415, 1373.115
9.699999999999999, 2868.603, 483.708, 49.53207, 617.4081, 259.5506, 0, 3784.462, 271.798, 285.8055, 1035.258, 2799.946, 1299.534
9.800000000000001, 3911.406, 563.0129, 47.28684, 577.3916, 243.4659, 0, 4225.007, 255.4268, 269.671, 973.798, 3892.711, 1229.895
9.9, 4100.277, 866.533, 65.00719, 766.4971, 228.3781, 0, 4403.37, 240.0417, 254.4473, 986.363, 4335.784, 1163.989
10, 4377.369, 1317.299, 224.3236, 716.8176, 214.2253, 0, 4244.037, 439.2885, 240.083, 927.8057, 4167.812, 1101.614
10.1, 4697.964, 1416.391, 214.1553, 670.358, 200.9495, 0, 4149.165, 541.0864, 629.8708, 872.7248, 3945.814, 1042.581
10.2, 4481.303, 1337.007, 204.4479, 626.9095, 188.4964, 0, 3981.273, 508.4952, 782.8567, 820.9138, 3735.64, 986.7121
10.3, 4619.11, 1399.302, 195.1805, 586.2772, 176.8151, 0, 4125.783, 477.8671, 794.756, 845.7903, 3715.902, 933.8369
10.4, 4647.368, 1320.876, 186.3332, 548.2784, 165.8577, 0, 3982.653, 449.0838, 749.8896, 795.5784, 3517.974, 883.7952
10.5, 5821.868, 1246.846, 177.8869, 512.7424, 155.5793, 0, 3893.41, 422.0342, 707.5562, 1035.029, 3543.243, 836.435
10.6, 6087.623, 1176.965, 169.8235, 479.5097, 145.9379, 0, 3767.818, 752.787, 667.6125, 973.5828, 3457.027, 791.6127
10.7, 6372.719, 1151.964, 191.4894, 511.3103, 136.894, 0, 3802.482, 1265.443, 1358.263, 915.7842, 3272.888, 749.1924
10.8, 6443.127, 1087.4, 483.6175, 478.1704, 128.4105, 0, 3565.683, 1335.793, 1737.521, 861.4169, 3098.558, 709.0453
10.9, 6523.502, 1026.455, 461.6957, 472.2187, 120.4528, 0, 3487.822, 1255.334, 1734.734, 810.2773, 2985.433, 671.0495
11, 6419.649, 1025.051, 440.7675, 441.6124, 112.9882, 0, 3584.067, 1179.722, 1868.075, 762.1737, 2920.348, 635.0898
11.1, 6342.921, 1615.307, 530.1115, 482.2296, 105.9862, 0, 3360.869, 1292.252, 1762.617, 716.9258, 2764.796, 601.0571
11.2, 6209.555, 1524.775, 598.7773, 481.7289, 99.41811, 0, 3424.522, 1214.416, 2082.152, 674.3641, 2652.433, 568.8481
11.3, 5936.661, 1463.076, 571.6354, 450.5063, 93.25706, 0, 3393.23, 1513.261, 1964.608, 634.3293, 2548.886, 538.3651
11.4, 5780.537, 1483.963, 545.7239, 423.9676, 87.47782, 0, 3329.084, 1683.246, 1853.7, 596.6711, 2767.502, 509.5156
11.5, 5651.14, 1448.772, 657.3557, 396.4887, 82.05673, 0, 3121.766, 1581.859, 1749.053, 561.2486, 2857.296, 482.212
11.6, 5489.923, 1367.573, 627.5585, 370.7908, 76.97158, 0, 3177.518, 1486.579, 1650.314, 527.929, 2872.161, 456.3716
11.7, 5384.586, 1290.926, 629.0625, 346.7584, 72.20158, 0, 3005.554, 1520.811, 1557.149, 496.5875, 2795.16, 431.9159
11.8, 5235.341, 1218.574, 600.5478, 324.2837, 67.72717, 0, 2818.383, 1429.208, 1553.034, 467.1067, 2878.73, 408.7707
11.9, 5349.159, 1185.189, 573.3256, 303.2657, 63.53004, 0, 2886.049, 1465.943, 1465.36, 439.376, 2725.394, 386.8658
12, 5146.634, 1159.738, 624.8039, 283.6099, 59.59302, 170.1524, 2846.952, 1474.237, 1483.813, 413.2916, 2580.226, 366.1347
12.1, 5860.207, 1240.032, 797.6423, 284.308, 55.89997, 240.8825, 2734.627, 1422.244, 1617.419, 388.7558, 2442.791, 346.5146
12.2, 5997.044, 1249.463, 832.6699, 265.8809, 52.43579, 692.3961, 2674.44, 1336.578, 1847.104, 365.6765, 2312.676, 327.9458
12.3, 6001.624, 1179.435, 1110.544, 248.6482, 49.18629, 1124.106, 2749.98, 1459.742, 2184.425, 343.9675, 2189.491, 310.3721
12.4, 5852.42, 1113.332, 1230.201, 351.8724, 46.13816, 1254.371, 2620.892, 1371.817, 2061.108, 323.5472, 2072.868, 293.7401
12.5, 5565.106, 1050.933, 1311.064, 329.0662, 43.27893, 1426.861, 2581.476, 1289.189, 2531.045, 304.3392, 1962.456, 277.9994
12.6, 5682.424, 1628.891, 1612.145, 307.7382, 40.59689, 1607.201, 2547.088, 1232.037, 3071.09, 286.2715, 1857.926, 263.1021
12.7, 5587.301, 1672.722, 1916.379, 287.7926, 38.08106, 1755.124, 2488.045, 1157.828, 3017.688, 269.2765, 1758.964, 249.0032
12.8, 5485.884, 1578.972, 1990.842, 547.133, 35.72113, 1676.272, 2393.511, 1088.088, 3018.696, 253.2903, 1665.273, 235.6598
12.9, 5305.27, 1490.476, 2472.804, 511.6713, 33.50746, 1600.962, 2304.997, 1104.23, 2848.281, 238.2533, 1576.572, 223.0314
13, 5319.509, 1474.883, 2592.981, 478.5079, 31.43097, 1529.036, 2258.591, 1632.961, 2687.488, 224.1089, 1492.596, 211.0798
13.1, 5058.358, 1565.572, 2623.285, 523.163, 29.48316, 1823.143, 2239.204, 2123.372, 2728.406, 210.8043, 1413.093, 199.7686
13.2, 5096.942, 1504.568, 2536.1, 489.2548, 27.65605, 2078.579, 2420.81, 2135.608, 2742.482, 198.2895, 1337.825, 189.0636
13.3, 4881.69, 1506.901, 2421.142, 570.5927, 25.94218, 3464.002, 2310.133, 2204.495, 3226.76, 186.5177, 1479.015, 178.9322
13.4, 4665.732, 1422.445, 2311.394, 585.3384, 24.33451, 3633.489, 2166.27, 2365.695, 3523.664, 175.4447, 1441.344, 169.3437
13.5, 4725.008, 1421.716, 2440.618, 547.4005, 22.82648, 3470.249, 2076.429, 2325.68, 3389.514, 165.0291, 1364.571, 160.269
13.6, 4493.042, 1383.918, 2415.309, 567.291, 21.4119, 3653.392, 1977.32, 2684.326, 3198.166, 155.2318, 1501.224, 151.6806
13.7, 4605.504, 1379.711, 2441.264, 530.5228, 20.08498, 3574.312, 1854.183, 2598.803, 3017.62, 146.0162, 1421.261, 143.5525
13.8, 4451.894, 1302.384, 2563.719, 496.1376, 18.84029, 3413.73, 1738.714, 2479.714, 2847.267, 137.3477, 1484.558, 135.8599
13.9, 4357.253, 1277.442, 2447.508, 463.9811, 17.67274, 3260.362, 1714.274, 2359.573, 2686.53, 129.1938, 1405.483, 128.5796
14, 4298.342, 1205.845, 2336.565, 433.9087, 64.94785, 3567.992, 1805.483, 2377.066, 3170.435, 121.5239, 1330.62, 121.6893
14.1, 4243.251, 1138.262, 2727.278, 417.4086, 60.92296, 3407.694, 1693.047, 2694.735, 2991.455, 114.3094, 1456.039, 115.1683
14.2, 4263.618, 1178.834, 2664.656, 390.3548, 57.1475, 3427.307, 1587.612, 2758.572, 2822.578, 107.5232, 1378.483, 108.9968
14.3, 4389.17, 1112.764, 2847.599, 365.0544, 53.60601, 3273.33, 1488.744, 2874.615, 2663.235, 101.1399, 1305.058, 103.1559
14.4, 4265.98, 1050.398, 2718.52, 371.6489, 50.28399, 3389.669, 1558.3, 2701.469, 2631.309, 95.13555, 1235.545, 97.62811
