 , C000, C001, C003, C004, C011, C017, C036, C042, C054, C057, C059, C064, C071, C072, C082
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 518.1856, 0, 0, 34.75281, 69.66479, 0, 0, 0, 0, 733.3289, 138.4754, 56.94226, 0
0.2, 0, 0, 1133.51, 0, 0, 32.76953, 95.07639, -0.0001220703, 0, 156.256, -1.525879e-05, 977.7959, 132.3405, 89.58307, 0
0.3, 0, 0, 1208.218, 0, 0, 112.1888, 89.89276, 194.7649, 6.103516e-05, 144.301, 0, 1386.713, 126.4774, 84.25769, 0
0.4, 0, 0, 1243.873, 0, 69.44052, 105.7865, 84.99176, 1215.928, 3.051758e-05, 202.6383, 0, 1571.222, 178.981, 221.3268, 3.051758e-05
0.5, 0, 0, 1242.288, 8.14065, 65.74368, 99.74951, 137.1837, 1803.742, 3.051758e-05, 187.1346, -1.525879e-05, 1639.065, 171.0514, 330.9938, 3.051758e-05
0.6, 0, 0, 1180.074, 7.717663, 136.3602, 94.05701, 129.7044, 2161.701, 0, 268.4521, -1.525879e-05, 1660.922, 163.4732, 783.7151, 3.051758e-05
0.7, 0, 0, 1120.977, 7.316654, 129.1007, 88.68936, 287.4214, 2101.682, 3.051758e-05, 333.8089, 0, 1829.998, 156.2308, 1036.29, 171.4832
0.8, 0, 0, 1064.839, 6.936482, 122.2277, 83.62808, 271.7511, 2043.449, 0, 339.072, 0, 1738.561, 290.6929, 1223.523, 163.1573
0.9, 0, 7.629395e-06, 1182.281, 6.576063, 145.1967, 78.85559, 256.9351, 2284.831, 0, 313.1297, 0, 1684.782, 277.8142, 1179.164, 155.2357
1, 0, 0, 1123.073, 6.234372, 147.4362, 74.35547, 242.9268, 2532.947, 0, 289.1724, 0, 1808.405, 265.506, 1324.983, 147.6987
1.1, 0, -7.629395e-06, 1170.168, 5.910435, 139.587, 70.11215, 229.6824, 2623.909, 284.4868, 267.048, 7.629395e-06, 1849.178, 309.782, 1324.789, 178.6756
1.2, 0, 0, 1282.888, 5.603329, 132.1557, 66.11102, 217.16, 2538.58, 324.2436, 272.4739, 7.629395e-06, 1911.868, 296.0575, 1390.125, 261.1129
1.3, 0, 18.06511, 1218.642, 5.312181, 125.12, 62.33817, 205.3203, 2624.572, 457.8304, 251.6271, 0, 1816.341, 282.9411, 1307.488, 340.1689
1.4, 0, 17.18765, 1157.613, 5.036161, 118.4589, 58.78064, 194.1261, 2706.463, 478.2498, 353.608, 0, 1854.926, 270.4058, 1376.131, 531.7593
1.5, 33.42721, 76.31213, 1099.64, 4.774483, 112.1524, 55.42615, 288.9319, 2773.073, 849.549, 326.5536, 0, 2045.978, 258.4259, 1724.524, 505.9413
1.6, 979.2676, 72.60553, 1325.617, 4.526401, 106.1816, 52.26309, 273.1792, 3141.922, 920.0733, 301.5692, 0, 2119.205, 246.9767, 1622.009, 481.3768
1.7, 1410.679, 69.07896, 2097.13, 4.29121, 100.5287, 49.28055, 360.3606, 2960.98, 913.8908, 364.8063, 0, 2013.317, 305.6351, 1525.588, 458.0049
1.8, 1369.778, 65.72369, 2333.573, 4.068239, 95.1768, 77.83858, 836.5849, 3132.033, 846.8464, 336.8952, 3.814697e-06, 1912.721, 389.7811, 1434.899, 435.7679
1.9, 1414.616, 62.53139, 2239.416, 3.856854, 90.10979, 160.5329, 936.2622, 2951.66, 784.7206, 333.2962, 3.814697e-06, 2005.354, 372.5124, 1349.601, 414.6104
2, 1379.657, 59.49415, 2167.562, 3.656452, 85.31253, 236.4175, 885.2167, 2979.539, 727.1524, 307.7959, 7.629395e-06, 1984.83, 528.7338, 1269.374, 394.4802
2.1, 1300.923, 56.60443, 2272.691, 3.466464, 106.1082, 222.9256, 836.9543, 3049.781, 673.8075, 346.9841, 7.629395e-06, 2026.91, 505.309, 1360.837, 375.3273
2.2, 1284.586, 53.85507, 2158.876, 3.286347, 100.4592, 210.2037, 841.5358, 3325.195, 682.8278, 322.5964, 7.629395e-06, 2135.384, 482.9221, 1315.884, 357.1044
2.3, 1280.805, 51.23924, 2231.639, 3.115588, 95.11096, 198.2078, 795.6548, 3218.094, 632.7346, 297.9148, 7.629395e-06, 2146.478, 524.7291, 1309.775, 339.7663
2.4, 1207.712, 48.75048, 2229.116, 2.953703, 90.04744, 186.8965, 834.0161, 3215.846, 586.3163, 275.1215, 7.629395e-06, 2092.939, 501.4817, 1231.915, 323.2699
2.5, 1278.594, 46.3826, 2241.415, 2.800229, 85.25351, 176.2307, 979.7112, 3078.011, 543.3033, 254.0721, 7.629395e-06, 2024.081, 479.2643, 1158.683, 307.5745
2.6, 1230.216, 44.12973, 2129.166, 2.654729, 80.7148, 166.1736, 1018.977, 2933.221, 503.4458, 234.6332, 7.629395e-06, 1974.007, 503.9421, 1277.787, 292.6411
2.7, 1160.01, 41.98627, 2187.869, 2.51679, 76.41772, 156.6904, 963.422, 2791.602, 511.8329, 216.6816, 7.629395e-06, 2109.31, 481.6157, 1314.826, 278.4327
2.8, 1178.744, 39.94694, 2146.975, 2.386018, 72.3494, 147.7484, 935.6434, 2698.545, 474.2841, 200.1034, 7.629395e-06, 2053.583, 541.7773, 1236.666, 264.9143
2.9, 1111.475, 38.00665, 2056.631, 2.262041, 68.49767, 139.3167, 884.6317, 2691.466, 468.6498, 184.7936, 5.722046e-06, 2027.975, 585.7015, 1207.794, 252.0521
3, 1048.046, 36.16061, 2064.652, 2.144505, 64.85101, 131.3661, 1076.545, 2536.465, 434.269, 170.6552, 5.722046e-06, 2020.358, 597.0244, 1135.997, 239.8145
