 , C000, C002, C004, C005, C007, C008, C009, C010, C011, C012, C013, C022, C025, C030, C048, C096
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 57.47073, 36.12945, 0, 0, 0, 0, 0, 31.63098, 0, 0, 0, 86.12692, 0, 158.5601, 91.84729, 0
0.2, 54.13177, 189.6862, -3.051758e-05, 0, 0, 0, 0, 51.37799, -3.051758e-05, 0, 0.0001220703, 80.80884, 0, 151.8914, 100.0312, 0
0.3, 50.98681, 295.0015, 31.59106, -3.051758e-05, 0, 0, 0, 89.63153, 0, 0, 30.27252, 75.81909, 0, 145.5032, 136.1749, 60.40491
0.4, 48.02456, 272.673, 29.63687, -3.051758e-05, 0, 3.814697e-06, 159.0213, 84.27045, 0, 0, 91.49103, 71.13744, 0, 183.9515, 214.387, 57.49615
0.5, 45.23441, 252.0345, 118.8773, -3.051758e-05, 0, 0, 151.7474, 92.48013, 77.68576, 0, 87.4754, 66.74489, 0, 257.3465, 204.0859, 106.4173
0.6, 42.60636, 232.9582, 111.5235, -3.051758e-05, 0, 122.9353, 248.1242, 215.6707, 73.92865, 0, 135.7454, 62.62357, 0, 362.8719, 194.2798, 342.4683
0.7, 40.131, 215.3257, 104.6247, -3.051758e-05, 0, 116.2029, 236.7745, 645.0619, 70.35321, 0, 129.7875, 58.75673, 0, 418.1776, 202.9866, 325.9765
0.8, 37.79945, 254.6582, 267.374, 90.51018, 0, 109.8391, 225.944, 675.2155, 113.2052, 0, 334.5533, 55.12865, 0, 428.6228, 269.0305, 325.3221
0.9, 35.60338, 235.3833, 250.8342, 85.74509, 0, 103.8238, 215.6089, 749.8109, 129.6965, 0, 375.4462, 51.72459, 0, 431.0867, 256.1039, 419.3539
1, 33.53488, 257.4631, 280.3801, 81.23088, 0, 98.13795, 205.7466, 704.9626, 183.3437, 0, 358.9676, 48.53072, 0, 471.6623, 291.744, 485.5143
1.1, 31.58657, 348.2137, 263.0358, 76.95432, 0, 92.76348, 269.8208, 695.3307, 224.9348, 0, 343.2123, 45.53407, 0, 451.8253, 277.726, 462.1342
1.2, 29.75144, 353.5654, 246.7644, 72.90291, 0, 87.68334, 279.9949, 653.741, 214.0562, 3.690267, 328.1486, 152.3327, 0, 432.8227, 264.3816, 439.8799
1.3, 28.02293, 326.8042, 231.4995, 69.06479, 0, 98.28844, 335.2437, 755.0293, 203.7038, 3.381989, 357.5703, 315.7202, 0, 444.3421, 380.8651, 621.9161
1.4, 26.39484, 321.9124, 274.5527, 65.42873, 3.828397, 346.6388, 319.909, 890.1394, 356.3658, 3.099465, 455.0675, 296.2253, 0, 425.6541, 409.1255, 618.292
1.5, 24.86135, 297.547, 257.5688, 78.2522, 3.610895, 512.2807, 408.4177, 1025.932, 339.1309, 89.67686, 635.4402, 277.9341, 0, 636.3317, 621.1981, 618.5885
1.6, 23.41695, 310.5067, 241.6356, 74.13246, 251.0027, 564.1141, 389.7359, 1508.261, 322.7294, 125.4937, 701.392, 307.3774, 0, 609.5692, 739.1119, 769.3732
1.7, 22.05646, 367.2969, 226.688, 86.81709, 249.3958, 533.2207, 503.0558, 1563.153, 307.1212, 115.0102, 783.845, 879.1317, 0, 583.9321, 826.189, 845.2198
1.8, 20.77501, 397.9113, 212.6651, 129.74, 235.227, 553.3173, 480.0451, 1469.657, 292.2678, 105.4025, 760.9521, 909.9634, 0, 559.3734, 967.3796, 804.5178
1.9, 19.56802, 367.7936, 199.5096, 182.4099, 221.8631, 523.0151, 458.087, 1381.753, 278.1328, 96.59739, 832.0786, 853.7754, 0, 535.8475, 920.8982, 916.0584
2, 18.43115, 339.9555, 187.1679, 203.6318, 209.2585, 494.3725, 437.1332, 1299.106, 264.6814, 88.52784, 795.5583, 888.77, 0, 513.311, 876.65, 909.4438
2.1, 17.36033, 314.2245, 240.5984, 192.9112, 197.3699, 467.2985, 417.1379, 1267.882, 251.8806, 81.13241, 760.6409, 955.4561, 0, 491.7224, 834.528, 942.8733
2.2, 16.35172, 290.441, 225.715, 266.6716, 186.1568, 441.7071, 398.0573, 1192.046, 239.6988, 74.35477, 727.256, 896.4591, 0, 471.0418, 794.4298, 897.4687
2.3, 15.40172, 268.4577, 211.7522, 252.6321, 175.5807, 417.5172, 451.7465, 1120.747, 228.1062, 68.14333, 695.3364, 841.105, 0, 451.231, 756.2584, 854.2506
2.4, 14.5069, 248.1383, 260.5528, 239.3318, 165.6055, 394.6522, 431.0828, 1053.712, 217.0743, 62.45078, 664.8179, 789.1689, 0, 530.559, 826.462, 813.1138
2.5, 13.66408, 229.3568, 244.435, 360.3822, 156.197, 373.0392, 411.3643, 990.6861, 206.5759, 57.23377, 635.6387, 740.4397, 0, 508.245, 786.7513, 839.7986
2.6, 12.87022, 211.997, 323.5309, 341.4092, 165.1637, 352.61, 434.6083, 1090.785, 196.5852, 52.45258, 607.7401, 694.7194, 0, 486.8694, 748.9488, 835.8992
2.7, 12.12248, 251.0993, 348.3627, 323.435, 155.7803, 333.2994, 414.7285, 1097.78, 187.0777, 48.0708, 581.0662, 651.8223, 0, 510.0696, 777.5975, 795.6461
2.8, 11.41819, 286.4442, 672.3317, 306.4072, 146.9301, 315.0465, 517.7946, 1040.666, 178.03, 44.05506, 555.5629, 611.5739, 0, 488.6173, 797.6132, 757.3314
2.9, 10.75481, 264.7634, 630.7412, 290.2758, 138.5826, 297.7931, 494.1098, 978.4207, 169.4199, 40.37479, 531.179, 573.8107, 0, 468.0673, 913.8677, 750.2042
3, 10.12997, 253.5547, 670.7401, 274.9936, 130.7093, 281.4846, 471.5083, 982.9194, 161.2262, 37.00197, 636.576, 538.3793, 0, 448.3815, 869.9573, 714.0778
3.1, 9.541437, 373.1809, 629.248, 260.5161, 123.2834, 266.0693, 449.9406, 1178.276, 153.4288, 35.74171, 691.9512, 634.4315, 0, 429.5237, 898.3697, 714.0428
3.2, 8.987097, 344.9351, 590.3226, 304.8129, 116.2793, 251.4981, 429.3595, 1107.8, 146.0085, 32.75592, 731.1665, 616.0797, 0, 411.4589, 954.6456, 744.7764
3.3, 8.46496, 318.8271, 553.8052, 471.3087, 109.6732, 251.0801, 409.7198, 1051.881, 138.9471, 30.01955, 738.0421, 637.4667, 0, 394.154, 1796.332, 819.7433
3.4, 7.973161, 548.256, 663.7207, 446.4958, 103.4423, 237.3299, 390.9785, 988.9648, 132.2271, 27.51178, 705.649, 598.1047, 0, 377.5768, 2314.944, 1103.294
3.5, 7.509934, 594.4227, 622.6629, 422.9891, 97.56551, 224.3326, 436.7864, 929.812, 125.8322, 25.2135, 674.6777, 820.8857, 0, 361.6968, 2355.677, 1087.519
3.6, 7.073619, 572.8299, 746.5109, 400.7201, 105.4872, 212.0472, 495.5142, 917.302, 119.7465, 75.14775, 645.0658, 1163.119, 0, 346.4847, 2242.489, 1035.149
3.7, 6.662655, 720.6279, 700.3317, 379.6234, 99.49419, 200.4345, 472.8485, 903.8214, 241.5032, 68.87006, 616.7535, 1384.474, 0, 331.9124, 2260.073, 1038.102
3.8, 6.275565, 826.6373, 657.0091, 359.6374, 93.84165, 189.4578, 590.5908, 849.7614, 229.8233, 63.1168, 681.7817, 1298.986, 0, 317.953, 2347.327, 988.1119
3.9, 5.910965, 811.4763, 707.5898, 340.7036, 88.51025, 179.0823, 563.5761, 856.7684, 218.7083, 57.84415, 651.8579, 1218.777, 0, 304.5807, 2359.175, 940.5289
4, 5.567548, 750.0561, 663.8182, 322.7665, 83.48175, 169.2749, 583.4366, 819.997, 208.1309, 53.01197, 623.2476, 1276.462, 0, 291.7707, 2274.119, 1139.591
4.1, 5.244082, 720.6267, 622.7544, 324.7482, 78.73893, 160.0047, 556.7491, 792.7478, 355.8091, 48.58346, 595.8929, 1329.615, 0, 279.4996, 2380.656, 1084.713
4.2, 4.93941, 666.0829, 672.9811, 307.6512, 74.26556, 151.2421, 531.2825, 745.3313, 338.601, 44.5249, 569.7389, 1426.172, 0, 267.7445, 2303.519, 1080.603
