 , C000, C001, C002, C003, C004, C007, C011, C016, C017, C018, C019, C021, C022, C023, C027, C028, C029, C030, C058, C059, C065
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 43.94062, 3.15416, 0, 0, 0, 3.519844, 0, 0, 0, 53.50265, 0, 0, 0, 0, 14.58879, 0, 0, 29.1933, 0, 35.20818
0.2, 0, 43.54951, 2.948818, 0, 0, 0, 3.337799, 0, 0, 0, 49.96243, 3.814697e-06, -1.525879e-05, 34.72456, 0, 16.17068, 4.346161, 24.88898, 27.16513, 17.9142, 36.82263
0.3, 12.04011, 58.04976, 2.756847, 0, 0, 1.907349e-06, 3.165169, 6.45536, 26.19338, 0, 72.38584, 7.629395e-06, -1.525879e-05, 32.94025, -3.814697e-06, 15.15842, 16.08321, 34.87576, 25.27786, 19.21642, 53.13431
0.4, 11.35138, 59.16109, 2.577377, 0, 0, 1.907349e-06, 19.0793, 6.162834, 24.62641, 7.629395e-06, 67.59614, 14.98518, -1.525879e-05, 31.24762, -3.814697e-06, 14.20953, 15.25967, 33.09881, 31.19816, 18.18925, 50.22102
0.5, 18.86124, 54.91341, 12.24428, 0, 0, 1.907349e-06, 19.4117, 5.883568, 23.15319, 3.814697e-06, 63.12337, 14.23996, 28.54908, 29.64197, 0, 13.32004, 14.4783, 31.41241, 34.31911, 17.21699, 47.46747
0.6, 17.73697, 50.9707, 11.44716, 0, 0, 19.46882, 26.88173, 5.616951, 21.7681, 3.814697e-06, 58.94655, 13.53181, 26.9484, 62.30653, -3.814697e-06, 18.34792, 13.73695, 29.81192, 63.03419, 24.42697, 44.86489
0.7, 16.67971, 47.31106, 10.70194, 0, 1.554924, 23.26308, 25.49141, 22.99171, 20.46587, 3.814697e-06, 55.04611, 12.85887, 25.43748, 75.70129, -3.814697e-06, 17.6111, 30.85233, 38.22545, 58.65495, 41.65853, 42.40502
0.8, 15.68548, 43.91418, 10.00524, 0, 1.45451, 22.06096, 24.173, 53.66653, 19.24154, 3.814697e-06, 51.40376, 12.2194, 24.01128, 101.677, 0, 18.04826, 35.96599, 70.61187, 71.68013, 39.43178, 40.07999
0.9, 15.16541, 58.45856, 25.6515, 0, 1.36058, 20.92096, 36.72017, 51.23463, 18.09045, 3.814697e-06, 48.00242, 41.84632, 22.66504, 96.45234, -3.814697e-06, 28.19521, 39.52701, 71.20074, 80.80666, 37.32405, 37.88248
1, 14.26144, 54.2613, 23.98156, 0, 2.250699, 19.83987, 89.6373, 48.91291, 17.00822, 0, 44.82615, 39.7653, 21.39427, 91.49615, -3.814697e-06, 26.43024, 49.58563, 71.50647, 75.1927, 35.32899, 35.80542
1.1, 13.41135, 50.36541, 37.0096, 0, 2.105352, 18.81464, 155.731, 46.6964, 15.99074, 0, 41.86004, 37.78777, 20.19476, 96.15677, -7.629395e-06, 41.81009, 47.04663, 76.70334, 69.96878, 38.43918, 33.84225
1.2, 12.61193, 46.74923, 50.46376, 0, 1.969392, 17.8424, 163.5765, 52.71913, 15.03413, -3.814697e-06, 39.0902, 35.90858, 19.06249, 108.507, -1.144409e-05, 39.19286, 63.94813, 101.4235, 76.17961, 50.15095, 55.62547
1.3, 11.86017, 43.3927, 95.88327, 0, 6.01585, 16.92039, 162.1632, 64.65035, 27.7782, -3.814697e-06, 36.50364, 34.12284, 17.99372, 116.7873, -7.629395e-06, 96.70978, 80.58611, 131.4802, 70.88712, 51.35381, 52.5756
1.4, 11.15321, 40.27715, 112.5376, 0, 15.27854, 35.85915, 161.2036, 61.7207, 58.52517, -3.814697e-06, 34.08822, 53.54327, 16.98486, 110.7862, -7.629395e-06, 96.68015, 82.06655, 124.7812, 65.96231, 48.60882, 49.69296
1.5, 10.4884, 37.38531, 111.0276, 0, 14.29188, 34.00613, 166.6112, 67.25906, 55.02402, -3.814697e-06, 31.83264, 50.88056, 16.03257, 130.4195, -7.629395e-06, 90.62815, 81.70612, 118.4235, 61.37965, 46.01056, 46.96835
1.6, 17.07319, 34.70109, 104.0422, 0, 13.36893, 51.2191, 157.9941, 64.2112, 69.72334, 0, 29.7263, 48.35027, 15.13367, 123.7179, -7.629395e-06, 88.99723, 95.98598, 112.3897, 69.70627, 58.79013, 70.468
1.7, 16.05551, 32.2096, 97.26897, 0, 12.50559, 48.57236, 168.2064, 61.30144, 65.55228, 0, 27.75934, 45.94581, 14.28516, 117.3606, -7.629395e-06, 83.42616, 91.07108, 106.6634, 88.60284, 55.64765, 66.60432
1.8, 15.09848, 29.89699, 90.93667, 0, 11.698, 51.14656, 262.6272, 81.2238, 61.63074, 0, 38.73479, 43.66092, 13.48423, 111.3301, -5.722046e-06, 78.20384, 92.31822, 101.2288, 82.44724, 52.67314, 73.84882
1.9, 21.74502, 27.75042, 106.9232, 0, 28.35579, 54.54465, 355.3431, 77.54311, 57.94381, 1.907349e-06, 37.07625, 41.48965, 12.72821, 105.6094, -5.722046e-06, 73.30843, 98.49628, 96.07108, 76.71931, 49.85764, 74.11188
2, 20.44886, 25.75797, 108.2407, 0, 38.61805, 51.72606, 347.5536, 74.02922, 54.47744, 0, 34.62294, 39.42638, 12.01458, 100.1827, -3.814697e-06, 68.71945, 93.45283, 107.7256, 71.38933, 47.19262, 75.74725
2.1, 38.87973, 23.90859, 105.2518, 0, 36.12416, 49.05312, 329.5782, 100.9556, 51.21844, 0, 32.33198, 37.4657, 11.34096, 95.03481, -3.814697e-06, 64.41774, 112.702, 102.2369, 83.4639, 44.67006, 71.59413
2.2, 59.30978, 22.19198, 106.7459, 0, 52.48368, 46.5183, 334.6529, 96.38074, 48.1544, 0, 30.1926, 35.60252, 31.68153, 90.15147, -3.814697e-06, 66.24867, 106.9312, 108.5499, 77.66533, 42.28233, 67.66872
2.3, 55.77447, 20.59863, 99.79668, 0, 49.09437, 44.11447, 317.3447, 92.01321, 45.27365, 0, 28.19478, 33.83201, 29.90524, 85.51904, -3.814697e-06, 82.70907, 101.4558, 103.0191, 72.26962, 40.02223, 85.67592
2.4, 52.4499, 19.11967, 93.29983, 0, 45.92393, 41.83486, 319.5357, 93.06696, 42.56525, 0, 26.32916, 32.14954, 29.25667, 81.12466, -3.814697e-06, 102.4265, 112.0972, 97.77025, 83.79918, 37.88294, 80.97842
2.5, 49.32349, 70.59833, 87.22593, 0, 42.95824, 39.67304, 341.4802, 113.7794, 40.01887, 0, 33.45769, 30.55074, 27.61633, 76.95607, 29.89458, 107.8034, 106.3573, 92.78878, 77.97732, 35.85801, 76.53848
2.6, 46.38345, 65.52946, 81.54745, 0, 40.18406, 37.62294, 323.8189, 108.6235, 37.62482, 0, 31.24382, 29.03145, 36.44913, 73.00169, 62.83688, 119.1791, 111.3585, 88.06112, 72.55993, 39.84568, 72.34197
2.7, 43.61864, 60.82452, 76.23864, 0, 37.58904, 35.67878, 310.1844, 103.7012, 35.37399, 0, 29.17645, 27.58772, 45.50993, 69.25052, 69.99989, 111.7187, 105.6565, 123.533, 67.51891, 48.30021, 92.3228
2.8, 41.01865, 56.4574, 71.27544, 0, 35.1616, 44.81733, 297.9314, 99.00191, 36.75517, 0, 27.24587, 26.21577, 42.95832, 65.69209, 88.71329, 105.6737, 100.2464, 117.2389, 81.02439, 45.71844, 96.46288
2.9, 38.57364, 52.40383, 66.63535, 0, 32.89092, 42.50139, 282.5224, 94.51561, 42.76859, 0, 25.44304, 24.91206, 65.63335, 62.31651, 101.3245, 99.05873, 95.11333, 111.2655, 120.028, 43.27468, 116.0555
3, 39.80375, 48.6413, 62.29733, 0, 30.76688, 40.30513, 298.3328, 90.2326, 42.42115, 0, 23.75949, 23.67318, 62.11176, 74.66634, 102.7533, 92.85783, 105.7654, 105.5965, 111.6892, 40.96154, 113.3731
3.1, 37.43114, 45.14891, 58.24172, 0, 28.78, 38.22237, 303.6178, 86.14369, 39.88339, 9.536743e-07, 43.39417, 22.49591, 84.55665, 87.17592, 123.9178, 87.0451, 100.3497, 100.2162, 103.9297, 38.77204, 107.157
3.2, 35.19997, 41.90728, 54.45013, 0, 26.92143, 36.24723, 287.9147, 82.24005, 48.26635, 0, 40.52282, 21.37719, 79.81581, 100.1582, 129.0454, 90.03861, 95.21136, 95.11015, 123.8701, 36.69958, 115.1173
3.3, 34.78959, 38.89839, 50.90538, 0, 25.18289, 34.37415, 273.0238, 78.51332, 49.15338, 0, 37.84146, 20.3141, 99.34573, 110.9175, 122.1301, 84.40237, 95.77846, 90.26421, 115.2643, 34.7379, 132.6095
3.4, 32.71587, 36.10553, 47.5914, 0, 23.55662, 32.59787, 292.1364, 74.95546, 59.26923, 0, 35.33752, 19.30388, 96.18088, 105.218, 180.6175, 79.11893, 106.7596, 85.66518, 107.2565, 32.88107, 125.3387
3.5, 30.76576, 33.5132, 44.49316, 0, 22.03537, 30.91338, 358.2901, 71.55884, 62.03414, -9.536743e-07, 32.99927, 18.34389, 109.8607, 99.81143, 170.9386, 74.16623, 106.1382, 81.30047, 116.592, 31.1235, 134.842
3.6, 29.80968, 31.107, 41.59662, 0, 20.61236, 29.31593, 453.1174, 68.31612, 59.75391, -9.536743e-07, 30.81574, 17.43165, 103.7012, 105.3679, 161.7783, 69.52356, 100.7035, 77.15815, 108.4919, 29.45987, 127.4488
3.7, 30.51123, 28.87355, 38.88864, 0, 19.28125, 27.80103, 457.527, 65.22035, 76.80817, -9.536743e-07, 35.06495, 16.56478, 106.2062, 99.9536, 153.1089, 66.48934, 118.5591, 73.22688, 100.9546, 27.88516, 138.367
3.8, 28.69253, 52.60647, 36.35696, 0, 18.03609, 26.36441, 455.2556, 62.26487, 72.21328, 0, 32.74473, 45.28218, 107.5011, 126.9957, 144.9041, 62.32723, 112.4883, 69.49592, 93.94086, 26.39463, 133.2652
3.9, 26.98224, 48.82939, 33.99009, 0, 16.87135, 34.55978, 431.7098, 59.44332, 67.89327, 9.536743e-07, 30.57804, 43.0303, 101.4738, 141.5392, 137.139, 58.42566, 106.7284, 65.95505, 105.0861, 24.98377, 149.3991
4, 25.3739, 45.3235, 31.7773, 0, 15.78183, 32.77391, 414.7585, 56.74963, 63.83169, 0, 28.55472, 40.8904, 109.0135, 209.3868, 129.79, 54.76831, 118.6963, 62.59459, 104.0173, 23.64833, 141.2077
4.1, 23.86143, 42.06933, 29.70857, 0, 14.76266, 31.08031, 415.7022, 54.178, 60.01309, 9.536743e-07, 26.66528, 38.85692, 109.1903, 208.8804, 122.8348, 55.54667, 130.8435, 59.40535, 96.79086, 22.38427, 133.4655
