 , C000, C001, C002, C004, C005, C006, C008, C011, C012, C015, C017, C020, C021, C024, C028, C030, C035, C036, C037, C039, C049, C051, C054, C065
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 164.2209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68.96307, 0, 0, 0, 0, 0, 0, 0
0.2, 0, 0, 0, 0, 224.3094, -9.536743e-07, 0, 0, 280.4312, 7.252525, 0, 0, 0, 0, -3.051758e-05, 0, 65.61407, 0, 0, 0, 0, 249.642, 0, 64.30835
0.3, -7.629395e-06, 0, 0, 0, 210.9483, -9.536743e-07, 0, -1.907349e-06, 262.9734, 6.716728, 0, 0, 0, 0, 0, 0, 62.42767, 0, 0, 0, 0, 235.3059, 6.103516e-05, 61.30127
0.4, 0, 0, 0, 0, 198.3831, -9.536743e-07, 0, -1.907349e-06, 483.1084, 6.220512, 0, 0, 0, 0, -3.051758e-05, 0, 59.39603, 0, 0, 0, 0, 221.793, 6.103516e-05, 58.43494
0.5, 0, 0, 0, 0, 186.5664, 0, 0, -1.907349e-06, 611.7866, 5.760956, 0, 0, 0, 0, -3.051758e-05, -1.525879e-05, 56.5116, 0, 0, 257.5663, 0, 209.056, 52.77441, 55.70251
0.6, 72.02399, 0, 12.15981, 0, 175.4535, 19.47412, 153.0086, 29.66417, 822.6324, 5.335358, 0, 0, 0, 0, -3.051758e-05, -1.525879e-05, 53.76724, 0, 0, 243.7198, 121.566, 197.0505, 50.13568, 149.4362
0.7, 339.4822, 194.4303, 125.1842, 0, 165.0025, 22.42722, 175.5579, 28.16968, 860.7238, 4.9412, 7.629395e-06, 87.33303, 0, 32.19177, -3.051758e-05, -1.525879e-05, 51.15616, 0, 0, 230.6179, 132.9548, 185.7344, 47.62891, 209.1603
0.8, 416.9846, 664.1205, 119.6106, 0, 155.1741, 20.84172, 165.4843, 26.75048, 1066.68, 103.6423, 1.525879e-05, 82.05917, 0, 30.52421, -3.051758e-05, -1.525879e-05, 48.67188, 0, 0, 218.2202, 126.4201, 175.0684, 287.2894, 199.38
0.9, 396.3865, 628.0502, 220.3057, 0, 145.9311, 19.36831, 155.9887, 25.40278, 1000.275, 95.98548, 18.48896, 77.1038, 84.85899, 28.94302, -3.051758e-05, -7.629395e-06, 46.30823, 0, 0, 206.489, 120.2065, 165.0147, 272.9249, 190.0571
1, 376.8059, 593.9389, 210.4969, 0, 137.2386, 83.7549, 190.1216, 24.12298, 1172.736, 88.89436, 35.70743, 72.44766, 80.27529, 27.44374, -3.051758e-05, -7.629395e-06, 44.05936, 0, 0, 290.7959, 114.2984, 155.5384, 323.3432, 288.5723
1.1, 358.1925, 561.6803, 201.1248, 0, 129.064, 77.83383, 179.2123, 22.90766, 1167.341, 82.32713, 33.20266, 68.0727, 75.93919, 35.43088, 0, -1.525879e-05, 41.91974, 0, 0, 275.1631, 190.8484, 146.6063, 307.176, 675.4895
1.2, 340.4986, 531.1738, 192.17, 0, 121.3762, 106.3433, 168.929, 21.75356, 1254.843, 76.24504, 30.8736, 63.96194, 84.94202, 51.46126, -3.051758e-05, -7.629395e-06, 84.6756, 0, 0, 388.5009, 181.4682, 138.1872, 300.5941, 1175.739
1.3, 323.6787, 502.3241, 183.6139, 0, 114.1464, 98.82537, 159.2358, 20.65761, 1176.724, 70.6123, 28.70792, 60.09941, 106.4135, 48.79552, -1.525879e-05, 0, 80.56354, 0, 0, 367.6157, 172.5491, 130.2515, 314.8814, 1120.762
1.4, 307.6897, 475.0414, 175.4388, 0, 107.3472, 98.75129, 150.0988, 19.61688, 1327.88, 124.2291, 44.51131, 56.47014, 100.6655, 46.26786, -3.051758e-05, 0, 207.947, 0, 0, 347.8532, 164.0683, 122.7715, 336.849, 1199.318
1.5, 292.4906, 449.2404, 167.6276, 0, 100.9531, 176.7909, 141.486, 18.62857, 1361.442, 115.0514, 119.5098, 53.06003, 95.22802, 93.81541, -1.525879e-05, 7.629395e-06, 197.8485, 0, 0, 329.1532, 213.3712, 115.7211, 320.0065, 1273.4
1.6, 278.0422, 424.8409, 160.1643, 0, 94.93976, 164.2926, 133.3675, 17.69006, 1383.508, 106.5518, 111.1266, 49.85585, 90.08424, 88.95568, -1.525879e-05, 0, 188.2404, 0, 0, 311.4584, 202.884, 109.0756, 304.0061, 1213.856
1.7, 264.3075, 401.7665, 160.4281, 0, 89.28464, 166.5099, 125.7148, 16.79882, 1368.519, 226.824, 120.4184, 46.84516, 108.1745, 195.4133, -1.525879e-05, 7.629395e-06, 223.14, 0, 0, 294.7149, 192.9123, 102.8117, 288.8058, 1298.738
1.8, 251.2513, 379.9453, 153.2853, 0, 83.96637, 195.7816, 118.5012, 15.9525, 1475.974, 210.0669, 236.7361, 44.01628, 113.4139, 185.2907, -1.525879e-05, 7.629395e-06, 345.0038, 0, 0, 278.8715, 183.4306, 96.90753, 274.3655, 1254.875
1.9, 238.8401, 430.7652, 232.0076, 0, 78.96487, 243.1375, 111.7015, 15.1488, 1475.681, 194.5478, 220.1298, 41.35823, 167.6157, 300.8799, -1.525879e-05, 7.629395e-06, 328.2495, 0, 0, 263.8798, 338.9626, 91.34247, 260.6472, 1349.955
2, 227.0419, 429.6535, 294.279, 0, 74.26131, 465.959, 105.292, 14.3856, 1556.164, 180.1752, 204.6884, 447.208, 286.749, 515.2222, -1.525879e-05, 0, 312.3088, 3.533993, 0, 344.0998, 395.9381, 86.09698, 263.3608, 1286.831
2.1, 215.8266, 556.7541, 363.9677, 0, 69.83791, 443.6457, 99.25029, 13.66085, 1517.491, 166.8644, 190.3301, 420.2021, 394.0334, 531.7391, -3.051758e-05, 0, 297.1422, 3.358873, 0, 393.8428, 376.4778, 81.15268, 264.5481, 1226.66
2.2, 205.1652, 526.5151, 361.025, 0, 65.67798, 412.2821, 93.55525, 12.97261, 1593.093, 154.537, 176.9791, 394.827, 372.7495, 637.3638, -4.577637e-05, 7.629395e-06, 282.7122, 3.19243, 0, 452.0925, 357.9739, 76.49231, 307.8572, 1352.797
2.3, 195.0305, 497.9185, 344.9509, 0, 61.76585, 383.1358, 88.187, 12.31905, 1599.165, 143.1203, 222.5546, 370.9843, 495.4083, 604.3477, -3.051758e-05, 7.629395e-06, 268.9829, 3.034236, 0, 502.543, 340.3795, 72.09961, 292.4643, 1390.702
2.4, 185.3965, 470.875, 329.5924, 0, 58.08674, 356.0499, 83.12679, 11.69841, 1499.726, 132.547, 350.8178, 348.5813, 468.6486, 573.0418, -4.577637e-05, 7.629395e-06, 255.9204, 2.88388, 0, 558.5938, 323.6499, 67.95914, 277.841, 1378.863
2.5, 176.2383, 445.3004, 314.9178, 0, 54.62679, 330.8789, 78.35692, 11.10904, 1449.689, 122.7548, 335.6491, 327.5312, 625.9465, 543.3577, -3.814697e-05, 7.629395e-06, 243.4922, 2.740975, 0, 528.5646, 307.7425, 64.05643, 280.6028, 1440.191
2.6, 167.5325, 421.1147, 300.8966, 0, 51.37292, 307.4874, 73.86076, 10.54936, 1449.337, 113.6861, 328.63, 307.7523, 592.1357, 515.2112, -3.051758e-05, 7.629395e-06, 231.6676, 2.605152, 0, 609.7665, 292.617, 60.37787, 266.5726, 1394.783
2.7, 159.2568, 398.2427, 331.4997, 0, 48.31287, 285.7495, 69.62259, 10.01788, 1562.108, 105.2873, 305.5777, 289.1678, 560.1512, 488.5227, -2.288818e-05, 1.144409e-05, 220.4171, 2.476058, 0, 576.9865, 278.2349, 56.91055, 253.244, 1573.922
2.8, 151.3898, 376.613, 358.1082, 13.27694, 45.4351, 265.5484, 65.6276, 9.513178, 1495.442, 97.509, 284.1424, 271.7056, 529.8944, 463.2167, -3.051758e-05, 1.525879e-05, 209.7131, 2.353362, 0, 601.0775, 264.5596, 53.64233, 240.5817, 1537.518
2.9, 143.9115, 436.1782, 348.3734, 12.19633, 42.72874, 246.7754, 61.86185, 9.0339, 1459.976, 90.30533, 306.2359, 255.2979, 501.2719, 608.9491, -3.051758e-05, 1.525879e-05, 199.5289, 2.236746, 0, 646.7275, 251.5565, 50.5618, 228.5526, 1657.979
