 , C000, C001, C002, C004, C005, C006, C008, C010, C012, C014, C015, C016, C017, C019, C024, C029, C030, C035, C037, C038, C040, C042, C047, C053, C080, C095, C101, C105, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 0, 0, 0, 125.8674, 0, 0, 0, 0, 68.46637, 100.4537, 0, 0, 0, 81.96643, 0, 210.4865, 0, 19.61157, 0, 0, 140.5432, 279.8395, 49.91821, 38.7605, 61.03418
0.2, 108.2669, 0, 0, -7.629395e-06, 0, 0, 7.629395e-06, 120.1326, 0, 0, 110.4193, 123.6966, 120.6188, 95.05685, 0, 58.65298, 3.619446, 77.81445, 0, 409.7125, 0, 18.66858, 6.103516e-05, 0, 133.343, 410.8589, 343.6332, 69.07617, 220.2158
0.3, 101.339, 7.629395e-06, 0, 0, 0, 0, 0, 114.6591, 0, 24.54637, 103.5534, 368.0837, 113.5471, 89.95, 0, 188.0898, 170.8735, 293.0076, 0, 572.6002, 0, 46.51044, 0, 0, 156.0452, 447.7671, 340.7169, 94.54224, 210.5751
0.4, 206.5905, 7.629395e-06, 0, -7.629395e-06, 0, 0, 92.9763, 109.435, 0, 72.15749, 225.3724, 378.6935, 106.8901, 85.11751, 0, 177.8114, 161.605, 313.1692, 0, 692.0913, 126.9243, 44.27393, 138.9651, 76.76941, 270.3022, 422.4098, 336.3785, 140.8088, 201.3566
0.5, 825.0286, 7.629395e-06, 0, 182.5952, 82.1933, 0, 88.28498, 104.4489, 0, 221.2324, 240.4185, 355.3505, 149.5956, 80.54463, 0, 168.0947, 152.8394, 297.3054, 97.95575, 644.3567, 120.0119, 90.26767, 231.9615, 196.2682, 256.4542, 398.4885, 383.0926, 444.9544, 192.5416
0.6, 1665.458, 18.00934, 0, 172.2347, 77.94686, 0, 83.83037, 99.69003, 0, 313.7691, 225.4691, 333.4464, 140.8251, 143.9021, 0, 158.9089, 144.5491, 314.2476, 92.75659, 613.468, 113.476, 85.92712, 218.8224, 184.3621, 243.3156, 549.0818, 443.6261, 515.8903, 184.1125
0.7, 2592.555, 65.21165, 0, 162.4621, 165.1989, 0, 95.98618, 98.43307, 0, 347.6034, 211.4493, 337.3734, 196.2638, 136.1711, 0, 150.2251, 136.7085, 385.2543, 108.5153, 571.1561, 258.8959, 81.79529, 206.4275, 173.1781, 230.8501, 608.8532, 454.9323, 817.5428, 176.0524
0.8, 2804.693, 61.73773, 0, 153.244, 156.664, 0, 91.143, 93.94826, 0, 332.2859, 198.3012, 316.5774, 249.9853, 133.551, 0, 142.0158, 132.5377, 540.3287, 102.7556, 531.7626, 244.7963, 77.86212, 194.7347, 162.6726, 219.0233, 748.1724, 433.1291, 910.8356, 168.3451
