 , C000, C001, C003, C004, C060, C083
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0
0.0999229913174783, 2.355909, 0, 0, 0, 0, 0
0.1998459826349566, 2.230218, -9.536743e-07, 0, 0, 0, 0
0.2997689739524349, 2.111234, 0.4105282, 1.472896, 0, 0, 0
0.3996919652699132, 1.998597, 0.3934612, 3.293571, 6.335716, 0, 0
0.4996149565873915, 6.382301, 0.3771048, 4.527536, 6.056648, -3.814697e-06, 0
0.5995379479048698, 6.6359, 0.3614283, 6.09533, 9.436647, -3.814697e-06, 0
0.6994609392223481, 6.281867, 0.3464026, 5.843201, 9.020992, -3.814697e-06, 0
0.7993839305398264, 5.946723, 0.3320022, 5.601501, 8.623646, -7.629395e-06, 0
0.8993069218573047, 5.629458, 2.874142, 5.651611, 8.243801, -7.629395e-06, 0
0.9992299131747829, 5.32912, 3.636279, 5.417836, 9.458963, -1.144409e-05, 0
1.099152904492261, 9.028399, 3.485114, 5.193731, 9.042326, -7.629395e-06, 0
1.19907589580974, 10.79766, 3.340233, 4.978896, 11.4468, -1.144409e-05, 0
1.298998887127218, 20.05594, 3.201375, 11.23932, 32.90956, -7.629395e-06, 0
1.398921878444696, 18.98593, 3.06829, 10.77441, 37.15781, -3.814697e-06, 0
1.498844869762174, 17.97301, 2.940737, 12.98554, 35.52113, -3.814697e-06, 0
1.598767861079653, 17.01413, 2.818488, 12.4484, 46.8446, -3.814697e-06, 0
1.698690852397131, 16.10641, 2.70132, 11.93348, 57.3018, -3.814697e-06, 0
1.798613843714609, 16.72438, 2.589022, 17.30785, 55.81186, -3.814697e-06, 0
1.898536835032087, 15.83212, 2.481393, 16.59192, 53.35352, -7.629395e-06, 0
1.998459826349566, 14.98746, 2.378239, 15.90561, 51.00346, -7.629395e-06, 0
2.098382817667044, 14.18786, 2.279373, 15.24768, 48.75692, -9.536743e-06, 0
2.198305808984522, 16.06346, 2.184616, 14.61697, 46.60933, -7.629395e-06, 0
2.298228800302001, 15.20645, 2.093799, 14.01235, 44.55634, -5.722046e-06, 0
2.398151791619479, 14.39517, 2.006757, 13.43274, 42.59377, -5.722046e-06, 0
2.498074782936957, 13.62717, 1.923334, 12.8771, 40.71765, -7.629395e-06, 0
2.597997774254436, 12.90014, 1.843379, 12.34445, 38.92416, -5.722046e-06, 0
2.697920765571914, 12.21191, 1.766747, 11.83383, 37.20967, -5.722046e-06, 0
2.797843756889392, 17.34394, 1.6933, 11.34433, 35.57071, -5.722046e-06, 0
2.897766748206871, 18.04733, 1.622908, 10.87508, 34.00393, -3.814697e-06, 0
2.997689739524349, 20.81565, 1.555441, 10.42524, 32.50616, -3.814697e-06, 0
3.097612730841827, 19.70511, 1.49078, 9.994009, 31.07436, -3.814697e-06, 0
3.197535722159305, 18.65382, 1.428806, 9.580613, 29.70563, -5.722046e-06, 0
3.297458713476784, 17.65862, 1.369409, 9.184319, 28.39719, -3.814697e-06, 0
3.397381704794262, 16.71651, 1.312481, 8.804415, 27.14639, -3.814697e-06, 0
3.49730469611174, 15.82467, 1.25792, 8.440228, 30.30851, -3.814697e-06, 0
3.597227687429219, 14.9804, 1.205626, 8.091103, 38.33831, -1.907349e-06, 0
3.697150678746697, 17.42886, 1.155507, 7.75642, 37.2666, -9.536743e-07, 0
3.797073670064175, 16.49901, 1.107471, 8.085312, 53.28373, 0, 0
3.896996661381654, 15.61877, 1.061432, 10.19274, 50.93674, 0, 0
3.996919652699132, 14.78549, 1.017307, 9.771122, 51.36795, -9.536743e-07, 0
4.09684264401661, 18.53398, 0.9750159, 9.366946, 49.10535, -1.907349e-06, 0
4.196765635334089, 17.54517, 0.9344833, 8.979489, 46.94241, -1.907349e-06, 0
4.296688626651567, 16.60912, 0.8956356, 8.608059, 44.87475, -1.907349e-06, 0
4.396611617969045, 15.723, 0.858403, 10.62331, 42.89816, -9.536743e-07, 0
4.496534609286523, 14.88416, 0.8227183, 10.18388, 41.00863, -9.536743e-07, 0
4.596457600604001, 14.09007, 0.7885168, 9.76263, 45.41629, -9.536743e-07, 0
4.696380591921479, 13.33835, 0.7557372, 9.358807, 43.41584, 0, 0
4.796303583238958, 16.00231, 0.7243203, 8.971685, 42.21466, 0, 0
4.896226574556437, 16.16995, 0.6942093, 8.600577, 40.35524, 9.536743e-07, 0
4.996149565873915, 15.30726, 0.6653502, 8.24482, 38.57772, 0, 0
5.096072557191393, 14.4906, 0.6376907, 7.903779, 36.87849, 0, 0
5.195995548508871, 13.71751, 0.611181, 7.576844, 41.70396, 0, 0
5.295918539826349, 21.17605, 0.5857735, 7.263434, 41.9765, 4.768372e-07, 0
5.395841531143827, 20.04629, 0.5614221, 6.962987, 40.12757, 4.768372e-07, 0
5.495764522461307, 18.97679, 0.5380831, 6.674968, 38.36007, 4.768372e-07, 0
5.595687513778785, 17.96436, 0.5157142, 6.398862, 36.67043, 0, 0
5.695610505096263, 17.00594, 0.4942753, 6.134178, 35.05521, 4.768372e-07, 0
5.795533496413741, 16.09865, 0.4737276, 5.880441, 33.51114, 4.768372e-07, 0
5.895456487731219, 15.23977, 0.4540341, 5.637201, 32.03508, 9.536743e-07, 0
5.995379479048697, 14.42671, 0.4351594, 5.404022, 30.62403, 4.768372e-07, 0
6.095302470366176, 13.65703, 0.4170693, 5.180489, 29.27514, 9.536743e-07, 0
6.195225461683655, 12.92841, 0.3997312, 4.966201, 27.98566, 4.768372e-07, 0
6.295148453001133, 12.23867, 0.3831138, 4.760777, 26.75298, 4.768372e-07, 0
6.395071444318611, 11.58572, 0.3671873, 4.563851, 25.5746, 4.768372e-07, 0
6.494994435636089, 10.96761, 0.3519229, 4.375071, 24.44812, 4.768372e-07, 0
6.594917426953567, 10.38247, 0.3372931, 4.194099, 23.37125, 0, 0
6.694840418271045, 9.828555, 0.3232714, 4.020613, 22.34182, 0, 0
6.794763409588524, 9.30419, 0.3098326, 3.854303, 21.35774, 0, 0
6.894686400906002, 15.12417, 0.2969524, 3.694872, 20.41699, 2.384186e-07, 0
6.994609392223481, 14.31728, 0.2846078, 3.542037, 19.51769, 2.384186e-07, 0
7.094532383540959, 13.55344, 0.2727762, 3.395523, 18.658, 2.384186e-07, 0
7.194455374858437, 12.83035, 0.2614366, 3.255069, 17.83617, 2.384186e-07, 0
